block,trial,event,eyelink_timestamp,psychopy_timestamp,cpu,ram,pupil_baseline_min,pupil_baseline_mean,pupil_baseline_max,old_pupil_sample,pupil_velocity,new_pupil_sample,cue,blink
1,1,baseline,nan,-1.8990592989721335,nan,nan,nan,nan,nan,1768.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.8970581194735132,nan,nan,nan,nan,nan,1768.0,2.0,nan,nan,nan
1,1,baseline,nan,-1.8950550027075224,nan,nan,nan,nan,nan,1768.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.8930565906921402,nan,nan,nan,nan,nan,1770.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.8910545809194446,nan,nan,nan,nan,nan,1770.0,2.0,nan,nan,nan
1,1,baseline,nan,-1.8890536781400442,nan,nan,nan,nan,nan,1769.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.8870533289154992,nan,nan,nan,nan,nan,1769.0,-1.0,nan,nan,nan
1,1,baseline,nan,-1.8850513191428035,nan,nan,nan,nan,nan,1768.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.8830501396441832,nan,nan,nan,nan,nan,1765.0,-1.0,nan,nan,nan
1,1,baseline,nan,-1.8810478531522676,nan,nan,nan,nan,nan,1765.0,-3.0,nan,nan,nan
1,1,baseline,nan,-1.879046120098792,nan,nan,nan,nan,nan,1765.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.877046047593467,nan,nan,nan,nan,nan,1766.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.8750454215914942,nan,nan,nan,nan,nan,1766.0,1.0,nan,nan,nan
1,1,baseline,nan,-1.873043965373654,nan,nan,nan,nan,nan,1766.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.871042785816826,nan,nan,nan,nan,nan,1766.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.869041052821558,nan,nan,nan,nan,nan,1766.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.8670390430488624,nan,nan,nan,nan,nan,1766.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.8650367565569468,nan,nan,nan,nan,nan,1766.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.8630380678223446,nan,nan,nan,nan,nan,1766.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.861037441820372,nan,nan,nan,nan,nan,1766.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.859036262263544,nan,nan,nan,nan,nan,1765.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.8570359130389988,nan,nan,nan,nan,nan,1765.0,-1.0,nan,nan,nan
1,1,baseline,nan,-1.8550358405336738,nan,nan,nan,nan,nan,1765.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.8530346610350534,nan,nan,nan,nan,nan,1765.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.851033758255653,nan,nan,nan,nan,nan,1765.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.8490345159661956,nan,nan,nan,nan,nan,1768.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.8470325062517077,nan,nan,nan,nan,nan,1768.0,3.0,nan,nan,nan
1,1,baseline,nan,-1.845030496479012,nan,nan,nan,nan,nan,1767.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.843030423973687,nan,nan,nan,nan,nan,1767.0,-1.0,nan,nan,nan
1,1,baseline,nan,-1.841028967697639,nan,nan,nan,nan,nan,1765.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.839027234702371,nan,nan,nan,nan,nan,1766.0,-2.0,nan,nan,nan
1,1,baseline,nan,-1.8370249482104555,nan,nan,nan,nan,nan,1767.0,1.0,nan,nan,nan
