block,trial,eyelink_timestamp,psychopy_timestamp,cpu,ram,pupil_baseline_min,pupil_baseline_mean,pupil_baseline_max,old_pupil_sample,pupil_velocity,new_pupil_sample
1,1,11721983053.530739,0.1831307495594956,9.2,29.0,1259.2317035748624,1419.502514668902,1579.7733257629416,1523.0,0,1523.0
1,1,11721983509.530739,0.18358351875212975,9.2,29.0,1259.2317035748624,1419.502514668902,1579.7733257629416,1519.0,-0.004,1519.0
1,1,11721985504.780125,0.1855789135734085,9.2,29.0,1259.2317035748624,1419.502514668902,1579.7733257629416,1519.0,-0.004,1519.0
1,1,11721987595.964521,0.18766757441335358,9.2,29.0,1259.2317035748624,1419.502514668902,1579.7733257629416,1521.0,0.002,1521.0
1,1,11721989605.62523,0.1896787442092318,9.2,29.0,1259.2317035748624,1419.502514668902,1579.7733257629416,1522.0,0.003,1522.0
1,1,11721991614.152725,0.19168686970078852,9.2,29.0,1259.2317035748624,1419.502514668902,1579.7733257629416,1520.0,-0.001,1520.0
1,1,11721993627.18967,0.1937021907797316,9.2,29.0,1259.2317035748624,1419.502514668902,1579.7733257629416,1520.0,-0.002,1520.0
1,1,11721995632.225878,0.1957086557522416,9.2,29.0,1259.2317035748624,1419.502514668902,1579.7733257629416,1520.0,0.0,1520.0
1,1,11721997648.50136,0.19772702113550622,9.2,29.0,1259.2317035748624,1419.502514668902,1579.7733257629416,1517.0,-0.003,1517.0
1,1,11721999730.891333,0.1998112539149588,9.2,29.0,1259.2317035748624,1419.502514668902,1579.7733257629416,1517.0,-0.003,1517.0
1,1,11722001784.593506,0.2018797117343638,9.2,29.0,1259.2317035748624,1419.502514668902,1579.7733257629416,1518.0,0.001,1518.0
1,1,11722003789.401636,0.20387206226587296,9.2,29.0,1259.2317035748624,1419.502514668902,1579.7733257629416,1518.0,0.001,1518.0
1,1,11722005875.153603,0.20596072310581803,9.2,29.0,1259.2317035748624,1419.502514668902,1579.7733257629416,1518.0,0.0,1518.0
1,1,11722007915.033121,0.2080023357993923,9.2,29.0,1259.2317035748624,1419.502514668902,1579.7733257629416,1518.0,0.0,1518.0
1,1,11722009935.03246,0.21002374547242653,9.2,29.0,1259.2317035748624,1419.502514668902,1579.7733257629416,1518.0,0.0,1518.0
1,1,11722011950.23181,0.21203934331424534,9.2,29.0,1259.2317035748624,1419.502514668902,1579.7733257629416,1516.0,-0.002,1516.0
1,1,11722013969.707174,0.21405936921655666,9.2,29.0,1259.2317035748624,1419.502514668902,1579.7733257629416,1513.0,-0.005,1513.0
1,1,11722015978.033031,0.21606832498218864,9.2,29.0,1259.2317035748624,1419.502514668902,1579.7733257629416,1512.0,-0.004,1512.0
1,1,11722018000.63237,0.21809139517426956,9.2,29.0,1259.2317035748624,1419.502514668902,1579.7733257629416,1512.0,-0.001,1512.0
1,1,11722020010.359722,0.2201014579331968,9.2,29.0,1259.2317035748624,1419.502514668902,1579.7733257629416,1515.0,0.003,1515.0
1,1,11722022024.052528,0.2221151185076451,9.2,29.0,1259.2317035748624,1419.502514668902,1579.7733257629416,1515.0,0.003,1515.0
1,1,11722024032.791477,0.22412407425872516,9.2,29.0,1259.2317035748624,1419.502514668902,1579.7733257629416,1514.0,-0.001,1514.0
1,1,11722026049.915648,0.2261416093824664,9.2,29.0,1259.2317035748624,1419.502514668902,1579.7733257629416,1512.0,-0.003,1512.0
1,1,11722028166.637335,0.2282571153336903,9.2,29.0,1259.2317035748624,1419.502514668902,1579.7733257629416,1510.0,-0.004,1510.0
1,1,11722030176.244589,0.2302796320291236,9.2,29.0,1259.2317035748624,1419.502514668902,1579.7733257629416,1506.0,-0.006,1506.0
1,1,11722032202.879698,0.23229550661926623,9.2,29.0,1259.2317035748624,1419.502514668902,1579.7733257629416,1506.0,-0.004,1506.0
1,1,11722034209.622105,0.23430224835465197,9.2,29.0,1259.2317035748624,1419.502514668902,1579.7733257629416,1507.0,0.001,1507.0
1,1,11722036314.249662,0.23640723766584415,9.2,29.0,1259.2317035748624,1419.502514668902,1579.7733257629416,1507.0,0.001,1507.0
1,1,11722038324.00467,0.2384175771876471,9.2,29.0,1259.2317035748624,1419.502514668902,1579.7733257629416,1508.0,0.001,1508.0
1,1,11722040334.724575,0.24042847022064961,9.2,29.0,1259.2317035748624,1419.502514668902,1579.7733257629416,1512.0,0.005,1512.0
1,1,11722042345.170084,0.2424390864907764,9.2,29.0,1259.2317035748624,1419.502514668902,1579.7733257629416,1512.0,0.004,1512.0
1,1,11722044360.926682,0.24445523784379475,9.2,29.0,1259.2317035748624,1419.502514668902,1579.7733257629416,1510.0,-0.002,1510.0
1,1,11722046374.828148,0.2464697286777664,9.2,29.0,1259.2317035748624,1419.502514668902,1579.7733257629416,1509.0,-0.003,1509.0
1,1,11722048394.731585,0.24848892432055436,9.2,29.0,1259.2317035748624,1419.502514668902,1579.7733257629416,1509.0,-0.001,1509.0
1,1,11722057079.258326,0.2571748419723008,9.2,29.0,1259.2317035748624,1419.502514668902,1579.7733257629416,1512.0,0.003,1512.0
1,1,11722059116.653158,0.25921590116922744,9.2,29.0,1259.2317035748624,1419.502514668902,1579.7733257629416,1511.0,0.002,1511.0
1,1,11722061150.180096,0.26124948800134007,9.2,29.0,1259.2317035748624,1419.502514668902,1579.7733257629416,1511.0,-0.001,1511.0
1,1,11722063144.416494,0.26324377581477165,9.2,29.0,1259.2317035748624,1419.502514668902,1579.7733257629416,1510.0,-0.001,1510.0
1,1,11722065157.408165,0.26525882014539093,9.2,29.0,1259.2317035748624,1419.502514668902,1579.7733257629416,1510.0,-0.001,1510.0
