block,trial,eyelink_timestamp,psychopy_timestamp,cpu,ram,pupil_baseline_min,pupil_baseline_mean,pupil_baseline_max,old_pupil_sample,pupil_velocity,new_pupil_sample,cue_no
1,1,13278456326.801308,0.18151810523704626,13.4,28.9,1490.7779856112843,1592.1572327044025,1693.5364797975208,1774.0,0,1774.0,
1,1,13278456816.801308,0.18200380812049843,13.4,28.9,1490.7779856112843,1592.1572327044025,1693.5364797975208,1775.0,0.001,1775.0,
1,1,13278458876.125282,0.18406368658179417,13.4,28.9,1490.7779856112843,1592.1572327044025,1693.5364797975208,1774.0,0.0,1774.0,
1,1,13278460910.442776,0.18609671990270726,13.4,28.9,1490.7779856112843,1592.1572327044025,1693.5364797975208,1772.0,-0.003,1772.0,
1,1,13278462948.83392,0.1881344580615405,13.4,28.9,1490.7779856112843,1592.1572327044025,1693.5364797975208,1772.0,-0.002,1772.0,
1,1,13278464985.11724,0.19017025892389938,13.4,28.9,1490.7779856112843,1592.1572327044025,1693.5364797975208,1772.0,0.0,1772.0,
1,1,13278467021.494896,0.1922063365636859,13.4,28.9,1490.7779856112843,1592.1572327044025,1693.5364797975208,1771.0,-0.001,1771.0,
1,1,13278469061.784998,0.19424601196078584,13.4,28.9,1490.7779856112843,1592.1572327044025,1693.5364797975208,1770.0,-0.002,1770.0,
1,1,13278471097.389297,0.19628347337129526,13.4,28.9,1490.7779856112843,1592.1572327044025,1693.5364797975208,1767.0,-0.004,1767.0,
1,1,13278473131.121511,0.1983184439886827,13.4,28.9,1490.7779856112843,1592.1572327044025,1693.5364797975208,1767.0,-0.003,1767.0,
1,1,13278475199.979082,0.20038883906090632,13.4,28.9,1490.7779856112843,1592.1572327044025,1693.5364797975208,1767.0,0.0,1767.0,
1,1,13278477257.4995,0.20244733375147916,13.4,28.9,1490.7779856112843,1592.1572327044025,1693.5364797975208,1766.0,-0.001,1766.0,
1,1,13278479292.86951,0.204496972321067,13.4,28.9,1490.7779856112843,1592.1572327044025,1693.5364797975208,1766.0,-0.001,1766.0,
1,1,13278481337.23212,0.2065302823903039,13.4,28.9,1490.7779856112843,1592.1572327044025,1693.5364797975208,1767.0,0.001,1767.0,
1,1,13278483374.787477,0.20856802054913715,13.4,28.9,1490.7779856112843,1592.1572327044025,1693.5364797975208,1767.0,0.001,1767.0,
1,1,13278485408.031729,0.2106018841441255,13.4,28.9,1490.7779856112843,1592.1572327044025,1693.5364797975208,1766.0,-0.001,1766.0,
1,1,13278487450.711094,0.21264488060842268,13.4,28.9,1490.7779856112843,1592.1572327044025,1693.5364797975208,1765.0,-0.002,1765.0,
1,1,13278489496.376871,0.21469064461416565,13.4,28.9,1490.7779856112843,1592.1572327044025,1693.5364797975208,1765.0,-0.001,1765.0,
1,1,13278491535.169334,0.2167300432920456,13.4,28.9,1490.7779856112843,1592.1572327044025,1693.5364797975208,1767.0,0.002,1767.0,
1,1,13278493635.085947,0.2188281137496233,13.4,28.9,1490.7779856112843,1592.1572327044025,1693.5364797975208,1767.0,0.002,1767.0,
1,1,13278495678.924229,0.22087249398464337,13.4,28.9,1490.7779856112843,1592.1572327044025,1693.5364797975208,1766.0,-0.001,1766.0,
1,1,13278497715.845743,0.2229088483727537,13.4,28.9,1490.7779856112843,1592.1572327044025,1693.5364797975208,1765.0,-0.002,1765.0,
1,1,13278499754.848827,0.22494880054728128,13.4,28.9,1490.7779856112843,1592.1572327044025,1693.5364797975208,1765.0,-0.001,1765.0,
1,1,13278501803.93185,0.22699733209447004,13.4,28.9,1490.7779856112843,1592.1572327044025,1693.5364797975208,1765.0,0.0,1765.0,
1,1,13278503856.113213,0.22905112194712274,13.4,28.9,1490.7779856112843,1592.1572327044025,1693.5364797975208,1764.0,-0.001,1764.0,
1,1,13278505904.36833,0.23109882324934006,13.4,28.9,1490.7779856112843,1592.1572327044025,1693.5364797975208,1764.0,-0.001,1764.0,
1,1,13278507947.540964,0.23314126618788578,13.4,28.9,1490.7779856112843,1592.1572327044025,1693.5364797975208,1763.0,-0.001,1763.0,
1,1,13278510027.810144,0.2352216244325973,13.4,28.9,1490.7779856112843,1592.1572327044025,1693.5364797975208,1763.0,-0.001,1763.0,
1,1,13278512069.053942,0.23726240688120015,13.4,28.9,1490.7779856112843,1592.1572327044025,1693.5364797975208,1764.0,0.001,1764.0,
1,1,13278514122.332863,0.23931453621480614,13.4,28.9,1490.7779856112843,1592.1572327044025,1693.5364797975208,1764.0,0.001,1764.0,
1,1,13278516143.526205,0.2413364993990399,13.4,28.9,1490.7779856112843,1592.1572327044025,1693.5364797975208,1762.0,-0.002,1762.0,
1,1,13278518200.715681,0.24339250329649076,13.4,28.9,1490.7779856112843,1592.1572327044025,1693.5364797975208,1762.0,-0.002,1762.0,
1,1,13278520210.901367,0.24540228929254226,13.4,28.9,1490.7779856112843,1592.1572327044025,1693.5364797975208,1763.0,0.001,1763.0,
1,1,13278522258.16334,0.24744943706900813,13.4,28.9,1490.7779856112843,1592.1572327044025,1693.5364797975208,1763.0,0.001,1763.0,
1,1,13278524308.420073,0.2494996291352436,13.4,28.9,1490.7779856112843,1592.1572327044025,1693.5364797975208,1763.0,0.0,1763.0,
1,1,13278532040.637465,0.257231576484628,13.4,28.9,1490.7779856112843,1592.1572327044025,1693.5364797975208,1764.0,0.001,1764.0,
1,1,13278534024.96142,0.25922060597804375,13.4,28.9,1490.7779856112843,1592.1572327044025,1693.5364797975208,1764.0,0.001,1764.0,
