block,trial,event,eyelink_timestamp,psychopy_timestamp,cpu,ram,pupil_baseline_min,pupil_baseline_mean,pupil_baseline_max,old_pupil_sample,pupil_velocity,new_pupil_sample,cue
1,1,baseline,nan,-1.8794446401589084,nan,nan,nan,nan,nan,1211.0,0.0,nan,nan
1,1,baseline,nan,-1.8774426304153167,nan,nan,nan,nan,nan,1211.0,0.0,nan,nan
1,1,baseline,nan,-1.8754400671459734,nan,nan,nan,nan,nan,1210.0,0.0,nan,nan
1,1,baseline,nan,-1.8734394411440007,nan,nan,nan,nan,nan,1210.0,-1.0,nan,nan
1,1,baseline,nan,-1.8714379848679528,nan,nan,nan,nan,nan,1212.0,0.0,nan,nan
1,1,baseline,nan,-1.8694354216277134,nan,nan,nan,nan,nan,1212.0,2.0,nan,nan
1,1,baseline,nan,-1.8674353491223883,nan,nan,nan,nan,nan,1216.0,0.0,nan,nan
1,1,baseline,nan,-1.8654349998396356,nan,nan,nan,nan,nan,1216.0,4.0,nan,nan
1,1,baseline,nan,-1.8634343738376629,nan,nan,nan,nan,nan,1215.0,0.0,nan,nan
1,1,baseline,nan,-1.8614334710873663,nan,nan,nan,nan,nan,1212.0,-1.0,nan,nan
1,1,baseline,nan,-1.8594309078180231,nan,nan,nan,nan,nan,1212.0,-3.0,nan,nan
1,1,baseline,nan,-1.8574286213261075,nan,nan,nan,nan,nan,1215.0,0.0,nan,nan
1,1,baseline,nan,-1.8554268883017357,nan,nan,nan,nan,nan,1215.0,3.0,nan,nan
1,1,baseline,nan,-1.8534246018098202,nan,nan,nan,nan,nan,1216.0,0.0,nan,nan
1,1,baseline,nan,-1.8514223152888007,nan,nan,nan,nan,nan,1216.0,1.0,nan,nan
1,1,baseline,nan,-1.8494219660351519,nan,nan,nan,nan,nan,1218.0,0.0,nan,nan
1,1,baseline,nan,-1.8474224470264744,nan,nan,nan,nan,nan,1221.0,2.0,nan,nan
1,1,baseline,nan,-1.8454220977728255,nan,nan,nan,nan,nan,1221.0,3.0,nan,nan
1,1,baseline,nan,-1.8434203647484537,nan,nan,nan,nan,nan,1221.0,0.0,nan,nan
1,1,baseline,nan,-1.8414194619981572,nan,nan,nan,nan,nan,1221.0,0.0,nan,nan
1,1,baseline,nan,-1.8394193894928321,nan,nan,nan,nan,nan,1219.0,0.0,nan,nan
1,1,baseline,nan,-1.8374171029718127,nan,nan,nan,nan,nan,1219.0,-2.0,nan,nan
1,1,baseline,nan,-1.8354145397315733,nan,nan,nan,nan,nan,1218.0,0.0,nan,nan
1,1,baseline,nan,-1.833413636952173,nan,nan,nan,nan,nan,1218.0,-1.0,nan,nan
1,1,baseline,nan,-1.8314143947209232,nan,nan,nan,nan,nan,1224.0,0.0,nan,nan
1,1,baseline,nan,-1.8294096174358856,nan,nan,nan,nan,nan,1225.0,6.0,nan,nan
1,1,baseline,nan,-1.827408714685589,nan,nan,nan,nan,nan,1227.0,1.0,nan,nan
1,1,baseline,nan,-1.8254155609174632,nan,nan,nan,nan,nan,1227.0,2.0,nan,nan
1,1,baseline,nan,-1.823405802162597,nan,nan,nan,nan,nan,1228.0,0.0,nan,nan
1,1,baseline,nan,-1.8214029621740337,nan,nan,nan,nan,nan,1228.0,1.0,nan,nan
1,1,baseline,nan,-1.8194034431653563,nan,nan,nan,nan,nan,1228.0,0.0,nan,nan
1,1,baseline,nan,-1.8174028171342798,nan,nan,nan,nan,nan,1232.0,0.0,nan,nan
1,1,baseline,nan,-1.8154013608873356,nan,nan,nan,nan,nan,1232.0,4.0,nan,nan
1,1,baseline,nan,-1.8134023953753058,nan,nan,nan,nan,nan,1228.0,0.0,nan,nan
1,1,baseline,nan,-1.8114014926250093,nan,nan,nan,nan,nan,1228.0,-4.0,nan,nan
1,1,baseline,nan,-1.8093978223623708,nan,nan,nan,nan,nan,1229.0,0.0,nan,nan
1,1,baseline,nan,-1.8073977498570457,nan,nan,nan,nan,nan,1231.0,1.0,nan,nan
1,1,baseline,nan,-1.805397123855073,nan,nan,nan,nan,nan,1231.0,2.0,nan,nan
1,1,baseline,nan,-1.8033834905945696,nan,nan,nan,nan,nan,1231.0,0.0,nan,nan
1,1,baseline,nan,-1.8013947648287285,nan,nan,nan,nan,nan,1237.0,0.0,nan,nan
1,1,baseline,nan,-1.7993825153098442,nan,nan,nan,nan,nan,1237.0,6.0,nan,nan
1,1,baseline,nan,-1.797382442804519,nan,nan,nan,nan,nan,1237.0,0.0,nan,nan
1,1,baseline,nan,-1.7953928867937066,nan,nan,nan,nan,nan,1237.0,0.0,nan,nan
1,1,baseline,nan,-1.793380637303926,nan,nan,nan,nan,nan,1236.0,0.0,nan,nan
1,1,baseline,nan,-1.7913786275312304,nan,nan,nan,nan,nan,1233.0,-1.0,nan,nan
1,1,baseline,nan,-1.7893780015292577,nan,nan,nan,nan,nan,1233.0,-3.0,nan,nan
1,1,baseline,nan,-1.7873782057722565,nan,nan,nan,nan,nan,1232.0,0.0,nan,nan
1,1,baseline,nan,-1.7853775797702838,nan,nan,nan,nan,nan,1232.0,-1.0,nan,nan
1,1,baseline,nan,-1.7833766769908834,nan,nan,nan,nan,nan,1233.0,0.0,nan,nan
1,1,baseline,nan,-1.7813746672472917,nan,nan,nan,nan,nan,1233.0,1.0,nan,nan
1,1,baseline,nan,-1.779372657474596,nan,nan,nan,nan,nan,1234.0,0.0,nan,nan
1,1,baseline,nan,-1.7773723082209472,nan,nan,nan,nan,nan,1234.0,1.0,nan,nan
1,1,baseline,nan,-1.7753719589672983,nan,nan,nan,nan,nan,1235.0,0.0,nan,nan
1,1,baseline,nan,-1.7733699491946027,nan,nan,nan,nan,nan,1236.0,1.0,nan,nan
1,1,baseline,nan,-1.77136932319263,nan,nan,nan,nan,nan,1237.0,1.0,nan,nan
1,1,baseline,nan,-1.7693673134490382,nan,nan,nan,nan,nan,1237.0,1.0,nan,nan
1,1,baseline,nan,-1.7673672409146093,nan,nan,nan,nan,nan,1237.0,0.0,nan,nan
1,1,baseline,nan,-1.7653649544226937,nan,nan,nan,nan,nan,1237.0,0.0,nan,nan
1,1,baseline,nan,-1.7633646051690448,nan,nan,nan,nan,nan,1234.0,0.0,nan,nan
1,1,baseline,nan,-1.7613623186480254,nan,nan,nan,nan,nan,1234.0,-3.0,nan,nan
1,1,baseline,nan,-1.7593608624010812,nan,nan,nan,nan,nan,1238.0,0.0,nan,nan
1,1,baseline,nan,-1.75736106664408,nan,nan,nan,nan,nan,1238.0,4.0,nan,nan
1,1,baseline,nan,-1.7553601638646796,nan,nan,nan,nan,nan,1237.0,0.0,nan,nan
1,1,baseline,nan,-1.7533600913593546,nan,nan,nan,nan,nan,1237.0,-1.0,nan,nan
1,1,baseline,nan,-1.7513597421057057,nan,nan,nan,nan,nan,1237.0,0.0,nan,nan
1,1,baseline,nan,-1.7493585626070853,nan,nan,nan,nan,nan,1237.0,0.0,nan,nan
1,1,baseline,nan,-1.747357659827685,nan,nan,nan,nan,nan,1237.0,0.0,nan,nan
1,1,baseline,nan,-1.7453578640706837,nan,nan,nan,nan,nan,1237.0,0.0,nan,nan
1,1,baseline,nan,-1.743367201066576,nan,nan,nan,nan,nan,1235.0,0.0,nan,nan
1,1,baseline,nan,-1.741355505073443,nan,nan,nan,nan,nan,1235.0,-2.0,nan,nan
