order,block_display,block_file,break_display,valmean,valence,scenestim,arousal,outliers,blocknum,arousalmean,Introduction_Loop.thisRepN,Introduction_Loop.thisTrialN,Introduction_Loop.thisN,Introduction_Loop.thisIndex,block_loop.thisRepN,block_loop.thisTrialN,block_loop.thisN,block_loop.thisIndex,Trial_Loop.thisRepN,Trial_Loop.thisTrialN,Trial_Loop.thisN,Trial_Loop.thisIndex,Break_loop.thisRepN,Break_loop.thisTrialN,Break_loop.thisN,Break_loop.thisIndex,block_key.keys,block_key.rt,Break_key.keys,Break_key.rt,date,frameRate,expName,Participant,
0,inst_2,procedure\0.csv,break,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,space,2.46673253407,2016_May_18_1435,119.936269791,CGP,102,
0,inst_2,procedure\0.csv,break,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
1,cont_inst,procedure\1.csv,break,2.21,Negative,9421.bmp,High,0,1,5.04,,,,,0,1,1,1,0,0,0,11,,,,,space,3.33337595342,,,2016_May_18_1435,119.936269791,CGP,102,
1,cont_inst,procedure\1.csv,break,2.56,Negative,2750.bmp,Low,0,1,4.31,,,,,0,1,1,1,0,1,1,26,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
1,cont_inst,procedure\1.csv,break,6.38,Positive,8280.bmp,High,0,1,5.05,,,,,0,1,1,1,0,2,2,8,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
1,cont_inst,procedure\1.csv,break,7.35,Positive,2208.bmp,High,0,1,5.68,,,,,0,1,1,1,0,3,3,0,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
1,cont_inst,procedure\1.csv,break,1.67,Negative,9040.bmp,High,0,1,5.82,,,,,0,1,1,1,0,4,4,10,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
1,cont_inst,procedure\1.csv,break,3.62,Negative,9101.bmp,Low,1,1,4.02,,,,,0,1,1,1,0,5,5,29,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
1,cont_inst,procedure\1.csv,break,5.03,Neutral,2220.bmp,High,1,1,4.93,,,,,0,1,1,1,0,6,6,1,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
1,cont_inst,procedure\1.csv,break,2.45,Negative,6838.bmp,High,0,1,5.8,,,,,0,1,1,1,0,7,7,6,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
1,cont_inst,procedure\1.csv,break,4.82,Neutral,2493.bmp,Low,0,1,3.34,,,,,0,1,1,1,0,8,8,20,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
1,cont_inst,procedure\1.csv,break,7.27,Positive,2650.bmp,Low,0,1,4.28,,,,,0,1,1,1,0,9,9,24,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
