block_event,order,block_display,block_file,break_display,valmean,valence,scenestim,arousal,outliers,blocknum,arousalmean,Introduction_Loop.thisRepN,Introduction_Loop.thisTrialN,Introduction_Loop.thisN,Introduction_Loop.thisIndex,block_loop.thisRepN,block_loop.thisTrialN,block_loop.thisN,block_loop.thisIndex,Trial_Loop.thisRepN,Trial_Loop.thisTrialN,Trial_Loop.thisN,Trial_Loop.thisIndex,block_key.keys,block_key.rt,date,frameRate,expName,Participant,
comp_1,0,inst_2,procedure\0.csv,break,3.34,Negative,2120.bmp,High,0,0,5.18,,,,,0,0,0,0,0,0,0,1,return,0.331443935225,2016_Jun_14_1300,120.047443293,CGP,001,
comp_1,0,inst_2,procedure\0.csv,break,6.88,Positive,2655.bmp,High,0,0,4.57,,,,,0,0,0,0,0,1,1,3,,,2016_Jun_14_1300,120.047443293,CGP,001,
comp_1,0,inst_2,procedure\0.csv,break,1.95,Negative,2205.bmp,High,0,0,4.53,,,,,0,0,0,0,0,2,2,2,,,2016_Jun_14_1300,120.047443293,CGP,001,
