block,trial,eyelink_timestamp,psychopy_timestamp,pupil_sample,pupil_running_avg,pupil_baseline_min,pupil_baseline_mean,pupil_baseline_max,cpu,ram
1,1,13102620954,0.536134307,1754,1760,1639.635266,1669.709677,1699.784089,14.5,28.5
1,1,13102623055,0.538236794,1754,1760,1639.635266,1669.709677,1699.784089,14.5,28.5
1,1,13102625139,0.540321293,1753,1760,1639.635266,1669.709677,1699.784089,14.5,28.5
1,1,13102627222,0.542402747,1752,1760,1639.635266,1669.709677,1699.784089,14.5,28.5
1,1,13102629324,0.544503297,1752,1760,1639.635266,1669.709677,1699.784089,14.5,28.5
1,1,13102631403,0.546594438,1754,1760,1639.635266,1669.709677,1699.784089,14.5,28.5
1,1,13102633476,0.548655413,1755,1760,1639.635266,1669.709677,1699.784089,14.5,28.5
1,1,13102635544,0.550722753,1755,1760,1639.635266,1669.709677,1699.784089,14.5,28.5
1,1,13102637622,0.552800056,1753,1760,1639.635266,1669.709677,1699.784089,14.5,28.5
1,1,13102662759,0.577931105,1757,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102664761,0.579932301,1757,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102666766,0.581937372,1757,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102668815,0.583985062,1757,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102670842,0.58601504,1756,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102672874,0.588046403,1756,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102674863,0.590034591,1755,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102676949,0.592120474,1755,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102679052,0.594224898,1758,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102681145,0.596317699,1758,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102683230,0.598403028,1758,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102685340,0.600511051,1760,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102687409,0.602580882,1761,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102689508,0.604679218,1761,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102691589,0.606760395,1753,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102693679,0.608849599,1753,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102695720,0.610889817,1753,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102697744,0.612913153,1753,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102699786,0.614954755,1754,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102701864,0.617032612,1754,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102703913,0.619082516,1754,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102705990,0.621157882,1754,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102708085,0.623255111,1759,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102710173,0.625342931,1756,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102712268,0.627437392,1756,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102714269,0.629437758,1754,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102716356,0.631523641,1754,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102718436,0.633603158,1760,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102720496,0.635662749,1760,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102722526,0.637694387,1760,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102724533,0.639701395,1760,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102726618,0.641788108,1760,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102728696,0.643867902,1760,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102730703,0.645874356,1757,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102732782,0.647954703,1757,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102734862,0.650035051,1767,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102736941,0.652114568,1767,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102739002,0.654176649,1759,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102741100,0.656275816,1759,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102743185,0.658361145,1762,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102745268,0.660445366,1762,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102747293,0.662470363,1762,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102749372,0.664546559,1762,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102751464,0.666640467,1762,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102753540,0.668714173,1762,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102755626,0.670805037,1762,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102757729,0.672908354,1762,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102759811,0.674990362,1761,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102761888,0.677068772,1760,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102763965,0.679146075,1759,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102766059,0.681241367,1760,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102768144,0.68332808,1760,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102770226,0.685409811,1762,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102772316,0.687511468,1762,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102774409,0.689591538,1756,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102776487,0.691669672,1755,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102778575,0.693757215,1755,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102780653,0.695835625,1755,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102782732,0.697914588,1755,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102784812,0.699994659,1755,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102786819,0.702001943,1755,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102788892,0.704073988,1757,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102790893,0.706087361,1757,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102792935,0.708114849,1755,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102795011,0.710204883,1754,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102797106,0.712288274,1754,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102799168,0.714348695,1754,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102801255,0.716436238,1755,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102803262,0.718443246,1759,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102805359,0.720537984,1760,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102807452,0.722631339,1760,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102809546,0.724724694,1753,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102811698,0.726879487,1751,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102813692,0.728869613,1752,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102815766,0.730943595,1752,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102817840,0.733018961,1752,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102819909,0.735088792,1751,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102821976,0.737157239,1751,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102824043,0.739224579,1753,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102826109,0.741290258,1753,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102828176,0.743357598,1748,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102830241,0.745422724,1748,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102832311,0.747494215,1748,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102834395,0.7495765,1748,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102836464,0.751645777,1755,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102838531,0.753712563,1755,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102840601,0.755782671,1745,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102842669,0.757850011,1739,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102844735,0.759916244,1739,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102846805,0.761986628,1744,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102848871,0.764053691,1744,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102850934,0.766117433,1743,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102852995,0.768178408,1742,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102855056,0.77024132,1738,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102857120,0.772305062,1736,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102859181,0.774366867,1736,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102861251,0.776436421,1733,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102863299,0.778484941,1733,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102865395,0.780591304,1732,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102867489,0.782674418,1731,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102869552,0.784736223,1731,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102871641,0.786825703,1726,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102873630,0.788814722,1726,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102875709,0.790894239,1726,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102877694,0.792878277,1726,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102879788,0.794974953,1709,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102881871,0.797058898,1709,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102883949,0.799137308,1720,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102886049,0.801239795,1720,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102888116,0.803306582,1710,1757,1639.635266,1669.709677,1699.784089,15.2,28.5
1,1,13102904459,0.819649914,1696,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13102906487,0.821675187,1697,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13102908559,0.823747786,1697,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13102910631,0.825818723,1688,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13102912700,0.827888277,1684,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13102914774,0.829960322,1681,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13102916850,0.832036795,1681,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
