block,trial,eyelink_timestamp,psychopy_timestamp,new_pupil_sample,pupil_running_avg,pupil_baseline_min,pupil_baseline_mean,pupil_baseline_max,old_pupil_sample,pupil_area_velocity,cpu,ram
1,1,3629645548.363813,0.31833549201110145,1318.0,NaN,582.8361459759547,1254.7721774193549,1926.708208862755,1318.0,NaN,23.7,25.4
1,1,3629750542.4922395,0.42331539969018195,1306.0,nan,582.8361459759547,1254.7721774193549,1926.708208862755,1306.0,1.306,28.8,25.5
1,1,3629761574.084999,0.4343476359717897,1298.0,nan,582.8361459759547,1254.7721774193549,1926.708208862755,1298.0,1.298,28.8,25.5
1,1,3629772591.7300515,0.4453771047119517,1295.0,nan,582.8361459759547,1254.7721774193549,1926.708208862755,1295.0,1.295,28.8,25.5
1,1,3629783605.4826064,0.4563952265525586,1295.0,nan,582.8361459759547,1254.7721774193549,1926.708208862755,1295.0,1.295,28.8,25.5
1,1,3629794687.019432,0.46747644825518364,1291.0,nan,582.8361459759547,1254.7721774193549,1926.708208862755,1291.0,1.291,28.8,25.5
1,1,3629805750.1837425,0.4785366366704693,1291.0,nan,582.8361459759547,1254.7721774193549,1926.708208862755,1291.0,1.291,28.8,25.5
1,1,3629816798.1150193,0.48958298739307793,1288.0,nan,582.8361459759547,1254.7721774193549,1926.708208862755,1288.0,1.288,28.8,25.5
1,1,3629827841.9053783,0.5006254635663936,1287.0,nan,582.8361459759547,1254.7721774193549,1926.708208862755,1287.0,1.287,28.8,25.5
1,1,3629838969.2766094,0.5117531799041899,1286.0,nan,582.8361459759547,1254.7721774193549,1926.708208862755,1286.0,1.286,28.8,25.5
1,1,3629850017.420697,0.5228003608863219,1290.0,nan,582.8361459759547,1254.7721774193549,1926.708208862755,1290.0,1.29,28.8,25.5
1,1,3629861043.7413273,0.5338242945581442,1290.0,nan,582.8361459759547,1254.7721774193549,1926.708208862755,1290.0,1.29,28.8,25.5
1,1,3629872082.0616894,0.5448587448699982,1287.0,nan,582.8361459759547,1254.7721774193549,1926.708208862755,1287.0,1.287,28.8,25.5
1,1,3629883120.059777,0.5558937486857758,1290.0,nan,582.8361459759547,1254.7721774193549,1926.708208862755,1290.0,1.29,28.8,25.5
1,1,3629894153.1326504,0.5669226639220142,1285.0,nan,582.8361459759547,1254.7721774193549,1926.708208862755,1285.0,1.285,28.8,25.5
1,1,3629924561.9279265,0.5973309864639305,1278.0,1287.3333333333333,582.8361459759547,1254.7721774193549,1926.708208862755,1278.0,1.278,30.5,25.5
1,1,3629935596.605077,0.6083684810655541,1278.0,1287.3333333333333,582.8361459759547,1254.7721774193549,1926.708208862755,1278.0,1.278,30.5,25.5
1,1,3629946646.740859,0.619417045818409,1275.0,1287.3333333333333,582.8361459759547,1254.7721774193549,1926.708208862755,1275.0,1.275,30.5,25.5
1,1,3629957697.2278256,0.6304656105785398,1277.0,1287.3333333333333,582.8361459759547,1254.7721774193549,1926.708208862755,1277.0,1.277,30.5,25.5
1,1,3629968793.1353374,0.6415590094475192,1276.0,1287.3333333333333,582.8361459759547,1254.7721774193549,1926.708208862755,1276.0,1.276,30.5,25.5
1,1,3629979816.379527,0.6525790685627726,1273.0,1287.3333333333333,582.8361459759547,1254.7721774193549,1926.708208862755,1273.0,1.273,30.5,25.5
1,1,3629990849.784673,0.663610474577581,1274.0,1287.3333333333333,582.8361459759547,1254.7721774193549,1926.708208862755,1274.0,1.274,30.5,25.5
1,1,3630001964.2725124,0.674724629985576,1267.0,1287.3333333333333,582.8361459759547,1254.7721774193549,1926.708208862755,1267.0,1.267,30.5,25.5
1,1,3630013021.8575797,0.6857820508594159,1269.0,1287.3333333333333,582.8361459759547,1254.7721774193549,1926.708208862755,1269.0,1.269,30.5,25.5
1,1,3630024049.6210694,0.696812626614701,1266.0,1287.3333333333333,582.8361459759547,1254.7721774193549,1926.708208862755,1266.0,1.266,30.5,25.5
1,1,3630035093.7110567,0.7078570400626631,1257.0,1287.3333333333333,582.8361459759547,1254.7721774193549,1926.708208862755,1257.0,1.257,30.5,25.5
1,1,3630046116.764244,0.7188770991779165,1260.0,1287.3333333333333,582.8361459759547,1254.7721774193549,1926.708208862755,1260.0,1.26,30.5,25.5
1,1,3630057124.1762147,0.7298822135926457,1254.0,1287.3333333333333,582.8361459759547,1254.7721774193549,1926.708208862755,1254.0,1.254,30.5,25.5
1,1,3630068136.036474,0.7408914793049917,1247.0,1287.3333333333333,582.8361459759547,1254.7721774193549,1926.708208862755,1247.0,1.247,30.5,25.5
1,1,3630079155.980572,0.7519107081607217,1240.0,1287.3333333333333,582.8361459759547,1254.7721774193549,1926.708208862755,1240.0,1.24,30.5,25.5
1,1,3630090176.161076,0.7629310440242989,1241.0,1287.3333333333333,582.8361459759547,1254.7721774193549,1926.708208862755,1241.0,1.241,30.5,25.5
1,1,3630101429.979965,0.7741871741236537,1229.0,1287.3333333333333,582.8361459759547,1254.7721774193549,1926.708208862755,1229.0,1.229,30.5,25.5
1,1,3630112622.4322147,0.7853763298044214,1216.0,1287.3333333333333,582.8361459759547,1254.7721774193549,1926.708208862755,1216.0,1.216,30.5,25.5
1,1,3630123687.8596277,0.7964384554943535,1211.0,1287.3333333333333,582.8361459759547,1254.7721774193549,1926.708208862755,1211.0,1.211,30.5,25.5
1,1,3630134707.8527646,0.8074576843500836,1202.0,1287.3333333333333,582.8361459759547,1254.7721774193549,1926.708208862755,1202.0,1.202,30.5,25.5
1,1,3630145743.273144,0.8184924114102614,1201.0,1287.3333333333333,582.8361459759547,1254.7721774193549,1926.708208862755,1201.0,1.201,30.5,25.5
