target,nontarget
outdoor_014,female_neutral_003
outdoor_020,female_neutral_014
outdoor_029,female_neutral_027
outdoor_010,female_neutral_022
outdoor_039,male_neutral_034
outdoor_011,female_neutral_007
outdoor_018,female_neutral_025
outdoor_036,male_neutral_014
outdoor_028,male_neutral_019
outdoor_019,male_neutral_036
outdoor_037,female_neutral_028
outdoor_009,male_neutral_006
outdoor_033,male_neutral_002
indoor_001,female_neutral_029
outdoor_001,female_neutral_039
outdoor_003,female_neutral_017
outdoor_044,female_neutral_021
outdoor_004,female_neutral_043
outdoor_006,female_neutral_005
outdoor_034,female_neutral_016
outdoor_021,male_neutral_039
outdoor_025,male_neutral_026
outdoor_038,male_neutral_020
outdoor_002,female_neutral_018
outdoor_007,male_neutral_025
indoor_004,male_neutral_043
outdoor_013,male_neutral_024
outdoor_023,female_neutral_006
indoor_008,female_neutral_038
outdoor_012,male_neutral_003
outdoor_041,male_neutral_040
outdoor_040,female_neutral_015
outdoor_026,female_neutral_024
outdoor_005,female_neutral_019
outdoor_045,male_neutral_018
indoor_020,male_neutral_013
outdoor_043,male_neutral_038
outdoor_024,male_neutral_044
outdoor_042,female_neutral_023
outdoor_032,male_neutral_022
indoor_011,male_neutral_029
outdoor_031,male_neutral_037
outdoor_008,female_neutral_011
outdoor_035,female_neutral_034
outdoor_022,male_neutral_015
outdoor_015,male_neutral_010
outdoor_030,female_neutral_010
outdoor_027,male_neutral_045
outdoor_016,male_neutral_023
outdoor_017,female_neutral_041
