target,nontarget
outdoor_025,female_neutral_045
outdoor_023,male_neutral_040
outdoor_011,male_neutral_025
outdoor_022,female_neutral_003
outdoor_029,male_neutral_032
outdoor_010,male_neutral_039
outdoor_007,female_neutral_010
outdoor_012,male_neutral_002
outdoor_039,female_neutral_005
outdoor_042,female_neutral_019
outdoor_028,male_neutral_024
outdoor_033,male_neutral_037
outdoor_013,female_neutral_013
indoor_031,male_neutral_007
outdoor_041,male_neutral_003
outdoor_024,female_neutral_030
outdoor_009,female_neutral_029
outdoor_005,male_neutral_043
outdoor_019,female_neutral_014
outdoor_035,male_neutral_019
outdoor_020,female_neutral_018
outdoor_002,male_neutral_033
outdoor_045,female_neutral_041
outdoor_036,female_neutral_042
outdoor_043,male_neutral_004
outdoor_017,male_neutral_036
outdoor_031,male_neutral_016
indoor_040,male_neutral_038
outdoor_034,male_neutral_008
outdoor_044,female_neutral_001
outdoor_040,male_neutral_020
outdoor_021,male_neutral_026
indoor_007,male_neutral_031
outdoor_026,male_neutral_013
outdoor_006,female_neutral_008
outdoor_004,female_neutral_002
outdoor_038,female_neutral_021
indoor_017,male_neutral_035
outdoor_030,female_neutral_022
outdoor_032,male_neutral_041
outdoor_018,female_neutral_033
outdoor_014,female_neutral_044
outdoor_015,female_neutral_009
indoor_039,female_neutral_012
outdoor_001,male_neutral_028
outdoor_027,female_neutral_011
outdoor_008,female_neutral_028
outdoor_037,male_neutral_011
outdoor_016,female_neutral_040
outdoor_003,female_neutral_017
