target,nontarget,targetType
male_sad_013,outdoor_018,male
male_sad_044,outdoor_021,male
female_sad_021,indoor_042,female
male_sad_023,indoor_045,male
male_sad_009,indoor_034,male
male_sad_003,indoor_033,male
male_sad_042,indoor_018,male
male_sad_019,outdoor_010,male
male_sad_030,outdoor_020,male
male_sad_029,outdoor_014,male
