target,nontarget,targetType
outdoor_025,female_sad_004,outdoor
outdoor_009,male_sad_009,outdoor
outdoor_018,male_sad_036,outdoor
outdoor_022,male_sad_032,outdoor
outdoor_011,female_sad_030,outdoor
outdoor_036,male_sad_041,outdoor
outdoor_023,male_sad_025,outdoor
outdoor_040,female_sad_008,outdoor
outdoor_010,female_sad_018,outdoor
indoor_010,female_sad_022,indoor
