target,nontarget,targetType
female_neutral_045,outdoor_038,female
female_neutral_002,outdoor_033,female
female_neutral_024,outdoor_041,female
female_neutral_031,outdoor_001,female
male_neutral_021,outdoor_017,male
female_neutral_001,outdoor_013,female
female_neutral_042,outdoor_043,female
female_neutral_041,outdoor_020,female
female_neutral_034,outdoor_003,female
female_neutral_013,outdoor_010,female
