target,nontarget,targetType
male_neutral_004,indoor_041,male
male_neutral_007,outdoor_038,male
male_neutral_011,indoor_007,male
male_neutral_039,indoor_021,male
male_neutral_013,outdoor_045,male
male_neutral_001,outdoor_011,male
male_neutral_040,indoor_037,male
female_neutral_043,indoor_038,female
male_neutral_038,outdoor_033,male
male_neutral_033,outdoor_009,male
