target,nontarget,targetType
outdoor_038,female_neutral_040,outdoor
indoor_027,male_neutral_044,indoor
indoor_016,female_neutral_035,indoor
indoor_030,male_neutral_038,indoor
indoor_002,male_neutral_027,indoor
indoor_032,female_neutral_024,indoor
indoor_010,female_neutral_021,indoor
indoor_020,female_neutral_010,indoor
indoor_019,male_neutral_020,indoor
indoor_028,male_neutral_028,indoor
