target,nontarget,targetType
male_neutral_003,indoor_007,male
male_neutral_001,indoor_019,male
male_neutral_009,outdoor_009,male
male_neutral_026,indoor_040,male
male_neutral_040,outdoor_032,male
female_neutral_011,indoor_030,female
male_neutral_029,outdoor_042,male
male_neutral_013,indoor_012,male
male_neutral_006,outdoor_012,male
male_neutral_027,outdoor_020,male
