target,nontarget,targetType
female_neutral_041,indoor_021,female
female_neutral_025,outdoor_040,female
male_neutral_010,outdoor_037,male
female_neutral_042,indoor_042,female
female_neutral_036,indoor_041,female
female_neutral_004,outdoor_018,female
female_neutral_008,indoor_034,female
female_neutral_029,outdoor_001,female
female_neutral_026,outdoor_035,female
female_neutral_001,indoor_005,female
