target,nontarget,targetType
male_neutral_009,indoor_007,male
male_neutral_018,outdoor_021,male
male_neutral_026,indoor_008,male
male_neutral_020,indoor_020,male
female_neutral_034,indoor_004,female
male_neutral_037,outdoor_036,male
male_neutral_045,indoor_002,male
male_neutral_015,outdoor_044,male
male_neutral_028,outdoor_010,male
male_neutral_007,outdoor_016,male
