target,nontarget,targetType
female_sad_028,outdoor_009,female
female_sad_044,outdoor_021,female
male_sad_021,indoor_018,male
female_sad_036,indoor_011,female
female_sad_032,indoor_013,female
female_sad_014,indoor_024,female
female_sad_005,outdoor_023,female
female_sad_026,outdoor_005,female
female_sad_030,indoor_032,female
female_sad_016,outdoor_007,female
