target,nontarget,targetType
indoor_018,male_sad_034,indoor
outdoor_026,female_sad_001,outdoor
indoor_040,male_sad_011,indoor
indoor_029,female_sad_034,indoor
indoor_002,male_sad_006,indoor
indoor_020,female_sad_029,indoor
indoor_028,female_sad_020,indoor
indoor_035,female_sad_017,indoor
indoor_026,male_sad_045,indoor
indoor_008,male_sad_017,indoor
