participant,session,code,expName,date,os,gpu,heap.used,heap.limit,browser,isWebcamUsed,WebcamMessage,WebcamDevice,webcamSize.px,luminance,isWindowSuccess,monitorSize.px,windowSize.px,diagonalSize.in,devicePixelRatio,isPageVisible,isFullscreen,scaling,gpuFullName,gpuType,browserFullName,browserBrand,browserVersion,osFullName,osBrand,osVersion
1082,5,F98,dotprobe_js,2018-02-26 18:08:00,Windows 8.1,ANGLE (Intel(R) HD Graphics 4600 Direct3D11 vs_5_0 ps_5_0),29.4MB,2190MB,Chrome 64,True,Success,C922,1280x720,0.5450980392156862,True,1920x1080,1920x1080,22.95,1,True,True,1,Intel HD Graphics 4600,integrated,Chrome 64,Chrome,64,Windows 8.1,Microsoft Windows,8.1
1082,6,F98,dotprobe_js,2018-02-28 05:18:00,Chrome OS 10323.39,Mesa DRI Intel(R) HD Graphics 515 (Skylake GT2) ,33.1MB,2060MB,Chrome 65,True,Success,USB2.0,1280x720,0.4784313725490196,True,1920x1080,1536x864,14.69,1.25,True,True,1,Intel HD Graphics 515,integrated,Chrome 65,Chrome,65,Chrome OS 10323.39,Chrome OS,10323.39
1082,7,F98,dotprobe_js,2018-02-28 18:26:00,Windows 8.1,ANGLE (Intel(R) HD Graphics 4600 Direct3D11 vs_5_0 ps_5_0),27.6MB,2190MB,Chrome 64,True,Success,C922,1280x720,0.5843137254901961,True,1920x1080,1920x1080,22.95,1,True,True,1,Intel HD Graphics 4600,integrated,Chrome 64,Chrome,64,Windows 8.1,Microsoft Windows,8.1
1082,8,F98,dotprobe_js,2018-03-02 02:55:00,Chrome OS 10323.39,Mesa DRI Intel(R) HD Graphics 515 (Skylake GT2) ,33.1MB,2060MB,Chrome 65,True,Success,USB2.0,1280x720,0.5098039215686274,True,1920x1080,1536x864,14.69,1.25,True,True,1,Intel HD Graphics 515,integrated,Chrome 65,Chrome,65,Chrome OS 10323.39,Chrome OS,10323.39
1082,9,F98,dotprobe_js,2018-03-03 01:07:00,Chrome OS 10323.39,Mesa DRI Intel(R) HD Graphics 515 (Skylake GT2) ,35.1MB,2060MB,Chrome 65,True,Success,USB2.0,1280x720,0.5176470588235295,True,1920x1080,1536x864,14.69,1.25,True,True,1,Intel HD Graphics 515,integrated,Chrome 65,Chrome,65,Chrome OS 10323.39,Chrome OS,10323.39
1103,0,P54,dotprobe_js,2018-03-13 17:31:00,Windows 10,ANGLE (Intel(R) HD Graphics 530 Direct3D11 vs_5_0 ps_5_0),27.6MB,2190MB,Chrome 64,True,Success,Integrated,1280x720,0.4784313725490196,True,1280x1024,1280x1024,17.07,1,True,True,0.9142857142857144,Intel HD Graphics 530,integrated,Chrome 64,Chrome,64,Windows 10,Microsoft Windows,10
1103,1,P54,dotprobe_js,2018-03-16 23:37:00,Mac OS X 10.12.6,Intel(R) HD Graphics 515,27.6MB,2190MB,Chrome 64,True,Success,FaceTime,640x480,0.4745098039215686,True,2560x1600,1280x800,7.86,2,True,True,0.7435714285714285,Intel HD Graphics 515,integrated,Chrome 64,Chrome,64,Mac OS X 10.12.6,macOS,10.12.6
1103,2,P54,dotprobe_js,2018-03-19 03:24:00,Mac OS X 10.12.6,Intel(R) HD Graphics 515,29.4MB,2190MB,Chrome 64,True,Success,FaceTime,640x480,0.06666666666666668,False,2560x1600,1280x800,7.86,2,True,True,0.7435714285714285,Intel HD Graphics 515,integrated,Chrome 64,Chrome,64,Mac OS X 10.12.6,macOS,10.12.6
1103,3,P54,dotprobe_js,2018-03-19 17:08:00,Windows 8.1,ANGLE (Intel(R) HD Graphics 4600 Direct3D11 vs_5_0 ps_5_0),26MB,2190MB,Chrome 64,True,Success,C922,1280x720,0.5568627450980392,True,1920x1080,1920x1080,22.95,1,True,True,1,Intel HD Graphics 4600,integrated,Chrome 64,Chrome,64,Windows 8.1,Microsoft Windows,8.1
1103,4,P54,dotprobe_js,2018-03-21 17:03:00,Windows 8.1,ANGLE (Intel(R) HD Graphics 4600 Direct3D11 vs_5_0 ps_5_0),27.6MB,2190MB,Chrome 64,True,Success,C922,1280x720,0.592156862745098,True,1920x1080,1920x1080,22.95,1,True,True,1,Intel HD Graphics 4600,integrated,Chrome 64,Chrome,64,Windows 8.1,Microsoft Windows,8.1
1103,5,P54,dotprobe_js,2018-03-24 03:01:00,Mac OS X 10.12.6,Intel(R) HD Graphics 515,29.4MB,2190MB,Chrome 64,True,Success,FaceTime,640x480,-1,False,2560x1600,1280x800,7.86,2,True,True,0.7435714285714285,Intel HD Graphics 515,integrated,Chrome 64,Chrome,64,Mac OS X 10.12.6,macOS,10.12.6
1103,6,P54,dotprobe_js,2018-03-26 04:10:00,Mac OS X 10.12.6,Intel(R) HD Graphics 515,27.6MB,2190MB,Chrome 64,True,Success,FaceTime,640x480,-1,False,2560x1600,1280x800,7.86,2,True,True,0.7435714285714285,Intel HD Graphics 515,integrated,Chrome 64,Chrome,64,Mac OS X 10.12.6,macOS,10.12.6
1103,7,P54,dotprobe_js,2018-03-26 17:00:00,Windows 8.1,ANGLE (Intel(R) HD Graphics 4600 Direct3D11 vs_5_0 ps_5_0),27.6MB,2190MB,Chrome 65,True,Success,C922,1280x720,0.5607843137254902,True,1920x1080,1920x1080,22.95,1,True,True,1,Intel HD Graphics 4600,integrated,Chrome 65,Chrome,65,Windows 8.1,Microsoft Windows,8.1
1103,8,P54,dotprobe_js,2018-03-28 04:09:00,Mac OS X 10.12.6,Intel(R) HD Graphics 515,27.6MB,2190MB,Chrome 65,True,Success,FaceTime,640x480,0.07058823529411765,True,2560x1600,1280x800,7.86,2,True,True,0.7435714285714285,Intel HD Graphics 515,integrated,Chrome 65,Chrome,65,Mac OS X 10.12.6,macOS,10.12.6
1103,9,P54,dotprobe_js,2018-03-28 20:10:00,Windows 8.1,ANGLE (Intel(R) HD Graphics 4600 Direct3D11 vs_5_0 ps_5_0),29.4MB,2190MB,Chrome 65,True,Success,C922,1280x720,0.5607843137254902,True,1920x1080,1920x1080,22.95,1,True,True,1,Intel HD Graphics 4600,integrated,Chrome 65,Chrome,65,Windows 8.1,Microsoft Windows,8.1
1143,0,M44,dotprobe_js,2018-03-29 16:16:00,Windows 10,ANGLE (Intel(R) HD Graphics 530 Direct3D11 vs_5_0 ps_5_0),27.6MB,2190MB,Chrome 65,True,Success,Integrated,1280x720,0.5215686274509804,True,1280x1024,1280x1024,17.07,1,True,True,0.9142857142857144,Intel HD Graphics 530,integrated,Chrome 65,Chrome,65,Windows 10,Microsoft Windows,10
1154,0,F21,dotprobe_js,2018-03-20 23:50:00,Windows 10,ANGLE (Intel(R) HD Graphics 530 Direct3D11 vs_5_0 ps_5_0),29.4MB,2190MB,Chrome 64,True,Success,Integrated,1280x720,0.4235294117647059,False,1280x1024,1280x1024,17.07,1,True,True,0.9142857142857144,Intel HD Graphics 530,integrated,Chrome 64,Chrome,64,Windows 10,Microsoft Windows,10
1154,10,F21,dotprobe_js,2018-04-03 18:32:00,Chrome OS 10032.86,Mesa DRI Intel(R) HD Graphics 400 (Braswell) ,27.6MB,2190MB,Chrome 63,True,Success,Real,1280x720,0.17254901960784313,False,1366x768,1366x768,16.32,1,True,True,0.9757142857142858,Intel HD Graphics 400 (Braswell),integrated,Chrome 63,Chrome,63,Chrome OS 10032.86,Chrome OS,10032.86
1154,11,F21,dotprobe_js,2018-04-04 16:58:00,Windows 8.1,ANGLE (Intel(R) HD Graphics 4600 Direct3D11 vs_5_0 ps_5_0),27.6MB,2190MB,Chrome 65,True,Success,C922,1280x720,0.5411764705882353,False,1920x1080,1920x1080,22.95,1,True,True,1,Intel HD Graphics 4600,integrated,Chrome 65,Chrome,65,Windows 8.1,Microsoft Windows,8.1
1154,12,F21,dotprobe_js,2018-04-09 00:20:00,Chrome OS 10176.73,Mesa DRI Intel(R) HD Graphics 400 (Braswell) ,29.4MB,2190MB,Chrome 64,True,Success,Real,1280x720,0.5333333333333333,False,1366x768,1366x768,16.32,1,True,True,0.9757142857142858,Intel HD Graphics 400 (Braswell),integrated,Chrome 64,Chrome,64,Chrome OS 10176.73,Chrome OS,10176.73
1154,13,F21,dotprobe_js,2018-04-09 00:51:00,Chrome OS 10176.73,Mesa DRI Intel(R) HD Graphics 400 (Braswell) ,27.6MB,2190MB,Chrome 64,True,Success,Real,1280x720,-1,False,1366x768,1366x768,16.32,1,True,True,0.9757142857142858,Intel HD Graphics 400 (Braswell),integrated,Chrome 64,Chrome,64,Chrome OS 10176.73,Chrome OS,10176.73
1154,14,F21,dotprobe_js,2018-04-10 02:46:00,Chrome OS 10176.73,Mesa DRI Intel(R) HD Graphics 400 (Braswell) ,29.4MB,2190MB,Chrome 64,True,Success,Real,1280x720,0.5098039215686274,False,1366x768,1366x768,16.32,1,True,True,0.9757142857142858,Intel HD Graphics 400 (Braswell),integrated,Chrome 64,Chrome,64,Chrome OS 10176.73,Chrome OS,10176.73
1154,15,F21,dotprobe_js,2018-04-10 15:29:00,Windows 8.1,ANGLE (Intel(R) HD Graphics 4600 Direct3D11 vs_5_0 ps_5_0),24.5MB,2190MB,Chrome 65,True,Success,C922,1280x720,0.611764705882353,True,1920x1080,1920x1080,22.95,1,True,True,1,Intel HD Graphics 4600,integrated,Chrome 65,Chrome,65,Windows 8.1,Microsoft Windows,8.1
