target,nontarget
male_sad_032,outdoor_004
male_sad_033,outdoor_022
male_sad_020,outdoor_044
male_sad_017,indoor_036
female_sad_041,indoor_030
male_sad_004,indoor_015
male_sad_014,outdoor_010
male_sad_005,indoor_022
male_sad_041,outdoor_029
male_sad_045,outdoor_032
male_sad_036,outdoor_018
male_sad_011,indoor_012
male_sad_008,indoor_009
male_sad_043,outdoor_023
male_sad_018,outdoor_027
male_sad_040,indoor_027
male_sad_034,indoor_011
male_sad_003,indoor_043
male_sad_027,indoor_021
male_sad_028,indoor_004
male_sad_007,outdoor_038
male_sad_016,indoor_040
male_sad_024,outdoor_007
male_sad_042,outdoor_001
male_sad_001,outdoor_042
female_sad_002,outdoor_015
male_sad_002,outdoor_045
male_sad_015,indoor_028
male_sad_044,outdoor_005
male_sad_009,indoor_003
male_sad_029,indoor_018
male_sad_026,indoor_025
female_sad_024,indoor_023
male_sad_006,outdoor_017
female_sad_025,outdoor_012
male_sad_025,indoor_034
male_sad_031,outdoor_034
male_sad_022,outdoor_025
female_sad_036,indoor_014
male_sad_035,outdoor_019
male_sad_023,indoor_002
male_sad_038,outdoor_009
male_sad_019,outdoor_035
male_sad_037,indoor_007
male_sad_030,outdoor_043
male_sad_021,indoor_024
male_sad_013,indoor_013
male_sad_039,outdoor_031
male_sad_012,indoor_039
male_sad_010,indoor_019
