target,nontarget
outdoor_020,male_neutral_037
outdoor_001,male_neutral_010
outdoor_013,female_neutral_045
outdoor_040,male_neutral_038
indoor_033,female_neutral_018
outdoor_023,male_neutral_022
outdoor_038,male_neutral_040
outdoor_012,female_neutral_022
outdoor_042,male_neutral_026
outdoor_008,female_neutral_037
outdoor_015,male_neutral_044
outdoor_014,female_neutral_032
outdoor_034,male_neutral_028
outdoor_036,male_neutral_014
indoor_032,female_neutral_030
outdoor_043,female_neutral_001
outdoor_029,female_neutral_026
outdoor_010,male_neutral_011
outdoor_035,female_neutral_041
outdoor_026,male_neutral_013
outdoor_022,male_neutral_009
indoor_013,male_neutral_031
outdoor_041,male_neutral_020
outdoor_019,female_neutral_013
outdoor_021,male_neutral_017
outdoor_005,male_neutral_004
outdoor_030,male_neutral_029
outdoor_018,female_neutral_006
outdoor_009,female_neutral_012
outdoor_044,female_neutral_014
indoor_008,male_neutral_023
outdoor_017,female_neutral_015
outdoor_037,male_neutral_002
outdoor_003,female_neutral_005
outdoor_024,male_neutral_027
outdoor_011,male_neutral_007
outdoor_025,female_neutral_042
outdoor_006,male_neutral_032
outdoor_028,female_neutral_036
outdoor_004,female_neutral_039
outdoor_007,female_neutral_031
outdoor_032,male_neutral_025
outdoor_027,male_neutral_003
outdoor_002,female_neutral_017
outdoor_039,female_neutral_027
outdoor_016,female_neutral_009
outdoor_031,female_neutral_024
outdoor_033,male_neutral_036
outdoor_045,female_neutral_004
indoor_031,female_neutral_038
