target,nontarget,targetType
outdoor_025,female_neutral_039,outdoor
outdoor_033,female_neutral_035,outdoor
outdoor_020,male_neutral_017,outdoor
indoor_012,male_neutral_003,indoor
outdoor_013,male_neutral_026,outdoor
outdoor_011,female_neutral_010,outdoor
outdoor_018,female_neutral_011,outdoor
outdoor_017,male_neutral_037,outdoor
outdoor_007,female_neutral_003,outdoor
outdoor_045,male_neutral_011,outdoor
