target,nontarget,targetType
outdoor_040,male_neutral_010,outdoor
outdoor_003,female_neutral_009,outdoor
indoor_020,female_neutral_015,indoor
outdoor_011,male_neutral_045,outdoor
outdoor_023,female_neutral_016,outdoor
outdoor_006,male_neutral_041,outdoor
outdoor_015,female_neutral_045,outdoor
outdoor_008,male_neutral_001,outdoor
outdoor_010,female_neutral_003,outdoor
outdoor_013,male_neutral_020,outdoor
