target,nontarget,targetType
outdoor_025,female_neutral_043,outdoor
outdoor_013,male_neutral_018,outdoor
indoor_024,female_neutral_012,indoor
outdoor_041,male_neutral_031,outdoor
outdoor_004,male_neutral_034,outdoor
outdoor_020,female_neutral_028,outdoor
outdoor_008,female_neutral_006,outdoor
outdoor_030,female_neutral_009,outdoor
outdoor_040,male_neutral_042,outdoor
outdoor_044,male_neutral_029,outdoor
