target,nontarget,targetType
indoor_011,female_neutral_043,indoor
indoor_022,male_neutral_041,indoor
indoor_026,female_neutral_023,indoor
indoor_010,male_neutral_044,indoor
indoor_012,male_neutral_017,indoor
outdoor_036,male_neutral_042,outdoor
indoor_044,female_neutral_011,indoor
indoor_041,female_neutral_035,indoor
indoor_024,male_neutral_045,indoor
indoor_029,female_neutral_027,indoor
