target,nontarget,targetType
indoor_016,male_neutral_016,indoor
indoor_022,male_neutral_018,indoor
outdoor_017,female_neutral_041,outdoor
indoor_028,female_neutral_001,indoor
indoor_043,male_neutral_045,indoor
indoor_044,female_neutral_012,indoor
indoor_040,male_neutral_014,indoor
indoor_035,female_neutral_034,indoor
indoor_030,male_neutral_025,indoor
indoor_036,female_neutral_040,indoor
