subject	block	calibration_no	datapoint	time	x	y	cx	cy	distance	calibration_count
1	6	8	1	14203669	1441	878	870	910	571	20
1	6	8	2	14203702	1510	924	870	910	640	20
1	6	8	3	14203736	1339	1193	870	910	547	20
1	6	8	4	14203766	1329	948	870	910	460	20
1	6	8	5	14203795	1371	1058	870	910	522	20
1	6	8	6	14203825	1476	1239	870	910	689	20
1	6	8	7	14203856	1340	1117	870	910	513	20
1	6	8	8	14203888	1413	1022	870	910	554	20
1	6	8	9	14203917	1454	1032	870	910	596	20
1	6	8	10	14203947	1405	929	870	910	535	20
1	6	8	11	14203977	1468	944	870	910	598	20
1	6	8	12	14204008	1219	866	870	910	351	20
1	6	8	13	14204037	922	985	870	910	91	20
1	6	8	14	14204067	1036	1229	870	910	359	20
1	6	8	15	14204098	1099	1069	870	910	278	20
1	6	8	16	14204128	1195	1025	870	910	344	20
1	6	8	17	14204158	880	1014	870	910	104	20
1	6	8	18	14204190	923	1066	870	910	164	20
1	6	8	19	14204219	984	1072	870	910	198	20
1	6	8	20	14204250	713	984	870	910	173	20
1	6	8	21	14204280	1051	1029	870	910	216	20
1	6	8	22	14204312	1104	1064	870	910	280	20
1	6	8	23	14204344	754	1194	870	910	306	20
1	6	8	24	14204374	1253	1249	870	910	511	20
1	6	8	25	14204408	1004	1287	870	910	400	20
1	6	8	26	14204447	1319	1020	870	910	462	19
1	6	8	27	14204480	760	1152	870	910	265	19
1	6	8	28	14204511	713	1173	870	910	306	19
1	6	8	29	14204540	539	1163	870	910	416	19
1	6	8	30	14204570	475	1012	870	910	407	19
1	6	8	31	14204606	763	1103	870	910	220	18
1	6	8	32	14204638	739	1146	870	910	269	18
1	6	8	33	14204669	999	939	870	910	132	18
1	6	8	34	14204699	974	999	870	910	136	18
1	6	8	35	14204729	816	979	870	910	87	18
1	6	8	36	14204767	894	876	870	910	41	17
1	6	8	37	14204800	812	1129	870	910	226	17
1	6	8	38	14204830	805	950	870	910	76	17
1	6	8	39	14204859	864	1083	870	910	173	17
1	6	8	40	14204888	882	872	870	910	39	17
1	6	8	41	14204926	898	863	870	910	54	16
1	6	8	42	14205055	705	537	870	910	407	16
1	6	8	43	14205086	731	463	870	910	468	16
1	6	8	44	14205121	895	1087	870	910	178	15
1	6	8	45	14205153	974	1030	870	910	158	15
1	6	8	46	14205185	976	1060	870	910	183	15
1	6	8	47	14205214	1265	683	870	910	455	15
1	6	8	48	14205244	1092	642	870	910	348	15
1	6	8	49	14205281	731	907	870	910	139	14
1	6	8	50	14205313	767	944	870	910	108	14
