subject	block	task	trial_no	datapoint	time	condition	x	y	tx	ty	status
1	3	pursuit	22	1	3091568	pursuit_80%_80%_20%_20%	1194	493	2023	1127	fixation_onset
1	3	pursuit	22	2	3091610	pursuit_80%_80%_20%_20%	1100	538	2023	1127	fixation_onset
1	3	pursuit	22	3	3091644	pursuit_80%_80%_20%_20%	1100	538	2023	1127	fixation_onset
1	3	pursuit	22	4	3091675	pursuit_80%_80%_20%_20%	1275	539	2023	1127	fixation_onset
1	3	pursuit	22	5	3091710	pursuit_80%_80%_20%_20%	790	646	2023	1127	fixation_onset
1	3	pursuit	22	6	3091745	pursuit_80%_80%_20%_20%	959	1072	2023	1127	fixation_onset
1	3	pursuit	22	7	3091779	pursuit_80%_80%_20%_20%	1053	976	2023	1127	fixation_onset
1	3	pursuit	22	8	3091811	pursuit_80%_80%_20%_20%	1021	1001	2023	1127	fixation_onset
1	3	pursuit	22	9	3091841	pursuit_80%_80%_20%_20%	741	990	2023	1127	fixation_onset
1	3	pursuit	22	10	3091871	pursuit_80%_80%_20%_20%	811	930	2023	1127	fixation_onset
1	3	pursuit	22	11	3091902	pursuit_80%_80%_20%_20%	811	930	2023	1127	fixation_onset
1	3	pursuit	22	12	3091935	pursuit_80%_80%_20%_20%	658	957	2023	1127	fixation_onset
1	3	pursuit	22	13	3091971	pursuit_80%_80%_20%_20%	729	918	2023	1127	fixation_onset
1	3	pursuit	22	14	3092003	pursuit_80%_80%_20%_20%	724	879	2023	1127	fixation_onset
1	3	pursuit	22	15	3092035	pursuit_80%_80%_20%_20%	724	879	2023	1127	fixation_onset
1	3	pursuit	22	16	3092069	pursuit_80%_80%_20%_20%	893	760	2023	1127	fixation_onset
1	3	pursuit	22	17	3092102	pursuit_80%_80%_20%_20%	968	842	2023	1127	fixation_onset
1	3	pursuit	22	18	3092136	pursuit_80%_80%_20%_20%	1317	835	2023	1127	fixation_onset
1	3	pursuit	22	19	3092169	pursuit_80%_80%_20%_20%	1226	503	2023	1127	fixation_onset
1	3	pursuit	22	20	3092203	pursuit_80%_80%_20%_20%	1425	726	2023	1127	fixation_onset
1	3	pursuit	22	21	3092234	pursuit_80%_80%_20%_20%	1742	620	2023	1127	fixation_onset
1	3	pursuit	22	22	3092266	pursuit_80%_80%_20%_20%	1611	764	2023	1127	fixation_onset
1	3	pursuit	22	23	3092299	pursuit_80%_80%_20%_20%	1649	713	2023	1127	fixation_onset
1	3	pursuit	22	24	3092331	pursuit_80%_80%_20%_20%	1398	879	2023	1127	fixation_onset
1	3	pursuit	22	25	3092364	pursuit_80%_80%_20%_20%	1493	819	2023	1127	fixation_onset
1	3	pursuit	22	26	3092395	pursuit_80%_80%_20%_20%	1661	887	2023	1127	fixation_onset
1	3	pursuit	22	27	3092430	pursuit_80%_80%_20%_20%	1619	904	2023	1127	fixation_onset
1	3	pursuit	22	28	3092462	pursuit_80%_80%_20%_20%	1728	833	2023	1127	fixation_onset
1	3	pursuit	22	29	3092495	pursuit_80%_80%_20%_20%	1729	898	2023	1127	fixation_onset
1	3	pursuit	22	30	3092529	pursuit_80%_80%_20%_20%	1613	746	2023	1127	fixation_onset
1	3	pursuit	22	31	3092561	pursuit_80%_80%_20%_20%	1611	769	2023	1127	fixation_onset
1	3	pursuit	22	32	3092595	pursuit_80%_80%_20%_20%	1680	606	2023	1127	fixation_onset
1	3	pursuit	22	33	3092630	pursuit_80%_80%_20%_20%	1661	723	2023	1127	fixation_onset
1	3	pursuit	22	34	3092662	pursuit_80%_80%_20%_20%	1528	887	2023	1127	fixation_onset
1	3	pursuit	22	35	3092695	pursuit_80%_80%_20%_20%	1641	670	2023	1127	fixation_onset
1	3	pursuit	22	36	3092729	pursuit_80%_80%_20%_20%	1407	483	2023	1127	fixation_onset
1	3	pursuit	22	37	3092762	pursuit_80%_80%_20%_20%	1285	546	2023	1127	fixation_onset
1	3	pursuit	22	38	3092794	pursuit_80%_80%_20%_20%	1337	734	2023	1127	fixation_onset
