subject	block	calibration_no	datapoint	time	x	y	cx	cy	distance	calibration_count
1	3	18	1	2923878	2058	1083	1254	694	893	20
1	3	18	2	2923911	2016	1043	1254	694	838	20
1	3	18	3	2923943	2183	1025	1254	694	986	20
1	3	18	4	2923976	1928	984	1254	694	733	20
1	3	18	5	2924011	1471	1248	1254	694	594	20
1	3	18	6	2924044	1758	1179	1254	694	699	20
1	3	18	7	2924077	1719	1170	1254	694	665	20
1	3	18	8	2924108	1798	1357	1254	694	857	20
1	3	18	9	2924140	1761	1255	1254	694	756	20
1	3	18	10	2924170	1703	1339	1254	694	785	20
1	3	18	11	2924205	1181	864	1254	694	185	20
1	3	18	12	2924239	1468	469	1254	694	310	20
1	3	18	13	2924272	917	657	1254	694	339	20
1	3	18	14	2924303	1175	652	1254	694	89	20
1	3	18	15	2924337	1434	334	1254	694	402	20
1	3	18	16	2924371	1445	527	1254	694	253	20
1	3	18	17	2924404	1239	885	1254	694	191	20
1	3	18	18	2924436	1259	613	1254	694	81	20
1	3	18	19	2924470	979	453	1254	694	365	20
1	3	18	20	2924503	1022	633	1254	694	239	20
1	3	18	21	2924537	1204	568	1254	694	135	20
1	3	18	22	2924569	1314	722	1254	694	66	20
1	3	18	23	2924602	1239	753	1254	694	60	20
1	3	18	24	2924634	1271	739	1254	694	48	20
1	3	18	25	2924677	1146	634	1254	694	123	19
1	3	18	26	2924712	1293	649	1254	694	59	19
1	3	18	27	2924745	1191	615	1254	694	101	19
1	3	18	28	2924776	1258	504	1254	694	190	19
1	3	18	29	2924812	1173	598	1254	694	125	18
1	3	18	30	2924846	1429	610	1254	694	194	18
1	3	18	31	2924880	1328	663	1254	694	80	18
1	3	18	32	2924913	1368	605	1254	694	144	18
1	3	18	33	2924946	1699	881	1254	694	482	18
1	3	18	34	2924985	1640	858	1254	694	419	17
1	3	18	35	2925020	1424	749	1254	694	178	17
1	3	18	36	2925052	1035	486	1254	694	302	17
1	3	18	37	2925085	1317	706	1254	694	64	17
1	3	18	38	2925123	1224	661	1254	694	44	16
1	3	18	39	2925158	1414	506	1254	694	246	16
1	3	18	40	2925191	1464	575	1254	694	241	16
1	3	18	41	2925225	1755	955	1254	694	564	16
1	3	18	42	2925263	1746	866	1254	694	521	15
1	3	18	43	2925298	1689	767	1254	694	441	15
1	3	18	44	2925332	1309	711	1254	694	57	15
1	3	18	45	2925365	1146	574	1254	694	161	15
1	3	18	46	2925405	1148	663	1254	694	110	14
1	3	18	47	2925439	1157	555	1254	694	169	14
1	3	18	48	2925473	1084	514	1254	694	247	14
1	3	18	49	2925507	1068	654	1254	694	190	14
1	3	18	50	2925546	840	863	1254	694	447	13
1	3	18	51	2925580	930	821	1254	694	348	13
1	3	18	52	2925613	1177	757	1254	694	99	13
1	3	18	53	2925647	1131	521	1254	694	212	13
1	3	18	54	2925681	1244	509	1254	694	185	13
1	3	18	55	2925721	1057	550	1254	694	244	12
1	3	18	56	2925755	1057	550	1254	694	244	12
1	3	18	57	2925787	1114	576	1254	694	183	12
1	3	18	58	2925820	1538	739	1254	694	287	12
1	3	18	59	2925859	1275	797	1254	694	105	11
1	3	18	60	2925890	1182	558	1254	694	153	11
1	3	18	61	2925921	1104	545	1254	694	211	11
1	3	18	62	2925952	1267	555	1254	694	139	11
1	3	18	63	2925992	1343	536	1254	694	181	10
1	3	18	64	2926025	1127	730	1254	694	132	10
1	3	18	65	2926055	1323	659	1254	694	77	10
1	3	18	66	2926088	1368	704	1254	694	114	10
1	3	18	67	2926118	1330	679	1254	694	77	10
1	3	18	68	2926160	1271	681	1254	694	21	9
1	3	18	69	2926193	1193	785	1254	694	109	9
1	3	18	70	2926224	1445	691	1254	694	191	9
1	3	18	71	2926258	1385	686	1254	694	131	9
1	3	18	72	2926292	1247	917	1254	694	223	9
1	3	18	73	2926334	1020	566	1254	694	266	8
1	3	18	74	2926366	1067	265	1254	694	467	8
1	3	18	75	2926398	953	390	1254	694	427	8
1	3	18	76	2926429	1206	335	1254	694	362	8
1	3	18	77	2926470	1357	483	1254	694	234	7
1	3	18	78	2926507	1231	745	1254	694	55	7
1	3	18	79	2926540	1481	687	1254	694	227	7
1	3	18	80	2926572	1606	699	1254	694	352	7
1	3	18	81	2926613	1334	811	1254	694	141	6
1	3	18	82	2926649	1301	867	1254	694	179	6
1	3	18	83	2926680	1384	780	1254	694	155	6
1	3	18	84	2926714	1133	698	1254	694	121	6
1	3	18	85	2926753	1343	683	1254	694	89	5
1	3	18	86	2926788	1115	575	1254	694	182	5
1	3	18	87	2926821	1233	645	1254	694	53	5
1	3	18	88	2926854	1148	587	1254	694	150	5
1	3	18	89	2926891	1260	605	1254	694	89	4
1	3	18	90	2926925	1039	588	1254	694	239	4
1	3	18	91	2926958	1199	595	1254	694	113	4
1	3	18	92	2926990	757	373	1254	694	591	4
1	3	18	93	2927020	1168	667	1254	694	90	4
1	3	18	94	2927058	1030	658	1254	694	226	3
1	3	18	95	2927089	910	562	1254	694	368	3
1	3	18	96	2927121	823	566	1254	694	449	3
1	3	18	97	2927154	957	451	1254	694	383	3
1	3	18	98	2927187	1326	854	1254	694	175	3
1	3	18	99	2927226	1442	712	1254	694	188	2
1	3	18	100	2927262	1321	627	1254	694	94	2
1	3	18	101	2927297	1274	632	1254	694	65	2
1	3	18	102	2927335	1388	537	1254	694	206	1
1	3	18	103	2927369	1142	467	1254	694	253	1
1	3	18	104	2927401	1211	557	1254	694	143	1
1	3	18	105	2927435	1475	793	1254	694	242	1
1	3	18	106	2927470	1544	789	1254	694	305	1
