subject	block	task	trial_no	datapoint	time	condition	x	y	tx	ty	status
1	1	simple	17	1	225202	dot_80%_80%	518	484	0	0	fixation_onset
1	1	simple	17	2	225253	dot_80%_80%	593	540	0	0	fixation_onset
1	1	simple	17	3	225290	dot_80%_80%	578	595	0	0	fixation_onset
1	1	simple	17	4	225325	dot_80%_80%	516	463	0	0	fixation_onset
1	1	simple	17	5	225360	dot_80%_80%	546	491	0	0	fixation_onset
1	1	simple	17	6	225397	dot_80%_80%	524	626	0	0	fixation_onset
1	1	simple	17	7	225433	dot_80%_80%	513	712	0	0	fixation_onset
1	1	simple	17	8	225468	dot_80%_80%	463	582	0	0	fixation_onset
1	1	simple	17	9	225503	dot_80%_80%	400	577	0	0	fixation_onset
1	1	simple	17	10	225538	dot_80%_80%	400	577	0	0	fixation_onset
1	1	simple	17	11	225574	dot_80%_80%	620	457	0	0	fixation_onset
1	1	simple	17	12	225610	dot_80%_80%	591	477	0	0	fixation_onset
1	1	simple	17	13	225645	dot_80%_80%	574	608	0	0	fixation_onset
1	1	simple	17	14	225682	dot_80%_80%	601	561	0	0	fixation_onset
1	1	simple	17	15	225717	dot_80%_80%	845	459	0	0	fixation_onset
1	1	simple	17	16	225754	dot_80%_80%	710	469	0	0	fixation_onset
1	1	simple	17	17	225790	dot_80%_80%	559	605	0	0	fixation_onset
1	1	simple	17	18	225825	dot_80%_80%	599	719	0	0	fixation_onset
1	1	simple	17	19	225860	dot_80%_80%	620	652	0	0	fixation_onset
1	1	simple	17	20	225896	dot_80%_80%	559	644	0	0	fixation_onset
1	1	simple	17	21	225934	dot_80%_80%	379	520	0	0	fixation_onset
1	1	simple	17	22	225970	dot_80%_80%	563	340	0	0	fixation_onset
1	1	simple	17	23	226005	dot_80%_80%	440	509	0	0	fixation_onset
1	1	simple	17	24	226040	dot_80%_80%	531	581	0	0	fixation_onset
1	1	simple	17	25	226077	dot_80%_80%	432	595	0	0	fixation_onset
1	1	simple	17	26	226114	dot_80%_80%	484	409	0	0	fixation_onset
1	1	simple	17	27	226150	dot_80%_80%	590	483	0	0	fixation_onset
1	1	simple	17	28	226184	dot_80%_80%	447	359	0	0	fixation_onset
1	1	simple	17	29	226220	dot_80%_80%	635	421	0	0	fixation_onset
1	1	simple	17	30	226257	dot_80%_80%	551	373	0	0	fixation_onset
1	1	simple	17	31	226292	dot_80%_80%	767	280	0	0	fixation_onset
1	1	simple	17	32	226326	dot_80%_80%	832	294	0	0	fixation_onset
1	1	simple	17	33	226361	dot_80%_80%	813	378	0	0	fixation_onset
1	1	simple	17	34	226396	dot_80%_80%	752	324	0	0	fixation_onset
1	1	simple	17	35	226432	dot_80%_80%	725	370	0	0	fixation_onset
1	1	simple	17	36	226470	dot_80%_80%	789	287	0	0	fixation_onset
1	1	simple	17	37	226507	dot_80%_80%	678	434	0	0	fixation_onset
1	1	simple	17	38	226543	dot_80%_80%	692	331	0	0	fixation_onset
1	1	simple	17	39	226580	dot_80%_80%	1654	54	0	0	fixation_onset
1	1	simple	17	40	226616	dot_80%_80%	1509	1126	0	0	fixation_onset
1	1	simple	17	41	226653	dot_80%_80%	976	409	0	0	fixation_onset
1	1	simple	17	42	226688	dot_80%_80%	1512	-86	0	0	fixation_onset
1	1	simple	17	43	226722	dot_80%_80%	959	295	0	0	fixation_onset
1	1	simple	17	44	226760	dot_80%_80%	1338	679	0	0	fixation_offset
1	1	simple	17	45	226796	dot_80%_80%	1470	750	0	0	fixation_offset
1	1	simple	17	46	226830	dot_80%_80%	1468	704	0	0	fixation_offset
1	1	simple	17	47	226866	dot_80%_80%	1400	1008	0	0	fixation_offset
1	1	simple	17	48	226901	dot_80%_80%	1241	734	0	0	fixation_offset
1	1	simple	17	49	226937	dot_80%_80%	1409	589	0	0	fixation_offset
1	1	simple	17	50	226975	dot_80%_80%	1346	811	0	0	fixation_offset
1	1	simple	17	51	227010	dot_80%_80%	1383	572	0	0	fixation_offset
1	1	simple	17	52	227045	dot_80%_80%	1289	738	0	0	fixation_offset
1	1	simple	17	53	227081	dot_80%_80%	1376	789	0	0	fixation_offset
1	1	simple	17	54	227117	dot_80%_80%	1376	789	0	0	fixation_offset
1	1	simple	17	55	227154	dot_80%_80%	935	580	0	0	fixation_offset
1	1	simple	17	56	227189	dot_80%_80%	1088	772	0	0	fixation_offset
1	1	simple	17	57	227223	dot_80%_80%	1022	638	0	0	fixation_offset
1	1	simple	17	58	227260	dot_80%_80%	1115	750	2023	1127	stimulus_onset
1	1	simple	17	59	227310	dot_80%_80%	1142	809	2023	1127	stimulus_onset
1	1	simple	17	60	227348	dot_80%_80%	1476	819	2023	1127	stimulus_onset
1	1	simple	17	61	227385	dot_80%_80%	1126	927	2023	1127	stimulus_onset
1	1	simple	17	62	227421	dot_80%_80%	1013	458	2023	1127	stimulus_onset
1	1	simple	17	63	227457	dot_80%_80%	1350	722	2023	1127	stimulus_onset
1	1	simple	17	64	227494	dot_80%_80%	968	617	2023	1127	stimulus_onset
1	1	simple	17	65	227529	dot_80%_80%	1683	1047	2023	1127	stimulus_onset
1	1	simple	17	66	227564	dot_80%_80%	1729	1181	2023	1127	stimulus_onset
1	1	simple	17	67	227598	dot_80%_80%	1763	1171	2023	1127	stimulus_onset
1	1	simple	17	68	227634	dot_80%_80%	2161	990	2023	1127	stimulus_onset
1	1	simple	17	69	227671	dot_80%_80%	2115	1300	2023	1127	stimulus_onset
1	1	simple	17	70	227705	dot_80%_80%	1619	1015	2023	1127	stimulus_onset
1	1	simple	17	71	227740	dot_80%_80%	1665	1069	2023	1127	stimulus_onset
1	1	simple	17	72	227775	dot_80%_80%	1676	1271	2023	1127	stimulus_onset
1	1	simple	17	73	227811	dot_80%_80%	1664	1191	2023	1127	stimulus_onset
1	1	simple	17	74	227848	dot_80%_80%	1621	1155	2023	1127	stimulus_onset
1	1	simple	17	75	227885	dot_80%_80%	1512	1165	2023	1127	stimulus_onset
1	1	simple	17	76	227923	dot_80%_80%	1384	1091	2023	1127	stimulus_onset
1	1	simple	17	77	227961	dot_80%_80%	1553	883	2023	1127	stimulus_onset
1	1	simple	17	78	227999	dot_80%_80%	1553	883	2023	1127	stimulus_onset
1	1	simple	17	79	228035	dot_80%_80%	1553	883	2023	1127	stimulus_onset
1	1	simple	17	80	228071	dot_80%_80%	1587	1117	2023	1127	stimulus_onset
1	1	simple	17	81	228106	dot_80%_80%	1599	1092	2023	1127	stimulus_onset
1	1	simple	17	82	228143	dot_80%_80%	1458	1139	2023	1127	stimulus_onset
1	1	simple	17	83	228180	dot_80%_80%	1562	1000	2023	1127	stimulus_onset
1	1	simple	17	84	228215	dot_80%_80%	1475	865	2023	1127	stimulus_onset
1	1	simple	17	85	228250	dot_80%_80%	1731	892	2023	1127	stimulus_onset
1	1	simple	17	86	228286	dot_80%_80%	1731	892	2023	1127	stimulus_onset
1	1	simple	17	87	228324	dot_80%_80%	1878	1146	2023	1127	stimulus_onset
1	1	simple	17	88	228362	dot_80%_80%	1565	1001	2023	1127	stimulus_onset
1	1	simple	17	89	228397	dot_80%_80%	1758	1019	2023	1127	stimulus_onset
1	1	simple	17	90	228434	dot_80%_80%	1718	1068	2023	1127	stimulus_onset
1	1	simple	17	91	228468	dot_80%_80%	1743	1044	2023	1127	stimulus_onset
1	1	simple	17	92	228504	dot_80%_80%	1957	994	2023	1127	stimulus_onset
1	1	simple	17	93	228541	dot_80%_80%	1834	1121	2023	1127	stimulus_onset
1	1	simple	17	94	228577	dot_80%_80%	1855	1201	2023	1127	stimulus_onset
1	1	simple	17	95	228613	dot_80%_80%	1672	1058	2023	1127	stimulus_onset
1	1	simple	17	96	228648	dot_80%_80%	1785	962	2023	1127	stimulus_onset
1	1	simple	17	97	228687	dot_80%_80%	1785	962	2023	1127	stimulus_onset
1	1	simple	17	98	228724	dot_80%_80%	1740	918	2023	1127	stimulus_onset
1	1	simple	17	99	228759	dot_80%_80%	1648	745	2023	1127	stimulus_onset
1	1	simple	17	100	228795	dot_80%_80%	1703	1066	2023	1127	stimulus_onset
1	1	simple	17	101	228833	dot_80%_80%	1932	943	2023	1127	stimulus_onset
1	1	simple	17	102	228870	dot_80%_80%	1896	1126	2023	1127	stimulus_onset
1	1	simple	17	103	228906	dot_80%_80%	1946	1036	2023	1127	stimulus_onset
1	1	simple	17	104	228941	dot_80%_80%	1722	1098	2023	1127	stimulus_onset
1	1	simple	17	105	228976	dot_80%_80%	1725	1147	2023	1127	stimulus_onset
1	1	simple	17	106	229013	dot_80%_80%	1507	982	2023	1127	stimulus_onset
1	1	simple	17	107	229050	dot_80%_80%	1643	1105	2023	1127	stimulus_onset
1	1	simple	17	108	229085	dot_80%_80%	1643	1105	2023	1127	stimulus_onset
1	1	simple	17	109	229120	dot_80%_80%	1622	1090	2023	1127	stimulus_onset
1	1	simple	17	110	229156	dot_80%_80%	2063	1200	2023	1127	stimulus_onset
1	1	simple	17	111	229192	dot_80%_80%	1889	1053	2023	1127	stimulus_onset
1	1	simple	17	112	229228	dot_80%_80%	1957	1382	2023	1127	stimulus_onset
1	1	simple	17	113	229264	dot_80%_80%	1857	1211	2023	1127	stimulus_onset
