subject	block	task	trial_no	datapoint	time	condition	x	y	tx	ty	status
1	5	freeviewing	8	1	13245027	view_stimuli/tolcam_face_06.png_right	1283	671	-1	-1	fixation_onset
1	5	freeviewing	8	2	13245068	view_stimuli/tolcam_face_06.png_right	1376	787	-1	-1	fixation_onset
1	5	freeviewing	8	3	13245101	view_stimuli/tolcam_face_06.png_right	1008	576	-1	-1	fixation_onset
1	5	freeviewing	8	4	13245136	view_stimuli/tolcam_face_06.png_right	1658	911	-1	-1	fixation_onset
1	5	freeviewing	8	5	13245168	view_stimuli/tolcam_face_06.png_right	2038	1192	-1	-1	fixation_onset
1	5	freeviewing	8	6	13245204	view_stimuli/tolcam_face_06.png_right	2457	1154	-1	-1	fixation_onset
1	5	freeviewing	8	7	13245241	view_stimuli/tolcam_face_06.png_right	1440	577	-1	-1	fixation_onset
1	5	freeviewing	8	8	13245276	view_stimuli/tolcam_face_06.png_right	1137	497	-1	-1	fixation_onset
1	5	freeviewing	8	9	13245308	view_stimuli/tolcam_face_06.png_right	1382	858	-1	-1	fixation_onset
1	5	freeviewing	8	10	13245339	view_stimuli/tolcam_face_06.png_right	1495	1118	-1	-1	fixation_onset
1	5	freeviewing	8	11	13245372	view_stimuli/tolcam_face_06.png_right	1707	693	-1	-1	fixation_onset
1	5	freeviewing	8	12	13245407	view_stimuli/tolcam_face_06.png_right	1922	1288	-1	-1	fixation_onset
1	5	freeviewing	8	13	13245439	view_stimuli/tolcam_face_06.png_right	1845	1655	-1	-1	fixation_onset
1	5	freeviewing	8	14	13245473	view_stimuli/tolcam_face_06.png_right	1669	877	-1	-1	fixation_onset
1	5	freeviewing	8	15	13245506	view_stimuli/tolcam_face_06.png_right	1317	835	-1	-1	fixation_onset
1	5	freeviewing	8	16	13245538	view_stimuli/tolcam_face_06.png_right	1626	1173	-1	-1	fixation_onset
1	5	freeviewing	8	17	13245671	view_stimuli/tolcam_face_06.png_right	523	-593	-1	-1	fixation_onset
1	5	freeviewing	8	18	13245703	view_stimuli/tolcam_face_06.png_right	550	220	-1	-1	fixation_onset
1	5	freeviewing	8	19	13245733	view_stimuli/tolcam_face_06.png_right	550	220	-1	-1	fixation_onset
1	5	freeviewing	8	20	13245763	view_stimuli/tolcam_face_06.png_right	1642	1368	-1	-1	fixation_onset
1	5	freeviewing	8	21	13245793	view_stimuli/tolcam_face_06.png_right	1251	1356	-1	-1	fixation_onset
