subject	block	calibration_no	datapoint	time	x	y	cx	cy	distance	calibration_count
1	6	9	1	14207592	1250	567	2022	1126	953	20
1	6	9	2	14207624	1170	978	2022	1126	864	20
1	6	9	3	14207654	993	847	2022	1126	1066	20
1	6	9	4	14207684	993	847	2022	1126	1066	20
1	6	9	5	14207716	960	731	2022	1126	1133	20
1	6	9	6	14207746	1084	1035	2022	1126	942	20
1	6	9	7	14207776	1303	796	2022	1126	791	20
1	6	9	8	14207806	1257	649	2022	1126	901	20
1	6	9	9	14207836	950	628	2022	1126	1182	20
1	6	9	10	14207866	1391	410	2022	1126	954	20
1	6	9	11	14207898	1540	445	2022	1126	834	20
1	6	9	12	14207928	1540	445	2022	1126	834	20
1	6	9	13	14207959	1466	345	2022	1126	958	20
1	6	9	14	14207990	1135	687	2022	1126	989	20
1	6	9	15	14208022	1045	549	2022	1126	1134	20
1	6	9	16	14208052	1138	783	2022	1126	948	20
1	6	9	17	14208082	1138	783	2022	1126	948	20
1	6	9	18	14208112	1326	656	2022	1126	839	20
1	6	9	19	14208143	1400	957	2022	1126	644	20
1	6	9	20	14208176	1104	1007	2022	1126	925	20
1	6	9	21	14208210	1196	1114	2022	1126	826	20
1	6	9	22	14208239	1085	944	2022	1126	954	20
1	6	9	23	14208268	1001	973	2022	1126	1032	20
1	6	9	24	14208299	1034	963	2022	1126	1001	20
1	6	9	25	14208333	1046	945	2022	1126	992	20
1	6	9	26	14208374	1536	1045	2022	1126	492	19
1	6	9	27	14208405	1806	937	2022	1126	287	19
1	6	9	28	14208434	1562	1091	2022	1126	461	19
1	6	9	29	14208463	1733	1091	2022	1126	291	19
1	6	9	30	14208494	1733	1091	2022	1126	291	19
1	6	9	31	14208533	1960	973	2022	1126	165	18
1	6	9	32	14208565	1635	874	2022	1126	461	18
1	6	9	33	14208596	1764	904	2022	1126	340	18
1	6	9	34	14208626	1764	904	2022	1126	340	18
1	6	9	35	14208660	1711	925	2022	1126	370	18
1	6	9	36	14208699	1659	1273	2022	1126	391	17
1	6	9	37	14208730	1493	1056	2022	1126	533	17
1	6	9	38	14208762	1469	922	2022	1126	589	17
1	6	9	39	14208793	1576	1019	2022	1126	458	17
1	6	9	40	14208826	1633	881	2022	1126	459	17
1	6	9	41	14208865	1754	1160	2022	1126	270	16
1	6	9	42	14208895	1713	1223	2022	1126	323	16
1	6	9	43	14208927	1607	1188	2022	1126	419	16
1	6	9	44	14208960	1761	1282	2022	1126	304	16
1	6	9	45	14208991	1815	1142	2022	1126	207	16
1	6	9	46	14209029	1632	1323	2022	1126	436	15
1	6	9	47	14209063	1730	1188	2022	1126	298	15
1	6	9	48	14209092	1693	1116	2022	1126	329	15
1	6	9	49	14209122	1336	1102	2022	1126	686	15
1	6	9	50	14209155	1379	1121	2022	1126	643	15
1	6	9	51	14209192	1590	1198	2022	1126	437	14
1	6	9	52	14209225	2093	1105	2022	1126	74	14
1	6	9	53	14209255	2093	1105	2022	1126	74	14
1	6	9	54	14209286	1938	935	2022	1126	208	14
1	6	9	55	14209319	1820	1095	2022	1126	204	14
1	6	9	56	14209356	1920	1096	2022	1126	106	13
1	6	9	57	14209388	1901	999	2022	1126	175	13
1	6	9	58	14209419	1541	1103	2022	1126	481	13
1	6	9	59	14209452	1366	1152	2022	1126	656	13
1	6	9	60	14209487	1257	1152	2022	1126	765	13
1	6	9	61	14209527	1685	1016	2022	1126	354	12
1	6	9	62	14209562	1796	896	2022	1126	322	12
1	6	9	63	14209596	1671	922	2022	1126	405	12
1	6	9	64	14209627	1744	1012	2022	1126	300	12
1	6	9	65	14209665	1821	1044	2022	1126	217	11
1	6	9	66	14209698	1994	1119	2022	1126	28	11
1	6	9	67	14209729	2282	1025	2022	1126	278	11
1	6	9	68	14209760	2052	1145	2022	1126	35	11
1	6	9	69	14209794	2212	970	2022	1126	245	11
1	6	9	70	14209830	1683	1139	2022	1126	339	10
1	6	9	71	14209860	1620	1137	2022	1126	402	10
1	6	9	72	14209890	1620	1137	2022	1126	402	10
1	6	9	73	14209922	1717	1063	2022	1126	311	10
1	6	9	74	14209958	1620	1154	2022	1126	402	9
1	6	9	75	14209990	1417	1060	2022	1126	608	9
1	6	9	76	14210019	1947	852	2022	1126	284	9
1	6	9	77	14210050	1947	852	2022	1126	284	9
1	6	9	78	14210085	2182	988	2022	1126	211	9
1	6	9	79	14210123	2099	876	2022	1126	261	8
1	6	9	80	14210153	1685	1244	2022	1126	357	8
1	6	9	81	14210185	1725	1349	2022	1126	371	8
1	6	9	82	14210217	1729	1230	2022	1126	310	8
1	6	9	83	14210248	1568	1327	2022	1126	496	8
1	6	9	84	14210287	1861	1179	2022	1126	169	7
1	6	9	85	14210319	1865	1339	2022	1126	264	7
1	6	9	86	14210349	1839	1325	2022	1126	270	7
1	6	9	87	14210379	1759	1320	2022	1126	326	7
1	6	9	88	14210413	2040	1132	2022	1126	18	7
1	6	9	89	14210449	2129	1094	2022	1126	111	6
1	6	9	90	14210481	2069	1345	2022	1126	223	6
1	6	9	91	14210510	2012	1358	2022	1126	232	6
1	6	9	92	14210543	2048	1420	2022	1126	295	6
1	6	9	93	14210575	2068	1285	2022	1126	165	6
1	6	9	94	14210610	1860	1294	2022	1126	233	5
1	6	9	95	14210642	2110	1093	2022	1126	93	5
1	6	9	96	14210671	2167	1287	2022	1126	216	5
1	6	9	97	14210702	2203	1151	2022	1126	182	5
1	6	9	98	14210735	2108	1126	2022	1126	86	5
1	6	9	99	14210775	2122	1187	2022	1126	117	4
1	6	9	100	14210810	2095	1243	2022	1126	137	4
1	6	9	101	14210842	2009	1104	2022	1126	25	4
1	6	9	102	14210873	1872	1098	2022	1126	152	4
1	6	9	103	14210908	2233	1137	2022	1126	211	3
1	6	9	104	14210941	2014	1185	2022	1126	59	3
1	6	9	105	14210971	2156	1198	2022	1126	152	3
1	6	9	106	14211001	1873	1423	2022	1126	332	3
1	6	9	107	14211035	2114	1155	2022	1126	96	3
1	6	9	108	14211070	2187	1151	2022	1126	166	2
1	6	9	109	14211102	1947	1276	2022	1126	167	2
1	6	9	110	14211131	1994	1194	2022	1126	73	2
1	6	9	111	14211161	2047	1051	2022	1126	79	2
1	6	9	112	14211193	2194	1128	2022	1126	172	2
1	6	9	113	14211230	2163	1129	2022	1126	141	1
1	6	9	114	14211261	1984	1272	2022	1126	150	1
1	6	9	115	14211291	1832	1252	2022	1126	227	1
1	6	9	116	14211321	1948	1257	2022	1126	150	1
1	6	9	117	14211355	1896	1244	2022	1126	172	1
