subject	block	task	trial_no	datapoint	time	condition	x	y	tx	ty	status
1	1	simple	9	1	187886	dot_20%_80%	1328	947	0	0	fixation_onset
1	1	simple	9	2	187936	dot_20%_80%	1377	918	0	0	fixation_onset
1	1	simple	9	3	187976	dot_20%_80%	1342	1045	0	0	fixation_onset
1	1	simple	9	4	188011	dot_20%_80%	1347	1112	0	0	fixation_onset
1	1	simple	9	5	188046	dot_20%_80%	1336	1066	0	0	fixation_onset
1	1	simple	9	6	188085	dot_20%_80%	1340	1025	0	0	fixation_onset
1	1	simple	9	7	188124	dot_20%_80%	1298	1120	0	0	fixation_onset
1	1	simple	9	8	188159	dot_20%_80%	1461	586	0	0	fixation_onset
1	1	simple	9	9	188194	dot_20%_80%	1450	413	0	0	fixation_onset
1	1	simple	9	10	188228	dot_20%_80%	1569	722	0	0	fixation_onset
1	1	simple	9	11	188265	dot_20%_80%	1522	539	0	0	fixation_onset
1	1	simple	9	12	188301	dot_20%_80%	1413	695	0	0	fixation_onset
1	1	simple	9	13	188337	dot_20%_80%	1227	611	0	0	fixation_onset
1	1	simple	9	14	188372	dot_20%_80%	1309	745	0	0	fixation_onset
1	1	simple	9	15	188408	dot_20%_80%	1132	573	0	0	fixation_onset
1	1	simple	9	16	188445	dot_20%_80%	1260	684	0	0	fixation_onset
1	1	simple	9	17	188482	dot_20%_80%	1204	575	0	0	fixation_onset
1	1	simple	9	18	188518	dot_20%_80%	1339	545	0	0	fixation_onset
1	1	simple	9	19	188553	dot_20%_80%	1298	678	0	0	fixation_onset
1	1	simple	9	20	188588	dot_20%_80%	1292	641	0	0	fixation_onset
1	1	simple	9	21	188624	dot_20%_80%	1280	748	0	0	fixation_onset
1	1	simple	9	22	188661	dot_20%_80%	1224	643	0	0	fixation_onset
1	1	simple	9	23	188698	dot_20%_80%	1191	626	0	0	fixation_onset
1	1	simple	9	24	188734	dot_20%_80%	1184	600	0	0	fixation_onset
1	1	simple	9	25	188773	dot_20%_80%	1220	513	0	0	fixation_onset
1	1	simple	9	26	188810	dot_20%_80%	925	640	0	0	fixation_onset
1	1	simple	9	27	188847	dot_20%_80%	1029	693	0	0	fixation_onset
1	1	simple	9	28	188882	dot_20%_80%	1166	559	0	0	fixation_onset
1	1	simple	9	29	188917	dot_20%_80%	1162	692	0	0	fixation_onset
1	1	simple	9	30	188953	dot_20%_80%	1384	526	0	0	fixation_onset
1	1	simple	9	31	188991	dot_20%_80%	1291	712	0	0	fixation_onset
1	1	simple	9	32	189025	dot_20%_80%	1393	644	0	0	fixation_onset
1	1	simple	9	33	189060	dot_20%_80%	1324	568	0	0	fixation_onset
1	1	simple	9	34	189095	dot_20%_80%	1281	739	0	0	fixation_onset
1	1	simple	9	35	189133	dot_20%_80%	1347	720	0	0	fixation_onset
1	1	simple	9	36	189170	dot_20%_80%	1331	638	0	0	fixation_onset
1	1	simple	9	37	189212	dot_20%_80%	1246	589	0	0	fixation_onset
1	1	simple	9	38	189252	dot_20%_80%	1360	713	0	0	fixation_onset
1	1	simple	9	39	189296	dot_20%_80%	1517	509	0	0	fixation_onset
1	1	simple	9	40	189339	dot_20%_80%	1396	363	0	0	fixation_onset
1	1	simple	9	41	189376	dot_20%_80%	1299	611	0	0	fixation_onset
1	1	simple	9	42	189412	dot_20%_80%	1368	551	0	0	fixation_onset
1	1	simple	9	43	189447	dot_20%_80%	1273	525	0	0	fixation_offset
1	1	simple	9	44	189482	dot_20%_80%	1292	278	0	0	fixation_offset
1	1	simple	9	45	189521	dot_20%_80%	1438	312	0	0	fixation_offset
1	1	simple	9	46	189558	dot_20%_80%	1325	395	0	0	fixation_offset
1	1	simple	9	47	189593	dot_20%_80%	1380	357	0	0	fixation_offset
1	1	simple	9	48	189630	dot_20%_80%	1289	333	0	0	fixation_offset
1	1	simple	9	49	189665	dot_20%_80%	1432	181	0	0	fixation_offset
1	1	simple	9	50	189702	dot_20%_80%	1387	241	0	0	fixation_offset
1	1	simple	9	51	189740	dot_20%_80%	1554	181	0	0	fixation_offset
1	1	simple	9	52	189775	dot_20%_80%	1281	575	0	0	fixation_offset
1	1	simple	9	53	189812	dot_20%_80%	1466	401	0	0	fixation_offset
1	1	simple	9	54	189848	dot_20%_80%	1375	429	0	0	fixation_offset
1	1	simple	9	55	189884	dot_20%_80%	1422	474	0	0	fixation_offset
1	1	simple	9	56	189920	dot_20%_80%	1361	402	0	0	fixation_offset
1	1	simple	9	57	189957	dot_20%_80%	1328	538	487	1127	stimulus_onset
1	1	simple	9	58	190006	dot_20%_80%	1388	437	487	1127	stimulus_onset
1	1	simple	9	59	190043	dot_20%_80%	1347	526	487	1127	stimulus_onset
1	1	simple	9	60	190079	dot_20%_80%	1358	120	487	1127	stimulus_onset
1	1	simple	9	61	190114	dot_20%_80%	1571	179	487	1127	stimulus_onset
1	1	simple	9	62	190149	dot_20%_80%	1550	715	487	1127	stimulus_onset
