subject	block	calibration_no	datapoint	time	x	y	cx	cy	distance	calibration_count
1	4	12	1	3466805	2176	780	486	1126	1725	20
1	4	12	2	3466840	1835	724	486	1126	1407	20
1	4	12	3	3466875	1891	670	486	1126	1477	20
1	4	12	4	3466905	1990	658	486	1126	1575	20
1	4	12	5	3466936	2041	631	486	1126	1631	20
1	4	12	6	3466966	1869	596	486	1126	1481	20
1	4	12	7	3466999	1865	659	486	1126	1455	20
1	4	12	8	3467033	2016	732	486	1126	1579	20
1	4	12	9	3467067	1965	700	486	1126	1539	20
1	4	12	10	3467098	1543	755	486	1126	1120	20
1	4	12	11	3467129	1409	844	486	1126	965	20
1	4	12	12	3467163	1598	691	486	1126	1194	20
1	4	12	13	3467201	1423	814	486	1126	987	20
1	4	12	14	3467235	1278	1042	486	1126	796	20
1	4	12	15	3467265	1277	1091	486	1126	791	20
1	4	12	16	3467295	800	1135	486	1126	314	20
1	4	12	17	3467327	901	1309	486	1126	453	20
1	4	12	18	3467357	781	1367	486	1126	380	20
1	4	12	19	3467388	919	1381	486	1126	502	20
1	4	12	20	3467420	957	1415	486	1126	552	20
1	4	12	21	3467451	804	1321	486	1126	373	20
1	4	12	22	3467483	678	1333	486	1126	282	20
1	4	12	23	3467517	674	1383	486	1126	318	20
1	4	12	24	3467550	765	1269	486	1126	313	20
1	4	12	25	3467587	659	1248	486	1126	211	19
1	4	12	26	3467620	616	1246	486	1126	176	19
1	4	12	27	3467655	751	1284	486	1126	308	19
1	4	12	28	3467687	793	1277	486	1126	342	19
1	4	12	29	3467719	673	1198	486	1126	200	19
1	4	12	30	3467756	686	1211	486	1126	217	18
1	4	12	31	3467788	625	1162	486	1126	143	18
1	4	12	32	3467821	638	1146	486	1126	153	18
1	4	12	33	3467856	643	1204	486	1126	175	18
1	4	12	34	3467887	675	1196	486	1126	201	18
1	4	12	35	3467925	620	1169	486	1126	140	17
1	4	12	36	3467957	665	1179	486	1126	186	17
1	4	12	37	3467990	681	1186	486	1126	204	17
1	4	12	38	3468022	637	1205	486	1126	170	17
1	4	12	39	3468053	671	1126	486	1126	185	17
1	4	12	40	3468090	572	1158	486	1126	91	16
1	4	12	41	3468124	629	1178	486	1126	152	16
1	4	12	42	3468159	636	1231	486	1126	183	16
1	4	12	43	3468191	677	1113	486	1126	191	16
1	4	12	44	3468230	628	1182	486	1126	152	15
1	4	12	45	3468263	627	1191	486	1126	155	15
1	4	12	46	3468296	582	1225	486	1126	137	15
1	4	12	47	3468329	602	1249	486	1126	169	15
1	4	12	48	3468360	741	1011	486	1126	279	15
1	4	12	49	3468398	1203	956	486	1126	736	14
1	4	12	50	3468430	1307	733	486	1126	910	14
1	4	12	51	3468463	1320	868	486	1126	872	14
1	4	12	52	3468498	1082	833	486	1126	664	14
1	4	12	53	3468537	1061	682	486	1126	726	13
1	4	12	54	3468573	1038	864	486	1126	611	13
1	4	12	55	3468602	871	945	486	1126	425	13
1	4	12	56	3468634	790	1219	486	1126	317	13
1	4	12	57	3468667	742	1149	486	1126	257	13
1	4	12	58	3468704	481	1183	486	1126	57	12
1	4	12	59	3468737	814	1019	486	1126	345	12
1	4	12	60	3468770	780	1024	486	1126	311	12
1	4	12	61	3468805	793	1026	486	1126	322	12
1	4	12	62	3468837	733	962	486	1126	296	12
1	4	12	63	3468874	774	976	486	1126	324	11
1	4	12	64	3468907	657	1012	486	1126	205	11
1	4	12	65	3468941	657	1012	486	1126	205	11
1	4	12	66	3468972	703	940	486	1126	285	11
1	4	12	67	3469004	659	1044	486	1126	191	11
1	4	12	68	3469041	670	1023	486	1126	210	10
1	4	12	69	3469075	604	1073	486	1126	129	10
1	4	12	70	3469107	677	1148	486	1126	192	10
1	4	12	71	3469141	615	1265	486	1126	189	10
1	4	12	72	3469178	542	1280	486	1126	163	9
1	4	12	73	3469210	687	982	486	1126	247	9
1	4	12	74	3469241	733	1015	486	1126	270	9
1	4	12	75	3469274	643	1126	486	1126	157	9
1	4	12	76	3469305	625	1231	486	1126	174	9
1	4	12	77	3469342	610	1219	486	1126	155	8
1	4	12	78	3469373	556	1290	486	1126	178	8
1	4	12	79	3469405	605	1184	486	1126	132	8
1	4	12	80	3469439	558	1216	486	1126	115	8
1	4	12	81	3469471	563	1054	486	1126	105	8
1	4	12	82	3469509	465	1134	486	1126	22	7
1	4	12	83	3469542	635	1070	486	1126	159	7
