subject	block	calibration_no	datapoint	time	x	y	cx	cy	distance	calibration_count
1	3	17	1	2920169	553	458	2022	1126	1613	20
1	3	17	2	2920206	420	416	2022	1126	1752	20
1	3	17	3	2920237	706	534	2022	1126	1443	20
1	3	17	4	2920269	706	534	2022	1126	1443	20
1	3	17	5	2920300	598	248	2022	1126	1672	20
1	3	17	6	2920334	604	333	2022	1126	1624	20
1	3	17	7	2920365	582	337	2022	1126	1641	20
1	3	17	8	2920396	570	290	2022	1126	1675	20
1	3	17	9	2920431	551	218	2022	1126	1728	20
1	3	17	10	2920464	424	301	2022	1126	1798	20
1	3	17	11	2920498	706	226	2022	1126	1594	20
1	3	17	12	2920530	774	499	2022	1126	1396	20
1	3	17	13	2920562	416	186	2022	1126	1860	20
1	3	17	14	2920595	1523	638	2022	1126	697	20
1	3	17	15	2920628	1381	296	2022	1126	1048	20
1	3	17	16	2920660	1641	570	2022	1126	674	20
1	3	17	17	2920691	2549	481	2022	1126	832	20
1	3	17	18	2920723	2211	796	2022	1126	380	20
1	3	17	19	2920757	2005	881	2022	1126	245	20
1	3	17	20	2920789	1880	640	2022	1126	506	20
1	3	17	21	2920822	2217	837	2022	1126	348	20
1	3	17	22	2920853	1718	926	2022	1126	363	20
1	3	17	23	2920885	2139	1011	2022	1126	164	20
1	3	17	24	2920923	2139	1011	2022	1126	164	20
1	3	17	25	2920968	2124	1032	2022	1126	138	19
1	3	17	26	2921000	2376	1027	2022	1126	367	19
1	3	17	27	2921032	2392	913	2022	1126	426	19
1	3	17	28	2921064	2118	987	2022	1126	168	19
1	3	17	29	2921102	1836	1100	2022	1126	187	18
1	3	17	30	2921133	1803	947	2022	1126	282	18
1	3	17	31	2921164	1914	1003	2022	1126	163	18
1	3	17	32	2921197	2014	1024	2022	1126	102	18
1	3	17	33	2921229	2071	1102	2022	1126	54	18
1	3	17	34	2921269	2264	1014	2022	1126	266	17
1	3	17	35	2921302	2264	1014	2022	1126	266	17
1	3	17	36	2921335	2264	1014	2022	1126	266	17
1	3	17	37	2921365	1734	853	2022	1126	396	17
1	3	17	38	2921398	1704	834	2022	1126	431	17
1	3	17	39	2921436	1956	814	2022	1126	318	16
1	3	17	40	2921467	1595	826	2022	1126	521	16
1	3	17	41	2921500	1931	1044	2022	1126	122	16
1	3	17	42	2921532	1774	931	2022	1126	315	16
1	3	17	43	2921565	1823	1038	2022	1126	217	16
1	3	17	44	2921602	1903	1195	2022	1126	137	15
1	3	17	45	2921635	1993	1196	2022	1126	75	15
1	3	17	46	2921667	1749	995	2022	1126	302	15
1	3	17	47	2921700	2172	1160	2022	1126	153	15
1	3	17	48	2921751	2243	1066	2022	1126	229	14
1	3	17	49	2921785	2312	1073	2022	1126	294	14
1	3	17	50	2921817	2079	1132	2022	1126	57	14
1	3	17	51	2921849	2079	1132	2022	1126	57	14
1	3	17	52	2921890	1955	713	2022	1126	418	13
1	3	17	53	2921924	2163	601	2022	1126	543	13
1	3	17	54	2921956	2388	856	2022	1126	454	13
1	3	17	55	2921989	2127	956	2022	1126	199	13
1	3	17	56	2922027	2103	751	2022	1126	383	12
1	3	17	57	2922061	2021	850	2022	1126	276	12
1	3	17	58	2922094	1998	973	2022	1126	154	12
1	3	17	59	2922131	2024	899	2022	1126	227	11
1	3	17	60	2922163	1627	774	2022	1126	529	11
1	3	17	61	2922194	2119	942	2022	1126	208	11
1	3	17	62	2922226	2010	774	2022	1126	352	11
1	3	17	63	2922260	1956	755	2022	1126	376	11
1	3	17	64	2922299	1946	847	2022	1126	289	10
1	3	17	65	2922333	1940	868	2022	1126	270	10
1	3	17	66	2922367	1756	906	2022	1126	345	10
1	3	17	67	2922399	1933	904	2022	1126	239	10
1	3	17	68	2922438	2127	812	2022	1126	331	9
1	3	17	69	2922471	2205	774	2022	1126	396	9
1	3	17	70	2922504	2097	928	2022	1126	211	9
1	3	17	71	2922537	1959	974	2022	1126	164	9
1	3	17	72	2922570	1988	1035	2022	1126	97	9
1	3	17	73	2922608	1683	1067	2022	1126	344	8
1	3	17	74	2922642	1631	1161	2022	1126	392	8
1	3	17	75	2922674	1871	1090	2022	1126	155	8
1	3	17	76	2922709	1720	1174	2022	1126	305	8
1	3	17	77	2922743	2058	1213	2022	1126	94	8
1	3	17	78	2922782	1629	879	2022	1126	464	7
1	3	17	79	2922813	1667	822	2022	1126	467	7
1	3	17	80	2922846	1131	279	2022	1126	1229	7
1	3	17	81	2922880	1599	533	2022	1126	728	7
1	3	17	82	2922913	1999	1081	2022	1126	50	7
1	3	17	83	2922952	1771	923	2022	1126	322	6
1	3	17	84	2922983	2096	1137	2022	1126	74	6
1	3	17	85	2923016	2096	1137	2022	1126	74	6
1	3	17	86	2923047	2170	910	2022	1126	261	6
1	3	17	87	2923078	2370	927	2022	1126	400	6
1	3	17	88	2923116	2056	968	2022	1126	161	5
1	3	17	89	2923150	2082	1023	2022	1126	119	5
1	3	17	90	2923183	1957	1005	2022	1126	137	5
1	3	17	91	2923217	1861	1011	2022	1126	197	5
1	3	17	92	2923254	1953	1166	2022	1126	79	4
1	3	17	93	2923287	1944	1048	2022	1126	110	4
