subject	block	validation_no	datapoint	time	x	y	vx	vy	distance	validation_count	valid
1	5	1	1	13043160	1792	489	486	1126	1453	0	0
1	5	1	2	13043192	2232	756	486	1126	1784	0	0
1	5	1	3	13043226	2139	735	486	1126	1698	0	0
1	5	1	4	13043260	2232	593	486	1126	1825	0	0
1	5	1	5	13043292	2209	780	486	1126	1757	0	0
1	5	1	6	13043324	2287	657	486	1126	1861	0	0
1	5	1	7	13043356	2151	537	486	1126	1766	0	0
1	5	1	8	13043389	2221	612	486	1126	1809	0	0
1	5	1	9	13043422	2000	725	486	1126	1566	0	0
1	5	1	10	13043455	1565	831	486	1126	1118	0	0
1	5	1	11	13043486	1746	973	486	1126	1269	0	0
1	5	1	12	13043515	1546	855	486	1126	1094	0	0
1	5	1	13	13043548	1791	866	486	1126	1330	0	0
1	5	1	14	13043580	1768	808	486	1126	1320	0	0
1	5	1	15	13043612	1430	1018	486	1126	950	0	0
1	5	1	16	13043644	973	751	486	1126	614	0	0
1	5	1	17	13043674	1060	609	486	1126	772	0	0
1	5	1	18	13043704	1060	609	486	1126	772	0	0
1	5	1	19	13043737	987	1015	486	1126	513	0	0
1	5	1	20	13043768	667	790	486	1126	381	0	0
1	5	1	21	13043803	770	707	486	1126	506	0	0
1	5	1	22	13043840	580	825	486	1126	315	0	0
1	5	1	23	13043874	661	947	486	1126	250	0	0
1	5	1	24	13043906	480	921	486	1126	205	0	0
1	5	1	25	13043938	318	942	486	1126	249	0	0
1	5	1	26	13043969	527	926	486	1126	204	0	0
1	5	1	27	13044001	527	926	486	1126	204	0	0
1	5	1	28	13044035	527	926	486	1126	204	0	0
1	5	1	29	13044068	698	893	486	1126	315	0	0
1	5	1	30	13044100	698	893	486	1126	315	0	0
1	5	1	31	13044130	411	855	486	1126	281	0	0
1	5	1	32	13044162	300	818	486	1126	359	0	0
1	5	1	33	13044196	522	815	486	1126	313	0	0
1	5	1	34	13044226	378	1077	486	1126	118	0	1
1	5	1	35	13044260	497	1002	486	1126	124	1	1
1	5	1	36	13044291	708	881	486	1126	330	2	0
1	5	1	37	13044320	474	886	486	1126	240	2	0
1	5	1	38	13044350	564	1047	486	1126	111	2	1
1	5	1	39	13044383	484	1090	486	1126	36	3	1
1	5	1	40	13044414	281	624	486	1126	542	4	0
1	5	1	41	13044447	192	607	486	1126	596	4	0
1	5	1	42	13044477	37	583	486	1126	704	4	0
1	5	1	43	13044508	58	217	486	1126	1004	4	0
1	5	1	44	13044549	440	373	486	1126	754	4	0
1	5	1	45	13044585	224	423	486	1126	750	4	0
1	5	1	46	13044615	135	466	486	1126	747	4	0
1	5	1	47	13044646	176	467	486	1126	728	4	0
1	5	1	48	13044686	340	590	486	1126	555	4	0
1	5	1	49	13044716	381	854	486	1126	291	4	0
1	5	1	50	13044745	381	854	486	1126	291	4	0
1	5	1	51	13044775	381	854	486	1126	291	4	0
