subject	block	task	trial_no	datapoint	time	condition	x	y	tx	ty	status
1	5	freeviewing	6	1	13234374	view_stimuli/tolcam_face_28.png_right	1147	934	-1	-1	fixation_onset
1	5	freeviewing	6	2	13234411	view_stimuli/tolcam_face_28.png_right	1229	1471	-1	-1	fixation_onset
1	5	freeviewing	6	3	13234448	view_stimuli/tolcam_face_28.png_right	943	1246	-1	-1	fixation_onset
1	5	freeviewing	6	4	13234482	view_stimuli/tolcam_face_28.png_right	1430	1478	-1	-1	fixation_onset
1	5	freeviewing	6	5	13234515	view_stimuli/tolcam_face_28.png_right	997	1462	-1	-1	fixation_onset
1	5	freeviewing	6	6	13234548	view_stimuli/tolcam_face_28.png_right	-779	241	-1	-1	fixation_onset
1	5	freeviewing	6	7	13234584	view_stimuli/tolcam_face_28.png_right	-942	474	-1	-1	fixation_onset
1	5	freeviewing	6	8	13234619	view_stimuli/tolcam_face_28.png_right	-576	-393	-1	-1	fixation_onset
1	5	freeviewing	6	9	13234652	view_stimuli/tolcam_face_28.png_right	48	621	-1	-1	fixation_onset
1	5	freeviewing	6	10	13234684	view_stimuli/tolcam_face_28.png_right	48	621	-1	-1	fixation_onset
1	5	freeviewing	6	11	13234715	view_stimuli/tolcam_face_28.png_right	-14	-109	-1	-1	fixation_onset
1	5	freeviewing	6	12	13234748	view_stimuli/tolcam_face_28.png_right	-700	-420	-1	-1	fixation_onset
1	5	freeviewing	6	13	13234784	view_stimuli/tolcam_face_28.png_right	-752	-237	-1	-1	fixation_onset
1	5	freeviewing	6	14	13234818	view_stimuli/tolcam_face_28.png_right	-1071	-428	-1	-1	fixation_onset
1	5	freeviewing	6	15	13234851	view_stimuli/tolcam_face_28.png_right	83	455	-1	-1	fixation_onset
1	5	freeviewing	6	16	13234882	view_stimuli/tolcam_face_28.png_right	-491	166	-1	-1	fixation_onset
1	5	freeviewing	6	17	13234918	view_stimuli/tolcam_face_28.png_right	-222	465	-1	-1	fixation_onset
1	5	freeviewing	6	18	13234950	view_stimuli/tolcam_face_28.png_right	-744	121	-1	-1	fixation_onset
1	5	freeviewing	6	19	13234983	view_stimuli/tolcam_face_28.png_right	1432	1079	-1	-1	fixation_onset
1	5	freeviewing	6	20	13235015	view_stimuli/tolcam_face_28.png_right	2064	1147	-1	-1	fixation_onset
1	5	freeviewing	6	21	13235048	view_stimuli/tolcam_face_28.png_right	1905	1071	-1	-1	fixation_onset
1	5	freeviewing	6	22	13235083	view_stimuli/tolcam_face_28.png_right	2116	1081	-1	-1	fixation_onset
1	5	freeviewing	6	23	13235118	view_stimuli/tolcam_face_28.png_right	-537	40	-1	-1	fixation_onset
1	5	freeviewing	6	24	13235151	view_stimuli/tolcam_face_28.png_right	-396	175	-1	-1	fixation_onset
1	5	freeviewing	6	25	13235184	view_stimuli/tolcam_face_28.png_right	-550	203	-1	-1	fixation_onset
1	5	freeviewing	6	26	13235217	view_stimuli/tolcam_face_28.png_right	-391	175	-1	-1	fixation_onset
1	5	freeviewing	6	27	13235249	view_stimuli/tolcam_face_28.png_right	-615	166	-1	-1	fixation_onset
1	5	freeviewing	6	28	13235284	view_stimuli/tolcam_face_28.png_right	-331	159	-1	-1	fixation_onset
1	5	freeviewing	6	29	13235314	view_stimuli/tolcam_face_28.png_right	-788	-35	-1	-1	fixation_onset
1	5	freeviewing	6	30	13235346	view_stimuli/tolcam_face_28.png_right	-372	253	-1	-1	fixation_onset
1	5	freeviewing	6	31	13235378	view_stimuli/tolcam_face_28.png_right	-385	142	-1	-1	fixation_onset
1	5	freeviewing	6	32	13235881	view_stimuli/tolcam_face_28.png_right	-73	787	-1	-1	fixation_offset
1	5	freeviewing	6	33	13235918	view_stimuli/tolcam_face_28.png_right	70	528	-1	-1	fixation_offset
1	5	freeviewing	6	34	13235951	view_stimuli/tolcam_face_28.png_right	62	748	-1	-1	stimulus_onset
1	5	freeviewing	6	35	13235991	view_stimuli/tolcam_face_28.png_right	793	-436	-1	-1	stimulus_onset
1	5	freeviewing	6	36	13236028	view_stimuli/tolcam_face_28.png_right	411	-52	-1	-1	stimulus_onset
1	5	freeviewing	6	37	13236066	view_stimuli/tolcam_face_28.png_right	147	42	-1	-1	stimulus_onset
1	5	freeviewing	6	38	13236112	view_stimuli/tolcam_face_28.png_right	546	349	-1	-1	stimulus_onset
1	5	freeviewing	6	39	13236156	view_stimuli/tolcam_face_28.png_right	89	100	-1	-1	stimulus_onset
1	5	freeviewing	6	40	13236187	view_stimuli/tolcam_face_28.png_right	593	1052	-1	-1	stimulus_onset
1	5	freeviewing	6	41	13236220	view_stimuli/tolcam_face_28.png_right	679	976	-1	-1	stimulus_onset
1	5	freeviewing	6	42	13236250	view_stimuli/tolcam_face_28.png_right	347	856	-1	-1	stimulus_onset
1	5	freeviewing	6	43	13236281	view_stimuli/tolcam_face_28.png_right	645	1012	-1	-1	stimulus_onset
1	5	freeviewing	6	44	13236312	view_stimuli/tolcam_face_28.png_right	118	809	-1	-1	stimulus_onset
1	5	freeviewing	6	45	13236346	view_stimuli/tolcam_face_28.png_right	406	702	-1	-1	stimulus_onset
