subject	block	calibration_no	datapoint	time	x	y	cx	cy	distance	calibration_count
1	2	5	1	271941	2080	656	1638	478	476	20
1	2	5	2	271970	2032	592	1638	478	410	20
1	2	5	3	271997	2022	669	1638	478	428	20
1	2	5	4	272025	2022	629	1638	478	412	20
1	2	5	5	272052	2016	712	1638	478	444	20
1	2	5	6	272197	1741	228	1638	478	270	20
1	2	5	7	272225	1376	601	1638	478	289	20
1	2	5	8	272251	1399	124	1638	478	427	20
1	2	5	9	272280	1828	273	1638	478	279	20
1	2	5	10	272308	2021	550	1638	478	389	20
1	2	5	11	272337	1803	606	1638	478	208	20
1	2	5	12	272365	1690	652	1638	478	181	20
1	2	5	13	272394	1690	652	1638	478	181	20
1	2	5	14	272422	1674	635	1638	478	161	20
1	2	5	15	272451	1613	612	1638	478	136	20
1	2	5	16	272480	1613	612	1638	478	136	20
1	2	5	17	272508	1771	565	1638	478	158	20
1	2	5	18	272535	1723	585	1638	478	136	20
1	2	5	19	272564	1695	532	1638	478	78	20
1	2	5	20	272591	1762	571	1638	478	155	20
1	2	5	21	272619	1762	571	1638	478	155	20
1	2	5	22	272648	1743	534	1638	478	119	20
1	2	5	23	272683	1675	573	1638	478	101	20
1	2	5	24	272711	1687	518	1638	478	63	20
1	2	5	25	272743	1712	543	1638	478	98	19
1	2	5	26	272773	1738	571	1638	478	136	19
1	2	5	27	272802	1722	547	1638	478	108	19
1	2	5	28	272830	1633	556	1638	478	78	19
1	2	5	29	272858	1728	580	1638	478	136	19
1	2	5	30	272891	1625	499	1638	478	24	18
1	2	5	31	272923	1610	530	1638	478	59	18
1	2	5	32	272951	1563	590	1638	478	134	18
1	2	5	33	272978	1405	616	1638	478	270	18
1	2	5	34	273005	1633	420	1638	478	58	18
1	2	5	35	273039	1232	209	1638	478	487	17
1	2	5	36	273069	1081	126	1638	478	658	17
1	2	5	37	273096	1606	728	1638	478	252	17
1	2	5	38	273123	2040	541	1638	478	406	17
1	2	5	39	273150	2040	541	1638	478	406	17
1	2	5	40	273184	1689	407	1638	478	87	16
1	2	5	41	273214	1875	543	1638	478	245	16
1	2	5	42	273352	1670	-29	1638	478	508	16
1	2	5	43	273382	2002	49	1638	478	562	16
1	2	5	44	273417	1752	278	1638	478	230	15
1	2	5	45	273447	1467	450	1638	478	173	15
1	2	5	46	273479	1548	394	1638	478	123	15
1	2	5	47	273507	1617	471	1638	478	22	15
1	2	5	48	273542	1649	452	1638	478	28	14
1	2	5	49	273569	1628	473	1638	478	11	14
1	2	5	50	273598	1648	503	1638	478	26	14
1	2	5	51	273625	1742	357	1638	478	159	14
1	2	5	52	273652	1657	382	1638	478	97	14
1	2	5	53	273686	1521	374	1638	478	156	13
1	2	5	54	273715	1498	458	1638	478	141	13
1	2	5	55	273745	1565	531	1638	478	90	13
1	2	5	56	273774	1663	816	1638	478	338	13
1	2	5	57	273809	1274	337	1638	478	390	12
1	2	5	58	273838	1269	536	1638	478	373	12
1	2	5	59	273868	1220	353	1638	478	436	12
1	2	5	60	273899	1527	596	1638	478	162	12
1	2	5	61	273928	1847	500	1638	478	210	12
