subject	block	task	trial_no	datapoint	time	condition	x	y	tx	ty	status
1	3	pursuit	9	1	3030661	pursuit_20%_80%_80%_80%	1194	315	487	1127	fixation_onset
1	3	pursuit	9	2	3030703	pursuit_20%_80%_80%_80%	935	447	487	1127	fixation_onset
1	3	pursuit	9	3	3030737	pursuit_20%_80%_80%_80%	1056	326	487	1127	fixation_onset
1	3	pursuit	9	4	3030769	pursuit_20%_80%_80%_80%	915	286	487	1127	fixation_onset
1	3	pursuit	9	5	3030803	pursuit_20%_80%_80%_80%	980	321	487	1127	fixation_onset
1	3	pursuit	9	6	3030837	pursuit_20%_80%_80%_80%	1291	370	487	1127	fixation_onset
1	3	pursuit	9	7	3030869	pursuit_20%_80%_80%_80%	912	231	487	1127	fixation_onset
1	3	pursuit	9	8	3030900	pursuit_20%_80%_80%_80%	794	453	487	1127	fixation_onset
1	3	pursuit	9	9	3030931	pursuit_20%_80%_80%_80%	681	198	487	1127	fixation_onset
1	3	pursuit	9	10	3030964	pursuit_20%_80%_80%_80%	690	153	487	1127	fixation_onset
1	3	pursuit	9	11	3030997	pursuit_20%_80%_80%_80%	988	158	487	1127	fixation_onset
1	3	pursuit	9	12	3031029	pursuit_20%_80%_80%_80%	787	707	487	1127	fixation_onset
1	3	pursuit	9	13	3031061	pursuit_20%_80%_80%_80%	734	943	487	1127	fixation_onset
1	3	pursuit	9	14	3031093	pursuit_20%_80%_80%_80%	614	1005	487	1127	fixation_onset
1	3	pursuit	9	15	3031126	pursuit_20%_80%_80%_80%	515	962	487	1127	fixation_onset
1	3	pursuit	9	16	3031160	pursuit_20%_80%_80%_80%	603	931	487	1127	fixation_onset
1	3	pursuit	9	17	3031191	pursuit_20%_80%_80%_80%	494	813	487	1127	fixation_onset
1	3	pursuit	9	18	3031224	pursuit_20%_80%_80%_80%	632	796	487	1127	fixation_onset
1	3	pursuit	9	19	3031256	pursuit_20%_80%_80%_80%	410	772	487	1127	fixation_onset
1	3	pursuit	9	20	3031289	pursuit_20%_80%_80%_80%	529	856	487	1127	fixation_onset
1	3	pursuit	9	21	3031427	pursuit_20%_80%_80%_80%	1077	857	487	1127	fixation_onset
1	3	pursuit	9	22	3031461	pursuit_20%_80%_80%_80%	760	1021	487	1127	fixation_onset
1	3	pursuit	9	23	3031494	pursuit_20%_80%_80%_80%	954	948	487	1127	fixation_onset
1	3	pursuit	9	24	3031527	pursuit_20%_80%_80%_80%	871	740	487	1127	fixation_onset
1	3	pursuit	9	25	3031560	pursuit_20%_80%_80%_80%	1175	786	487	1127	fixation_onset
1	3	pursuit	9	26	3031591	pursuit_20%_80%_80%_80%	1197	726	487	1127	fixation_onset
1	3	pursuit	9	27	3031623	pursuit_20%_80%_80%_80%	1416	774	487	1127	fixation_onset
1	3	pursuit	9	28	3031655	pursuit_20%_80%_80%_80%	1416	774	487	1127	fixation_onset
1	3	pursuit	9	29	3031689	pursuit_20%_80%_80%_80%	1414	798	487	1127	fixation_onset
1	3	pursuit	9	30	3031723	pursuit_20%_80%_80%_80%	1488	684	487	1127	fixation_onset
1	3	pursuit	9	31	3031756	pursuit_20%_80%_80%_80%	927	870	487	1127	fixation_onset
1	3	pursuit	9	32	3031787	pursuit_20%_80%_80%_80%	1010	864	487	1127	fixation_onset
1	3	pursuit	9	33	3031819	pursuit_20%_80%_80%_80%	963	799	487	1127	fixation_onset
1	3	pursuit	9	34	3031852	pursuit_20%_80%_80%_80%	790	816	487	1127	fixation_onset
1	3	pursuit	9	35	3031885	pursuit_20%_80%_80%_80%	714	828	487	1127	fixation_onset
1	3	pursuit	9	36	3031917	pursuit_20%_80%_80%_80%	724	803	487	1127	fixation_onset
1	3	pursuit	9	37	3031948	pursuit_20%_80%_80%_80%	943	747	487	1127	fixation_onset
1	3	pursuit	9	38	3031980	pursuit_20%_80%_80%_80%	977	735	487	1127	fixation_onset
1	3	pursuit	9	39	3032012	pursuit_20%_80%_80%_80%	1067	856	487	1127	fixation_onset
1	3	pursuit	9	40	3032047	pursuit_20%_80%_80%_80%	1262	1071	487	1127	fixation_onset
1	3	pursuit	9	41	3032078	pursuit_20%_80%_80%_80%	1038	931	487	1127	fixation_onset
1	3	pursuit	9	42	3032110	pursuit_20%_80%_80%_80%	1260	987	487	1127	fixation_onset
1	3	pursuit	9	43	3032142	pursuit_20%_80%_80%_80%	1117	754	487	1127	fixation_onset
1	3	pursuit	9	44	3032175	pursuit_20%_80%_80%_80%	1025	769	487	1127	fixation_onset
1	3	pursuit	9	45	3032209	pursuit_20%_80%_80%_80%	997	913	487	1127	pursuit_start
1	3	pursuit	9	46	3032242	pursuit_20%_80%_80%_80%	695	791	512	1127	pursuit_start
1	3	pursuit	9	47	3032275	pursuit_20%_80%_80%_80%	571	813	538	1127	pursuit_start
1	3	pursuit	9	48	3032308	pursuit_20%_80%_80%_80%	908	761	563	1127	pursuit_start
1	3	pursuit	9	49	3032344	pursuit_20%_80%_80%_80%	654	821	588	1127	pursuit_start
1	3	pursuit	9	50	3032380	pursuit_20%_80%_80%_80%	819	842	588	1127	pursuit_start
1	3	pursuit	9	51	3032413	pursuit_20%_80%_80%_80%	765	793	644	1127	pursuit_start
1	3	pursuit	9	52	3032447	pursuit_20%_80%_80%_80%	824	900	669	1127	pursuit_start
1	3	pursuit	9	53	3032480	pursuit_20%_80%_80%_80%	843	955	695	1127	pursuit_start
1	3	pursuit	9	54	3032516	pursuit_20%_80%_80%_80%	791	894	721	1127	pursuit_start
1	3	pursuit	9	55	3032549	pursuit_20%_80%_80%_80%	763	829	749	1127	pursuit_start
1	3	pursuit	9	56	3032582	pursuit_20%_80%_80%_80%	727	850	749	1127	pursuit_start
1	3	pursuit	9	57	3032616	pursuit_20%_80%_80%_80%	826	843	800	1127	pursuit_start
1	3	pursuit	9	58	3032650	pursuit_20%_80%_80%_80%	922	905	800	1127	pursuit_start
1	3	pursuit	9	59	3032683	pursuit_20%_80%_80%_80%	680	879	851	1127	pursuit_start
1	3	pursuit	9	60	3032720	pursuit_20%_80%_80%_80%	869	1013	851	1127	pursuit_start
1	3	pursuit	9	61	3032859	pursuit_20%_80%_80%_80%	1081	599	909	1127	pursuit_start
1	3	pursuit	9	62	3032894	pursuit_20%_80%_80%_80%	1095	347	1012	1127	pursuit_start
1	3	pursuit	9	63	3032929	pursuit_20%_80%_80%_80%	1090	504	1039	1127	pursuit_start
1	3	pursuit	9	64	3032962	pursuit_20%_80%_80%_80%	1009	567	1066	1127	pursuit_start
1	3	pursuit	9	65	3032997	pursuit_20%_80%_80%_80%	1061	422	1091	1127	pursuit_start
1	3	pursuit	9	66	3033030	pursuit_20%_80%_80%_80%	1247	482	1118	1127	pursuit_start
1	3	pursuit	9	67	3033064	pursuit_20%_80%_80%_80%	1335	590	1144	1127	pursuit_start
1	3	pursuit	9	68	3033096	pursuit_20%_80%_80%_80%	1063	638	1170	1127	pursuit_start
1	3	pursuit	9	69	3033133	pursuit_20%_80%_80%_80%	945	781	1170	1127	pursuit_start
1	3	pursuit	9	70	3033166	pursuit_20%_80%_80%_80%	866	771	1222	1127	pursuit_start
1	3	pursuit	9	71	3033199	pursuit_20%_80%_80%_80%	862	621	1248	1127	pursuit_start
1	3	pursuit	9	72	3033234	pursuit_20%_80%_80%_80%	826	675	1273	1127	pursuit_start
1	3	pursuit	9	73	3033268	pursuit_20%_80%_80%_80%	906	703	1300	1127	pursuit_start
1	3	pursuit	9	74	3033301	pursuit_20%_80%_80%_80%	767	942	1326	1127	pursuit_start
1	3	pursuit	9	75	3033334	pursuit_20%_80%_80%_80%	939	835	1326	1127	pursuit_start
1	3	pursuit	9	76	3033365	pursuit_20%_80%_80%_80%	701	794	1376	1127	pursuit_start
1	3	pursuit	9	77	3033398	pursuit_20%_80%_80%_80%	708	774	1401	1127	pursuit_start
1	3	pursuit	9	78	3033432	pursuit_20%_80%_80%_80%	894	833	1426	1127	pursuit_start
1	3	pursuit	9	79	3033468	pursuit_20%_80%_80%_80%	838	862	1426	1127	pursuit_start
1	3	pursuit	9	80	3033500	pursuit_20%_80%_80%_80%	872	907	1479	1127	pursuit_start
1	3	pursuit	9	81	3033534	pursuit_20%_80%_80%_80%	978	969	1505	1127	pursuit_start
1	3	pursuit	9	82	3033566	pursuit_20%_80%_80%_80%	993	966	1530	1127	pursuit_start
1	3	pursuit	9	83	3033600	pursuit_20%_80%_80%_80%	930	1040	1555	1127	pursuit_start
1	3	pursuit	9	84	3033632	pursuit_20%_80%_80%_80%	877	697	1581	1127	pursuit_start
1	3	pursuit	9	85	3033665	pursuit_20%_80%_80%_80%	869	723	1606	1127	pursuit_start
1	3	pursuit	9	86	3033698	pursuit_20%_80%_80%_80%	878	726	1631	1127	pursuit_start
1	3	pursuit	9	87	3033732	pursuit_20%_80%_80%_80%	1121	928	1657	1127	pursuit_start
1	3	pursuit	9	88	3033766	pursuit_20%_80%_80%_80%	1001	940	1683	1127	pursuit_start
1	3	pursuit	9	89	3033801	pursuit_20%_80%_80%_80%	1053	964	1683	1127	pursuit_start
1	3	pursuit	9	90	3033834	pursuit_20%_80%_80%_80%	966	663	1735	1127	pursuit_start
1	3	pursuit	9	91	3033867	pursuit_20%_80%_80%_80%	896	756	1760	1127	pursuit_start
1	3	pursuit	9	92	3033899	pursuit_20%_80%_80%_80%	1043	986	1786	1127	pursuit_start
1	3	pursuit	9	93	3033934	pursuit_20%_80%_80%_80%	969	722	1811	1127	pursuit_start
1	3	pursuit	9	94	3033967	pursuit_20%_80%_80%_80%	1100	858	1838	1127	pursuit_start
