subject	block	task	trial_no	datapoint	time	condition	x	y	tx	ty	status
1	1	simple	20	1	239178	dot_50%_20%	1144	691	0	0	fixation_onset
1	1	simple	20	2	239228	dot_50%_20%	1187	479	0	0	fixation_onset
1	1	simple	20	3	239267	dot_50%_20%	1133	516	0	0	fixation_onset
1	1	simple	20	4	239303	dot_50%_20%	953	910	0	0	fixation_onset
1	1	simple	20	5	239340	dot_50%_20%	994	603	0	0	fixation_onset
1	1	simple	20	6	239376	dot_50%_20%	913	902	0	0	fixation_onset
1	1	simple	20	7	239413	dot_50%_20%	985	829	0	0	fixation_onset
1	1	simple	20	8	239448	dot_50%_20%	916	561	0	0	fixation_onset
1	1	simple	20	9	239483	dot_50%_20%	1087	707	0	0	fixation_onset
1	1	simple	20	10	239519	dot_50%_20%	1300	655	0	0	fixation_onset
1	1	simple	20	11	239557	dot_50%_20%	1261	319	0	0	fixation_onset
1	1	simple	20	12	239592	dot_50%_20%	1380	625	0	0	fixation_onset
1	1	simple	20	13	239627	dot_50%_20%	1364	588	0	0	fixation_onset
1	1	simple	20	14	239662	dot_50%_20%	1364	588	0	0	fixation_onset
1	1	simple	20	15	239698	dot_50%_20%	1082	14	0	0	fixation_onset
1	1	simple	20	16	239735	dot_50%_20%	901	312	0	0	fixation_onset
1	1	simple	20	17	239771	dot_50%_20%	597	-84	0	0	fixation_onset
1	1	simple	20	18	239805	dot_50%_20%	287	-32	0	0	fixation_onset
1	1	simple	20	19	239842	dot_50%_20%	909	272	0	0	fixation_onset
1	1	simple	20	20	239879	dot_50%_20%	531	363	0	0	fixation_onset
1	1	simple	20	21	239916	dot_50%_20%	575	651	0	0	fixation_onset
1	1	simple	20	22	239951	dot_50%_20%	674	429	0	0	fixation_onset
1	1	simple	20	23	239987	dot_50%_20%	596	484	0	0	fixation_onset
1	1	simple	20	24	240023	dot_50%_20%	524	435	0	0	fixation_onset
1	1	simple	20	25	240059	dot_50%_20%	524	435	0	0	fixation_onset
1	1	simple	20	26	240094	dot_50%_20%	724	197	0	0	fixation_onset
1	1	simple	20	27	240131	dot_50%_20%	690	226	0	0	fixation_onset
1	1	simple	20	28	240167	dot_50%_20%	898	182	0	0	fixation_onset
1	1	simple	20	29	240205	dot_50%_20%	1176	376	0	0	fixation_onset
1	1	simple	20	30	240243	dot_50%_20%	1113	315	0	0	fixation_onset
1	1	simple	20	31	240279	dot_50%_20%	1137	252	0	0	fixation_onset
1	1	simple	20	32	240314	dot_50%_20%	656	646	0	0	fixation_onset
1	1	simple	20	33	240350	dot_50%_20%	783	402	0	0	fixation_onset
1	1	simple	20	34	240387	dot_50%_20%	758	520	0	0	fixation_onset
1	1	simple	20	35	240423	dot_50%_20%	779	447	0	0	fixation_onset
1	1	simple	20	36	240458	dot_50%_20%	779	447	0	0	fixation_onset
1	1	simple	20	37	240494	dot_50%_20%	601	574	0	0	fixation_onset
1	1	simple	20	38	240529	dot_50%_20%	851	458	0	0	fixation_onset
1	1	simple	20	39	240565	dot_50%_20%	812	510	0	0	fixation_onset
1	1	simple	20	40	240601	dot_50%_20%	816	508	0	0	fixation_onset
1	1	simple	20	41	240636	dot_50%_20%	802	413	0	0	fixation_onset
1	1	simple	20	42	240671	dot_50%_20%	919	453	0	0	fixation_onset
1	1	simple	20	43	240707	dot_50%_20%	990	488	0	0	fixation_onset
1	1	simple	20	44	240744	dot_50%_20%	981	554	0	0	fixation_offset
1	1	simple	20	45	240779	dot_50%_20%	1077	439	0	0	fixation_offset
1	1	simple	20	46	240815	dot_50%_20%	823	314	0	0	fixation_offset
1	1	simple	20	47	240851	dot_50%_20%	920	577	0	0	fixation_offset
1	1	simple	20	48	240888	dot_50%_20%	846	302	0	0	fixation_offset
1	1	simple	20	49	241026	dot_50%_20%	530	680	0	0	fixation_offset
1	1	simple	20	50	241094	dot_50%_20%	765	233	0	0	fixation_offset
1	1	simple	20	51	241131	dot_50%_20%	902	288	0	0	fixation_offset
1	1	simple	20	52	241170	dot_50%_20%	713	343	0	0	fixation_offset
1	1	simple	20	53	241207	dot_50%_20%	1210	688	0	0	fixation_offset
1	1	simple	20	54	241247	dot_50%_20%	1059	493	1255	263	stimulus_onset
1	1	simple	20	55	241297	dot_50%_20%	926	337	1255	263	stimulus_onset
1	1	simple	20	56	241341	dot_50%_20%	925	943	1255	263	stimulus_onset
1	1	simple	20	57	241388	dot_50%_20%	1109	656	1255	263	stimulus_onset
1	1	simple	20	58	241429	dot_50%_20%	1140	432	1255	263	stimulus_onset
1	1	simple	20	59	241465	dot_50%_20%	1258	344	1255	263	stimulus_onset
1	1	simple	20	60	241500	dot_50%_20%	1258	344	1255	263	stimulus_onset
1	1	simple	20	61	241536	dot_50%_20%	1509	128	1255	263	stimulus_onset
1	1	simple	20	62	241571	dot_50%_20%	1422	124	1255	263	stimulus_onset
1	1	simple	20	63	241608	dot_50%_20%	1283	219	1255	263	stimulus_onset
1	1	simple	20	64	241643	dot_50%_20%	1422	91	1255	263	stimulus_onset
1	1	simple	20	65	241678	dot_50%_20%	1422	-244	1255	263	stimulus_onset
1	1	simple	20	66	241715	dot_50%_20%	1453	-70	1255	263	stimulus_onset
1	1	simple	20	67	241753	dot_50%_20%	1450	-293	1255	263	stimulus_onset
1	1	simple	20	68	241790	dot_50%_20%	1495	-397	1255	263	stimulus_onset
1	1	simple	20	69	241825	dot_50%_20%	1376	-461	1255	263	stimulus_onset
1	1	simple	20	70	241860	dot_50%_20%	1470	56	1255	263	stimulus_onset
1	1	simple	20	71	241897	dot_50%_20%	1556	-68	1255	263	stimulus_onset
1	1	simple	20	72	241932	dot_50%_20%	1595	243	1255	263	stimulus_onset
1	1	simple	20	73	241967	dot_50%_20%	1578	-81	1255	263	stimulus_onset
1	1	simple	20	74	242004	dot_50%_20%	1530	268	1255	263	stimulus_onset
1	1	simple	20	75	242040	dot_50%_20%	1506	306	1255	263	stimulus_onset
1	1	simple	20	76	242077	dot_50%_20%	1665	303	1255	263	stimulus_onset
1	1	simple	20	77	242113	dot_50%_20%	1442	258	1255	263	stimulus_onset
1	1	simple	20	78	242148	dot_50%_20%	1454	161	1255	263	stimulus_onset
1	1	simple	20	79	242183	dot_50%_20%	1448	-135	1255	263	stimulus_onset
1	1	simple	20	80	242218	dot_50%_20%	1369	-127	1255	263	stimulus_onset
1	1	simple	20	81	242255	dot_50%_20%	1471	63	1255	263	stimulus_onset
1	1	simple	20	82	242291	dot_50%_20%	1485	63	1255	263	stimulus_onset
1	1	simple	20	83	242326	dot_50%_20%	1571	-169	1255	263	stimulus_onset
1	1	simple	20	84	242362	dot_50%_20%	1402	-12	1255	263	stimulus_onset
1	1	simple	20	85	242397	dot_50%_20%	1547	4	1255	263	stimulus_onset
1	1	simple	20	86	242434	dot_50%_20%	1520	-294	1255	263	stimulus_onset
1	1	simple	20	87	242472	dot_50%_20%	1381	-211	1255	263	stimulus_onset
1	1	simple	20	88	242510	dot_50%_20%	1477	-31	1255	263	stimulus_onset
1	1	simple	20	89	242546	dot_50%_20%	1416	56	1255	263	stimulus_onset
1	1	simple	20	90	242583	dot_50%_20%	1482	-119	1255	263	stimulus_onset
1	1	simple	20	91	242619	dot_50%_20%	1297	219	1255	263	stimulus_onset
1	1	simple	20	92	242654	dot_50%_20%	1424	152	1255	263	stimulus_onset
1	1	simple	20	93	242689	dot_50%_20%	1585	166	1255	263	stimulus_onset
1	1	simple	20	94	242725	dot_50%_20%	1537	289	1255	263	stimulus_onset
1	1	simple	20	95	242762	dot_50%_20%	1328	379	1255	263	stimulus_onset
1	1	simple	20	96	242801	dot_50%_20%	1328	379	1255	263	stimulus_onset
1	1	simple	20	97	242838	dot_50%_20%	1306	506	1255	263	stimulus_onset
1	1	simple	20	98	242872	dot_50%_20%	1385	400	1255	263	stimulus_onset
1	1	simple	20	99	242910	dot_50%_20%	1374	14	1255	263	stimulus_onset
1	1	simple	20	100	242947	dot_50%_20%	1457	-15	1255	263	stimulus_onset
1	1	simple	20	101	242982	dot_50%_20%	1609	-15	1255	263	stimulus_onset
1	1	simple	20	102	243018	dot_50%_20%	1407	182	1255	263	stimulus_onset
1	1	simple	20	103	243056	dot_50%_20%	1586	279	1255	263	stimulus_onset
1	1	simple	20	104	243091	dot_50%_20%	1254	4	1255	263	stimulus_onset
1	1	simple	20	105	243129	dot_50%_20%	1352	116	1255	263	stimulus_onset
1	1	simple	20	106	243165	dot_50%_20%	1368	85	1255	263	stimulus_onset
1	1	simple	20	107	243200	dot_50%_20%	1479	54	1255	263	stimulus_onset
1	1	simple	20	108	243236	dot_50%_20%	1386	125	1255	263	stimulus_onset
1	1	simple	20	109	243272	dot_50%_20%	1382	178	1255	263	stimulus_onset
