subject	block	task	trial_no	datapoint	time	condition	x	y	tx	ty	status
1	5	freeviewing	3	1	13218935	view_stimuli/tolcam_face_16.png_right	885	204	-1	-1	fixation_onset
1	5	freeviewing	3	2	13218971	view_stimuli/tolcam_face_16.png_right	857	347	-1	-1	fixation_onset
1	5	freeviewing	3	3	13219002	view_stimuli/tolcam_face_16.png_right	964	662	-1	-1	fixation_onset
1	5	freeviewing	3	4	13219035	view_stimuli/tolcam_face_16.png_right	556	335	-1	-1	fixation_onset
1	5	freeviewing	3	5	13219069	view_stimuli/tolcam_face_16.png_right	681	452	-1	-1	fixation_onset
1	5	freeviewing	3	6	13219102	view_stimuli/tolcam_face_16.png_right	720	259	-1	-1	fixation_onset
1	5	freeviewing	3	7	13219134	view_stimuli/tolcam_face_16.png_right	857	296	-1	-1	fixation_onset
1	5	freeviewing	3	8	13219169	view_stimuli/tolcam_face_16.png_right	756	351	-1	-1	fixation_onset
1	5	freeviewing	3	9	13219203	view_stimuli/tolcam_face_16.png_right	783	386	-1	-1	fixation_onset
1	5	freeviewing	3	10	13219236	view_stimuli/tolcam_face_16.png_right	1042	603	-1	-1	fixation_onset
1	5	freeviewing	3	11	13219266	view_stimuli/tolcam_face_16.png_right	660	1129	-1	-1	fixation_onset
1	5	freeviewing	3	12	13219300	view_stimuli/tolcam_face_16.png_right	774	989	-1	-1	fixation_onset
1	5	freeviewing	3	13	13219330	view_stimuli/tolcam_face_16.png_right	124	1236	-1	-1	fixation_onset
1	5	freeviewing	3	14	13219362	view_stimuli/tolcam_face_16.png_right	96	1216	-1	-1	fixation_onset
1	5	freeviewing	3	15	13219395	view_stimuli/tolcam_face_16.png_right	376	1179	-1	-1	fixation_onset
1	5	freeviewing	3	16	13219427	view_stimuli/tolcam_face_16.png_right	515	1280	-1	-1	fixation_onset
1	5	freeviewing	3	17	13219460	view_stimuli/tolcam_face_16.png_right	278	1063	-1	-1	fixation_onset
1	5	freeviewing	3	18	13219492	view_stimuli/tolcam_face_16.png_right	365	827	-1	-1	fixation_onset
1	5	freeviewing	3	19	13219524	view_stimuli/tolcam_face_16.png_right	243	1071	-1	-1	fixation_onset
1	5	freeviewing	3	20	13219559	view_stimuli/tolcam_face_16.png_right	453	1131	-1	-1	fixation_onset
1	5	freeviewing	3	21	13219591	view_stimuli/tolcam_face_16.png_right	319	1076	-1	-1	fixation_onset
1	5	freeviewing	3	22	13219623	view_stimuli/tolcam_face_16.png_right	347	985	-1	-1	fixation_onset
1	5	freeviewing	3	23	13219654	view_stimuli/tolcam_face_16.png_right	272	1017	-1	-1	fixation_onset
1	5	freeviewing	3	24	13219687	view_stimuli/tolcam_face_16.png_right	210	1107	-1	-1	fixation_onset
1	5	freeviewing	3	25	13219720	view_stimuli/tolcam_face_16.png_right	222	1142	-1	-1	fixation_onset
1	5	freeviewing	3	26	13219753	view_stimuli/tolcam_face_16.png_right	374	1101	-1	-1	fixation_onset
1	5	freeviewing	3	27	13219784	view_stimuli/tolcam_face_16.png_right	236	1414	-1	-1	fixation_onset
1	5	freeviewing	3	28	13219816	view_stimuli/tolcam_face_16.png_right	189	1102	-1	-1	fixation_onset
1	5	freeviewing	3	29	13219849	view_stimuli/tolcam_face_16.png_right	318	1198	-1	-1	fixation_onset
1	5	freeviewing	3	30	13219883	view_stimuli/tolcam_face_16.png_right	289	1238	-1	-1	fixation_onset
1	5	freeviewing	3	31	13219915	view_stimuli/tolcam_face_16.png_right	413	1164	-1	-1	fixation_onset
1	5	freeviewing	3	32	13219947	view_stimuli/tolcam_face_16.png_right	328	1198	-1	-1	fixation_onset
1	5	freeviewing	3	33	13219980	view_stimuli/tolcam_face_16.png_right	186	1081	-1	-1	fixation_offset
1	5	freeviewing	3	34	13220013	view_stimuli/tolcam_face_16.png_right	247	1238	-1	-1	fixation_offset
1	5	freeviewing	3	35	13220047	view_stimuli/tolcam_face_16.png_right	671	1126	-1	-1	fixation_offset
1	5	freeviewing	3	36	13220081	view_stimuli/tolcam_face_16.png_right	551	1106	-1	-1	fixation_offset
1	5	freeviewing	3	37	13220111	view_stimuli/tolcam_face_16.png_right	497	845	-1	-1	fixation_offset
