subject	block	validation_no	datapoint	time	x	y	vx	vy	distance	validation_count	valid
1	6	4	1	13476159	1020	674	2022	1126	1099	0	0
1	6	4	2	13476197	1282	472	2022	1126	987	0	0
1	6	4	3	13476230	1198	432	2022	1126	1077	0	0
1	6	4	4	13476264	1384	669	2022	1126	784	0	0
1	6	4	5	13476294	1257	592	2022	1126	932	0	0
1	6	4	6	13476324	1257	592	2022	1126	932	0	0
1	6	4	7	13476353	1190	731	2022	1126	921	0	0
1	6	4	8	13476385	1345	587	2022	1126	865	0	0
1	6	4	9	13476417	1270	661	2022	1126	884	0	0
1	6	4	10	13476449	1232	730	2022	1126	883	0	0
1	6	4	11	13476480	1321	705	2022	1126	817	0	0
1	6	4	12	13476510	1250	819	2022	1126	830	0	0
1	6	4	13	13476541	1635	794	2022	1126	509	0	0
1	6	4	14	13476574	1587	821	2022	1126	531	0	0
1	6	4	15	13476606	1629	789	2022	1126	517	0	0
1	6	4	16	13476638	1710	698	2022	1126	529	0	0
1	6	4	17	13476670	1648	988	2022	1126	398	0	0
1	6	4	18	13476704	1655	772	2022	1126	509	0	0
1	6	4	19	13476736	1595	786	2022	1126	545	0	0
1	6	4	20	13476768	1307	889	2022	1126	753	0	0
1	6	4	21	13476799	1393	973	2022	1126	647	0	0
1	6	4	22	13476831	1486	634	2022	1126	727	0	0
1	6	4	23	13476864	1507	947	2022	1126	545	0	0
1	6	4	24	13476898	1547	813	2022	1126	568	0	0
1	6	4	25	13476929	1675	874	2022	1126	428	0	0
1	6	4	26	13476961	1511	798	2022	1126	607	0	0
1	6	4	27	13476992	1556	793	2022	1126	572	0	0
1	6	4	28	13477026	1469	659	2022	1126	723	0	0
1	6	4	29	13477057	1349	895	2022	1126	711	0	0
1	6	4	30	13477089	1339	767	2022	1126	771	0	0
1	6	4	31	13477122	1685	854	2022	1126	433	0	0
1	6	4	32	13477152	1619	763	2022	1126	542	0	0
1	6	4	33	13477184	1684	765	2022	1126	494	0	0
1	6	4	34	13477217	1411	838	2022	1126	675	0	0
1	6	4	35	13477249	1373	876	2022	1126	695	0	0
1	6	4	36	13477281	1416	829	2022	1126	674	0	0
1	6	4	37	13477311	1440	865	2022	1126	637	0	0
1	6	4	38	13477342	1279	829	2022	1126	800	0	0
1	6	4	39	13477374	1484	796	2022	1126	631	0	0
1	6	4	40	13477406	1538	968	2022	1126	509	0	0
1	6	4	41	13477441	1519	990	2022	1126	521	0	0
1	6	4	42	13477477	1408	934	2022	1126	643	0	0
1	6	4	43	13477510	1576	715	2022	1126	606	0	0
1	6	4	44	13477542	1516	850	2022	1126	576	0	0
1	6	4	45	13477573	1661	838	2022	1126	461	0	0
1	6	4	46	13477605	1545	855	2022	1126	548	0	0
1	6	4	47	13477636	1667	816	2022	1126	471	0	0
1	6	4	48	13477669	1668	923	2022	1126	408	0	0
1	6	4	49	13477701	1733	958	2022	1126	334	0	0
1	6	4	50	13477732	1588	905	2022	1126	487	0	0
1	6	4	51	13477762	1515	881	2022	1126	563	0	0
1	6	4	52	13477793	1809	811	2022	1126	380	0	0
1	6	4	53	13477827	1515	881	2022	1126	563	0	0
1	6	4	54	13477859	1515	881	2022	1126	563	0	0
1	6	4	55	13477892	1783	1026	2022	1126	259	0	0
1	6	4	56	13477924	1419	1301	2022	1126	627	0	0
1	6	4	57	13477955	1237	1200	2022	1126	788	0	0
1	6	4	58	13477988	1901	491	2022	1126	646	0	0
1	6	4	59	13478020	1763	666	2022	1126	527	0	0
1	6	4	60	13478051	1627	658	2022	1126	612	0	0
1	6	4	61	13478083	2155	760	2022	1126	389	0	0
1	6	4	62	13478117	2018	783	2022	1126	343	0	0
1	6	4	63	13478148	1692	783	2022	1126	475	0	0
1	6	4	64	13478178	1691	1142	2022	1126	331	0	0
1	6	4	65	13478209	1585	1137	2022	1126	437	0	0
1	6	4	66	13478241	1568	1162	2022	1126	455	0	0
1	6	4	67	13478271	1865	1171	2022	1126	163	0	1
1	6	4	68	13478305	1892	1034	2022	1126	159	1	1
1	6	4	69	13478344	1677	873	2022	1126	427	2	0
1	6	4	70	13478376	1752	1043	2022	1126	282	2	0
1	6	4	71	13478408	1776	1065	2022	1126	253	2	0
1	6	4	72	13478440	1776	1065	2022	1126	253	2	0
1	6	4	73	13478473	1593	914	2022	1126	478	2	0
1	6	4	74	13478504	1628	983	2022	1126	419	2	0
1	6	4	75	13478534	1628	983	2022	1126	419	2	0
1	6	4	76	13478565	1628	983	2022	1126	419	2	0
