subject	block	calibration_no	datapoint	time	x	y	cx	cy	distance	calibration_count
1	1	17	1	66195	1300	398	1254	694	299	20
1	1	17	2	66226	1284	348	1254	694	347	20
1	1	17	3	66253	1278	272	1254	694	422	20
1	1	17	4	66280	1291	469	1254	694	228	20
1	1	17	5	66306	1291	469	1254	694	228	20
1	1	17	6	66334	1284	513	1254	694	183	20
1	1	17	7	66362	1239	365	1254	694	329	20
1	1	17	8	66388	1368	336	1254	694	375	20
1	1	17	9	66414	1368	336	1254	694	375	20
1	1	17	10	66440	1374	280	1254	694	431	20
1	1	17	11	66467	1241	495	1254	694	199	20
1	1	17	12	66494	1241	495	1254	694	199	20
1	1	17	13	66520	1400	395	1254	694	332	20
1	1	17	14	66547	1285	369	1254	694	326	20
1	1	17	15	66574	1413	362	1254	694	368	20
1	1	17	16	66600	1254	520	1254	694	174	20
1	1	17	17	66628	1419	567	1254	694	208	20
1	1	17	18	66657	1340	511	1254	694	202	20
1	1	17	19	66683	1299	490	1254	694	208	20
1	1	17	20	66708	1299	490	1254	694	208	20
1	1	17	21	66734	1207	526	1254	694	174	20
1	1	17	22	66761	1382	369	1254	694	349	20
1	1	17	23	66791	1384	347	1254	694	370	20
1	1	17	24	66820	1335	337	1254	694	366	20
1	1	17	25	66845	1335	337	1254	694	366	20
1	1	17	26	66870	1392	419	1254	694	307	20
1	1	17	27	66898	1294	418	1254	694	278	20
1	1	17	28	66925	1318	400	1254	694	300	20
1	1	17	29	66951	1368	296	1254	694	414	20
1	1	17	30	66982	1317	529	1254	694	176	19
1	1	17	31	67009	1314	548	1254	694	157	19
1	1	17	32	67037	1314	548	1254	694	157	19
1	1	17	33	67064	1267	558	1254	694	136	19
1	1	17	34	67090	1393	709	1254	694	139	19
1	1	17	35	67122	1185	663	1254	694	75	18
1	1	17	36	67149	1185	663	1254	694	75	18
1	1	17	37	67175	1329	607	1254	694	114	18
1	1	17	38	67203	1236	498	1254	694	196	18
1	1	17	39	67229	1235	465	1254	694	229	18
1	1	17	40	67260	1226	572	1254	694	125	17
1	1	17	41	67288	1238	598	1254	694	97	17
1	1	17	42	67315	1238	598	1254	694	97	17
1	1	17	43	67343	1238	598	1254	694	97	17
1	1	17	44	67368	1238	598	1254	694	97	17
1	1	17	45	67399	1246	635	1254	694	59	16
1	1	17	46	67425	1236	570	1254	694	125	16
1	1	17	47	67453	1291	685	1254	694	38	16
1	1	17	48	67480	1291	685	1254	694	38	16
1	1	17	49	67506	1254	622	1254	694	72	16
1	1	17	50	67538	1296	671	1254	694	47	15
