subject	block	task	trial_no	datapoint	time	condition	x	y	tx	ty	status
1	4	freeviewing	5	1	3563941	view_stimuli/tolcam_face_15.png_right	1673	393	-1	-1	fixation_onset
1	4	freeviewing	5	2	3563983	view_stimuli/tolcam_face_15.png_right	1282	229	-1	-1	fixation_onset
1	4	freeviewing	5	3	3564018	view_stimuli/tolcam_face_15.png_right	1394	252	-1	-1	fixation_onset
1	4	freeviewing	5	4	3564050	view_stimuli/tolcam_face_15.png_right	1422	190	-1	-1	fixation_onset
1	4	freeviewing	5	5	3564082	view_stimuli/tolcam_face_15.png_right	1494	255	-1	-1	fixation_onset
1	4	freeviewing	5	6	3564114	view_stimuli/tolcam_face_15.png_right	1303	333	-1	-1	fixation_onset
1	4	freeviewing	5	7	3564149	view_stimuli/tolcam_face_15.png_right	1569	465	-1	-1	fixation_onset
1	4	freeviewing	5	8	3564182	view_stimuli/tolcam_face_15.png_right	1725	802	-1	-1	fixation_onset
1	4	freeviewing	5	9	3564216	view_stimuli/tolcam_face_15.png_right	1582	498	-1	-1	fixation_onset
1	4	freeviewing	5	10	3564248	view_stimuli/tolcam_face_15.png_right	1451	637	-1	-1	fixation_onset
1	4	freeviewing	5	11	3564281	view_stimuli/tolcam_face_15.png_right	1563	764	-1	-1	fixation_onset
1	4	freeviewing	5	12	3564314	view_stimuli/tolcam_face_15.png_right	1516	742	-1	-1	fixation_onset
1	4	freeviewing	5	13	3564350	view_stimuli/tolcam_face_15.png_right	1421	708	-1	-1	fixation_onset
1	4	freeviewing	5	14	3564381	view_stimuli/tolcam_face_15.png_right	1558	705	-1	-1	fixation_onset
1	4	freeviewing	5	15	3564414	view_stimuli/tolcam_face_15.png_right	1443	792	-1	-1	fixation_onset
1	4	freeviewing	5	16	3564446	view_stimuli/tolcam_face_15.png_right	1416	702	-1	-1	fixation_onset
1	4	freeviewing	5	17	3564480	view_stimuli/tolcam_face_15.png_right	1328	800	-1	-1	fixation_onset
1	4	freeviewing	5	18	3564512	view_stimuli/tolcam_face_15.png_right	1436	703	-1	-1	fixation_onset
1	4	freeviewing	5	19	3564545	view_stimuli/tolcam_face_15.png_right	1440	722	-1	-1	fixation_onset
1	4	freeviewing	5	20	3564576	view_stimuli/tolcam_face_15.png_right	1409	740	-1	-1	fixation_onset
1	4	freeviewing	5	21	3564608	view_stimuli/tolcam_face_15.png_right	1480	725	-1	-1	fixation_onset
1	4	freeviewing	5	22	3564641	view_stimuli/tolcam_face_15.png_right	1491	635	-1	-1	fixation_onset
1	4	freeviewing	5	23	3564677	view_stimuli/tolcam_face_15.png_right	1555	832	-1	-1	fixation_onset
1	4	freeviewing	5	24	3564710	view_stimuli/tolcam_face_15.png_right	1486	758	-1	-1	fixation_onset
1	4	freeviewing	5	25	3564748	view_stimuli/tolcam_face_15.png_right	1498	793	-1	-1	fixation_onset
1	4	freeviewing	5	26	3564785	view_stimuli/tolcam_face_15.png_right	1379	722	-1	-1	fixation_onset
1	4	freeviewing	5	27	3564824	view_stimuli/tolcam_face_15.png_right	1408	767	-1	-1	fixation_onset
1	4	freeviewing	5	28	3564866	view_stimuli/tolcam_face_15.png_right	632	742	-1	-1	fixation_onset
1	4	freeviewing	5	29	3564905	view_stimuli/tolcam_face_15.png_right	873	705	-1	-1	fixation_onset
1	4	freeviewing	5	30	3564944	view_stimuli/tolcam_face_15.png_right	1693	790	-1	-1	fixation_onset
1	4	freeviewing	5	31	3564977	view_stimuli/tolcam_face_15.png_right	1699	866	-1	-1	fixation_offset
1	4	freeviewing	5	32	3565008	view_stimuli/tolcam_face_15.png_right	1115	544	-1	-1	fixation_offset
1	4	freeviewing	5	33	3565040	view_stimuli/tolcam_face_15.png_right	1390	652	-1	-1	fixation_offset
1	4	freeviewing	5	34	3565072	view_stimuli/tolcam_face_15.png_right	1406	644	-1	-1	fixation_offset
1	4	freeviewing	5	35	3565105	view_stimuli/tolcam_face_15.png_right	1493	712	-1	-1	fixation_offset
1	4	freeviewing	5	36	3565137	view_stimuli/tolcam_face_15.png_right	1260	578	-1	-1	fixation_offset
1	4	freeviewing	5	37	3565168	view_stimuli/tolcam_face_15.png_right	1235	493	-1	-1	fixation_offset
1	4	freeviewing	5	38	3565202	view_stimuli/tolcam_face_15.png_right	1412	785	-1	-1	fixation_offset
1	4	freeviewing	5	39	3565238	view_stimuli/tolcam_face_15.png_right	1307	748	-1	-1	fixation_offset
1	4	freeviewing	5	40	3565271	view_stimuli/tolcam_face_15.png_right	971	715	-1	-1	fixation_offset
1	4	freeviewing	5	41	3565303	view_stimuli/tolcam_face_15.png_right	1113	790	-1	-1	fixation_offset
1	4	freeviewing	5	42	3565336	view_stimuli/tolcam_face_15.png_right	1145	727	-1	-1	fixation_offset
1	4	freeviewing	5	43	3565368	view_stimuli/tolcam_face_15.png_right	952	731	-1	-1	fixation_offset
1	4	freeviewing	5	44	3565400	view_stimuli/tolcam_face_15.png_right	952	731	-1	-1	fixation_offset
1	4	freeviewing	5	45	3565433	view_stimuli/tolcam_face_15.png_right	1124	834	-1	-1	fixation_offset
1	4	freeviewing	5	46	3565466	view_stimuli/tolcam_face_15.png_right	1106	651	-1	-1	fixation_offset
1	4	freeviewing	5	47	3565498	view_stimuli/tolcam_face_15.png_right	1144	715	-1	-1	stimulus_onset
1	4	freeviewing	5	48	3565536	view_stimuli/tolcam_face_15.png_right	1187	519	-1	-1	stimulus_onset
1	4	freeviewing	5	49	3565569	view_stimuli/tolcam_face_15.png_right	1203	666	-1	-1	stimulus_onset
1	4	freeviewing	5	50	3565599	view_stimuli/tolcam_face_15.png_right	1148	538	-1	-1	stimulus_onset
1	4	freeviewing	5	51	3565632	view_stimuli/tolcam_face_15.png_right	1166	549	-1	-1	stimulus_onset
1	4	freeviewing	5	52	3565663	view_stimuli/tolcam_face_15.png_right	1045	647	-1	-1	stimulus_onset
1	4	freeviewing	5	53	3565695	view_stimuli/tolcam_face_15.png_right	1065	744	-1	-1	stimulus_onset
