subject	block	calibration_no	datapoint	time	x	y	cx	cy	distance	calibration_count
1	3	12	1	2900787	937	675	870	910	244	20
1	3	12	2	2900821	978	694	870	910	241	20
1	3	12	3	2900854	912	669	870	910	244	20
1	3	12	4	2900887	995	680	870	910	261	20
1	3	12	5	2900918	1226	650	870	910	440	20
1	3	12	6	2900950	1056	554	870	910	401	20
1	3	12	7	2900981	931	710	870	910	209	20
1	3	12	8	2901015	931	710	870	910	209	20
1	3	12	9	2901051	1008	729	870	910	227	20
1	3	12	10	2901084	972	719	870	910	216	20
1	3	12	11	2901116	885	793	870	910	117	20
1	3	12	12	2901149	1333	822	870	910	471	20
1	3	12	13	2901183	1137	848	870	910	274	20
1	3	12	14	2901215	1152	961	870	910	286	20
1	3	12	15	2901247	1182	981	870	910	319	20
1	3	12	16	2901279	1092	1063	870	910	269	20
1	3	12	17	2901311	1234	1053	870	910	391	20
1	3	12	18	2901344	1078	1032	870	910	241	20
1	3	12	19	2901379	924	644	870	910	271	20
1	3	12	20	2901415	1157	619	870	910	408	20
1	3	12	21	2901448	961	749	870	910	184	20
1	3	12	22	2901479	1082	658	870	910	329	20
1	3	12	23	2901513	1006	801	870	910	174	20
1	3	12	24	2901547	924	804	870	910	118	20
1	3	12	25	2901584	723	731	870	910	231	19
1	3	12	26	2901616	772	787	870	910	157	19
1	3	12	27	2901648	956	721	870	910	207	19
1	3	12	28	2901681	1102	1026	870	910	259	19
1	3	12	29	2901715	963	1074	870	910	188	19
1	3	12	30	2901755	977	1061	870	910	185	18
1	3	12	31	2901787	1094	875	870	910	226	18
1	3	12	32	2901819	1094	875	870	910	226	18
1	3	12	33	2901853	1253	1033	870	910	402	18
1	3	12	34	2901884	1157	1023	870	910	308	18
1	3	12	35	2901921	962	1055	870	910	171	17
1	3	12	36	2901954	1025	960	870	910	162	17
1	3	12	37	2901987	961	944	870	910	97	17
1	3	12	38	2902020	1061	1007	870	910	214	17
1	3	12	39	2902057	1041	940	870	910	173	17
1	3	12	40	2902096	993	1030	870	910	171	16
1	3	12	41	2902134	1025	850	870	910	166	16
1	3	12	42	2902172	987	913	870	910	117	16
1	3	12	43	2902208	1077	903	870	910	207	16
1	3	12	44	2902261	999	884	870	910	131	15
1	3	12	45	2902302	901	934	870	910	39	15
1	3	12	46	2902335	945	949	870	910	84	15
1	3	12	47	2902373	1063	859	870	910	199	14
1	3	12	48	2902407	866	979	870	910	69	14
1	3	12	49	2902440	955	977	870	910	108	14
1	3	12	50	2902474	1020	929	870	910	151	14
1	3	12	51	2902512	1027	884	870	910	159	13
1	3	12	52	2902545	1251	872	870	910	382	13
1	3	12	53	2902578	915	900	870	910	46	13
1	3	12	54	2902611	967	901	870	910	97	13
1	3	12	55	2902644	902	893	870	910	36	13
1	3	12	56	2902682	912	890	870	910	46	12
1	3	12	57	2902714	1076	944	870	910	208	12
1	3	12	58	2902746	1125	929	870	910	255	12
1	3	12	59	2902779	1191	924	870	910	321	12
1	3	12	60	2902812	1242	910	870	910	372	12
1	3	12	61	2902848	1163	934	870	910	293	11
1	3	12	62	2902880	887	910	870	910	17	11
1	3	12	63	2902916	1141	913	870	910	271	11
1	3	12	64	2902948	964	1027	870	910	150	11
1	3	12	65	2902981	1028	982	870	910	173	11
1	3	12	66	2903019	917	868	870	910	63	10
1	3	12	67	2903051	949	1014	870	910	130	10
1	3	12	68	2903084	1088	936	870	910	219	10
1	3	12	69	2903118	1140	905	870	910	270	10
1	3	12	70	2903151	1088	1069	870	910	269	10
1	3	12	71	2903189	1076	1020	870	910	233	9
1	3	12	72	2903222	872	992	870	910	82	9
1	3	12	73	2903256	931	983	870	910	95	9
1	3	12	74	2903290	1010	931	870	910	141	9
1	3	12	75	2903322	1070	946	870	910	203	9
1	3	12	76	2903361	1256	933	870	910	386	8
1	3	12	77	2903395	1256	933	870	910	386	8
1	3	12	78	2903429	1056	1031	870	910	221	8
1	3	12	79	2903463	1020	955	870	910	156	8
1	3	12	80	2903501	892	997	870	910	89	7
1	3	12	81	2903534	850	999	870	910	91	7
1	3	12	82	2903569	822	1009	870	910	110	7
1	3	12	83	2903602	901	1058	870	910	151	7
1	3	12	84	2903641	967	990	870	910	125	6
1	3	12	85	2903674	960	923	870	910	90	6
1	3	12	86	2903706	726	823	870	910	168	6
1	3	12	87	2903740	829	865	870	910	60	6
1	3	12	88	2903779	884	937	870	910	30	5
1	3	12	89	2903813	790	822	870	910	118	5
1	3	12	90	2903845	800	852	870	910	90	5
1	3	12	91	2903877	965	856	870	910	109	5
1	3	12	92	2903910	890	811	870	910	101	5
1	3	12	93	2903948	1082	1116	870	910	295	4
1	3	12	94	2903980	833	1099	870	910	192	4
1	3	12	95	2904012	923	1004	870	910	107	4
1	3	12	96	2904044	927	1028	870	910	131	4
1	3	12	97	2904076	773	1028	870	910	152	4
1	3	12	98	2904115	789	1088	870	910	195	3
1	3	12	99	2904148	627	1055	870	910	282	3
1	3	12	100	2904179	863	1054	870	910	144	3
1	3	12	101	2904214	1068	1013	870	910	223	3
1	3	12	102	2904247	742	980	870	910	145	3
1	3	12	103	2904286	969	875	870	910	105	2
1	3	12	104	2904320	990	773	870	910	182	2
1	3	12	105	2904352	979	816	870	910	143	2
1	3	12	106	2904384	851	771	870	910	140	2
1	3	12	107	2904415	679	797	870	910	221	2
1	3	12	108	2904451	919	805	870	910	115	1
1	3	12	109	2904482	842	808	870	910	105	1
1	3	12	110	2904515	848	772	870	910	139	1
1	3	12	111	2904548	846	802	870	910	110	1
