subject	block	calibration_no	datapoint	time	x	y	cx	cy	distance	calibration_count
1	4	6	1	3444011	351	630	2022	262	1711	20
1	4	6	2	3444046	557	807	2022	262	1563	20
1	4	6	3	3444078	498	638	2022	262	1569	20
1	4	6	4	3444109	447	622	2022	262	1615	20
1	4	6	5	3444140	472	691	2022	262	1608	20
1	4	6	6	3444173	420	666	2022	262	1652	20
1	4	6	7	3444206	431	700	2022	262	1650	20
1	4	6	8	3444237	505	635	2022	262	1562	20
1	4	6	9	3444269	484	617	2022	262	1578	20
1	4	6	10	3444301	1122	551	2022	262	945	20
1	4	6	11	3444334	1845	492	2022	262	290	20
1	4	6	12	3444364	1911	671	2022	262	423	20
1	4	6	13	3444396	2004	412	2022	262	151	20
1	4	6	14	3444428	1815	411	2022	262	255	20
1	4	6	15	3444459	1912	267	2022	262	110	20
1	4	6	16	3444492	1959	240	2022	262	66	20
1	4	6	17	3444526	2097	403	2022	262	159	20
1	4	6	18	3444558	1989	234	2022	262	43	20
1	4	6	19	3444590	1902	201	2022	262	134	20
1	4	6	20	3444622	1988	264	2022	262	34	20
1	4	6	21	3444654	2174	86	2022	262	232	20
1	4	6	22	3444689	2200	63	2022	262	266	20
1	4	6	23	3444720	1662	-113	2022	262	519	20
1	4	6	24	3444751	1036	193	2022	262	988	20
1	4	6	25	3444781	988	401	2022	262	1043	20
1	4	6	26	3444817	1538	620	2022	262	602	19
1	4	6	27	3444851	1398	717	2022	262	772	19
1	4	6	28	3444880	1074	602	2022	262	1007	19
1	4	6	29	3444912	1045	599	2022	262	1033	19
1	4	6	30	3444943	886	490	2022	262	1158	19
1	4	6	31	3444981	971	276	2022	262	1051	18
1	4	6	32	3445015	1072	433	2022	262	965	18
1	4	6	33	3445046	1463	-43	2022	262	636	18
1	4	6	34	3445077	1729	260	2022	262	293	18
1	4	6	35	3445109	1933	305	2022	262	98	18
1	4	6	36	3445148	2049	562	2022	262	301	17
1	4	6	37	3445179	1906	509	2022	262	272	17
1	4	6	38	3445211	2203	582	2022	262	367	17
1	4	6	39	3445241	2291	563	2022	262	403	17
1	4	6	40	3445271	2244	414	2022	262	269	17
1	4	6	41	3445308	2127	398	2022	262	171	16
1	4	6	42	3445340	2142	217	2022	262	128	16
1	4	6	43	3445369	2128	279	2022	262	107	16
1	4	6	44	3445400	1811	686	2022	262	473	16
1	4	6	45	3445432	1946	752	2022	262	495	16
1	4	6	46	3445479	1628	592	2022	262	513	15
1	4	6	47	3445513	1977	56	2022	262	210	15
1	4	6	48	3445543	2192	87	2022	262	243	15
1	4	6	49	3445574	1819	-53	2022	262	374	15
1	4	6	50	3445622	1583	170	2022	262	448	14
1	4	6	51	3445659	1628	232	2022	262	395	14
1	4	6	52	3445692	1666	422	2022	262	390	14
1	4	6	53	3445730	1298	114	2022	262	738	13
1	4	6	54	3445762	729	796	2022	262	1398	13
1	4	6	55	3445795	633	319	2022	262	1390	13
1	4	6	56	3445829	602	421	2022	262	1428	13
1	4	6	57	3445962	762	852	2022	262	1391	12
1	4	6	58	3446007	862	350	2022	262	1163	11
1	4	6	59	3446039	1087	497	2022	262	964	11
1	4	6	60	3446070	1197	680	2022	262	924	11
1	4	6	61	3446100	1167	650	2022	262	938	11
1	4	6	62	3446137	1593	396	2022	262	449	10
1	4	6	63	3446170	1641	412	2022	262	409	10
1	4	6	64	3446204	1552	603	2022	262	580	10
1	4	6	65	3446237	1787	837	2022	262	621	10
1	4	6	66	3446268	1779	1111	2022	262	883	10
1	4	6	67	3446304	1719	431	2022	262	346	9
1	4	6	68	3446340	1578	359	2022	262	454	9
1	4	6	69	3446373	1726	-327	2022	262	659	9
1	4	6	70	3446406	1669	-309	2022	262	671	9
1	4	6	71	3446436	1784	-333	2022	262	640	9
1	4	6	72	3446473	1772	-92	2022	262	433	8
1	4	6	73	3446506	1875	-187	2022	262	472	8
1	4	6	74	3446538	1850	180	2022	262	190	8
1	4	6	75	3446568	2092	325	2022	262	94	8
1	4	6	76	3446598	2048	313	2022	262	57	8
1	4	6	77	3446637	2023	342	2022	262	80	7
1	4	6	78	3446670	1947	150	2022	262	134	7
1	4	6	79	3446702	2015	719	2022	262	457	7
1	4	6	80	3446734	2127	-169	2022	262	443	7
1	4	6	81	3446765	2018	-255	2022	262	517	7
1	4	6	82	3446803	1966	24	2022	262	244	6
1	4	6	83	3446838	2053	54	2022	262	210	6
1	4	6	84	3446870	1992	-50	2022	262	313	6
1	4	6	85	3446902	1903	121	2022	262	184	6
1	4	6	86	3446934	2046	228	2022	262	41	6
1	4	6	87	3446976	2187	-41	2022	262	345	5
1	4	6	88	3447013	2059	145	2022	262	122	5
1	4	6	89	3447045	1974	350	2022	262	100	5
1	4	6	90	3447075	2038	725	2022	262	463	5
1	4	6	91	3447111	2061	537	2022	262	277	4
1	4	6	92	3447144	2071	621	2022	262	362	4
1	4	6	93	3447175	1771	839	2022	262	629	4
1	4	6	94	3447206	1852	785	2022	262	549	4
1	4	6	95	3447238	1903	733	2022	262	485	4
1	4	6	96	3447277	1727	683	2022	262	514	3
1	4	6	97	3447309	1728	724	2022	262	547	3
1	4	6	98	3447341	1728	724	2022	262	547	3
1	4	6	99	3447372	1680	678	2022	262	538	3
1	4	6	100	3447406	1586	768	2022	262	667	3
1	4	6	101	3447445	1977	510	2022	262	252	2
1	4	6	102	3447479	1901	549	2022	262	311	2
