subject	block	calibration_no	datapoint	time	x	y	cx	cy	distance	calibration_count
1	4	13	1	3470533	473	1222	486	262	960	20
1	4	13	2	3470567	453	1216	486	262	954	20
1	4	13	3	3470599	443	1133	486	262	872	20
1	4	13	4	3470630	422	1195	486	262	935	20
1	4	13	5	3470661	452	1164	486	262	902	20
1	4	13	6	3470692	513	1216	486	262	954	20
1	4	13	7	3470728	472	1162	486	262	900	20
1	4	13	8	3470760	448	1219	486	262	957	20
1	4	13	9	3470793	467	1173	486	262	911	20
1	4	13	10	3470824	735	819	486	262	610	20
1	4	13	11	3470858	611	906	486	262	656	20
1	4	13	12	3470891	671	993	486	262	754	20
1	4	13	13	3470924	844	904	486	262	735	20
1	4	13	14	3470956	1187	916	486	262	958	20
1	4	13	15	3470988	1215	1025	486	262	1055	20
1	4	13	16	3471021	1164	866	486	262	908	20
1	4	13	17	3471058	898	791	486	262	670	20
1	4	13	18	3471090	902	566	486	262	515	20
1	4	13	19	3471121	760	768	486	262	575	20
1	4	13	20	3471155	805	650	486	262	502	20
1	4	13	21	3471201	710	996	486	262	767	20
1	4	13	22	3471235	758	1068	486	262	850	20
1	4	13	23	3471267	758	1068	486	262	850	20
1	4	13	24	3471303	626	942	486	262	694	19
1	4	13	25	3471336	837	536	486	262	445	19
1	4	13	26	3471370	1088	713	486	262	752	19
1	4	13	27	3471405	1432	965	486	262	1178	19
1	4	13	28	3471442	732	820	486	262	609	18
1	4	13	29	3471473	762	582	486	262	422	18
1	4	13	30	3471504	754	762	486	262	567	18
1	4	13	31	3471539	815	599	486	262	470	18
1	4	13	32	3471577	733	516	486	262	354	17
1	4	13	33	3471610	547	750	486	262	491	17
1	4	13	34	3471642	581	824	486	262	569	17
1	4	13	35	3471675	581	824	486	262	569	17
1	4	13	36	3471709	634	728	486	262	488	17
1	4	13	37	3471747	590	784	486	262	532	16
1	4	13	38	3471780	661	745	486	262	513	16
1	4	13	39	3471813	647	797	486	262	558	16
1	4	13	40	3471847	592	985	486	262	730	16
1	4	13	41	3471881	593	794	486	262	542	16
1	4	13	42	3471917	587	518	486	262	275	15
1	4	13	43	3471947	710	885	486	262	662	15
1	4	13	44	3471977	1134	923	486	262	925	15
1	4	13	45	3472010	1118	733	486	262	788	15
1	4	13	46	3472045	806	670	486	262	518	15
1	4	13	47	3472083	778	619	486	262	461	14
1	4	13	48	3472116	661	839	486	262	602	14
1	4	13	49	3472148	608	577	486	262	337	14
1	4	13	50	3472183	670	518	486	262	315	14
1	4	13	51	3472215	669	455	486	262	265	14
1	4	13	52	3472255	495	697	486	262	435	13
1	4	13	53	3472294	579	668	486	262	416	13
1	4	13	54	3472331	535	725	486	262	465	13
1	4	13	55	3472371	476	661	486	262	399	13
1	4	13	56	3472420	485	666	486	262	404	12
1	4	13	57	3472458	522	446	486	262	187	12
1	4	13	58	3472491	405	535	486	262	284	12
1	4	13	59	3472524	683	522	486	262	326	12
1	4	13	60	3472562	693	429	486	262	265	11
1	4	13	61	3472597	607	408	486	262	189	11
1	4	13	62	3472639	586	795	486	262	542	11
1	4	13	63	3472676	931	773	486	262	677	11
1	4	13	64	3472717	847	831	486	262	673	10
1	4	13	65	3472751	972	713	486	262	663	10
1	4	13	66	3472785	544	122	486	262	151	10
1	4	13	67	3472816	802	533	486	262	416	10
1	4	13	68	3472854	611	612	486	262	371	9
1	4	13	69	3472886	571	615	486	262	363	9
1	4	13	70	3472919	550	478	486	262	225	9
1	4	13	71	3472951	680	409	486	262	243	9
1	4	13	72	3472985	556	603	486	262	348	9
1	4	13	73	3473022	576	607	486	262	356	8
1	4	13	74	3473060	489	563	486	262	301	8
1	4	13	75	3473091	472	575	486	262	313	8
1	4	13	76	3473125	540	598	486	262	340	8
1	4	13	77	3473162	535	501	486	262	243	7
1	4	13	78	3473195	522	621	486	262	360	7
1	4	13	79	3473228	610	559	486	262	321	7
1	4	13	80	3473261	599	350	486	262	143	7
1	4	13	81	3473294	620	281	486	262	135	7
1	4	13	82	3473334	586	577	486	262	330	6
1	4	13	83	3473366	467	475	486	262	213	6
1	4	13	84	3473398	471	508	486	262	246	6
1	4	13	85	3473432	622	382	486	262	181	6
1	4	13	86	3473465	568	555	486	262	304	6
1	4	13	87	3473504	1056	610	486	262	667	5
1	4	13	88	3473537	1271	834	486	262	971	5
1	4	13	89	3473571	613	539	486	262	304	5
1	4	13	90	3473603	625	517	486	262	290	5
1	4	13	91	3473637	625	517	486	262	290	5
1	4	13	92	3473675	629	573	486	262	342	4
1	4	13	93	3473708	544	473	486	262	218	4
1	4	13	94	3473739	450	380	486	262	123	4
1	4	13	95	3473774	585	696	486	262	445	4
1	4	13	96	3473806	688	414	486	262	252	4
1	4	13	97	3473845	701	467	486	262	297	3
1	4	13	98	3473879	506	469	486	262	207	3
1	4	13	99	3473912	533	527	486	262	269	3
1	4	13	100	3473945	533	527	486	262	269	3
1	4	13	101	3473983	568	495	486	262	247	2
1	4	13	102	3474017	603	443	486	262	215	2
1	4	13	103	3474049	547	489	486	262	235	2
1	4	13	104	3474084	649	291	486	262	165	2
1	4	13	105	3474115	806	639	486	262	494	2
1	4	13	106	3474154	1054	761	486	262	756	1
1	4	13	107	3474187	995	680	486	262	658	1
1	4	13	108	3474218	909	695	486	262	605	1
1	4	13	109	3474252	1132	551	486	262	707	1
1	4	13	110	3474286	640	542	486	262	319	1
