subject	block	validation_no	datapoint	time	x	y	vx	vy	distance	validation_count	valid
1	3	1	1	2824660	1184	643	2022	1126	967	0	0
1	3	1	2	2824695	1100	547	2022	1126	1088	0	0
1	3	1	3	2824724	792	450	2022	1126	1403	0	0
1	3	1	4	2824756	865	355	2022	1126	1390	0	0
1	3	1	5	2824791	834	382	2022	1126	1401	0	0
1	3	1	6	2824823	834	382	2022	1126	1401	0	0
1	3	1	7	2824857	834	382	2022	1126	1401	0	0
1	3	1	8	2824890	1452	529	2022	1126	825	0	0
1	3	1	9	2824924	1483	317	2022	1126	972	0	0
1	3	1	10	2824957	1442	669	2022	1126	738	0	0
1	3	1	11	2824990	1566	673	2022	1126	642	0	0
1	3	1	12	2825025	1445	474	2022	1126	870	0	0
1	3	1	13	2825063	1834	558	2022	1126	598	0	0
1	3	1	14	2825096	1834	558	2022	1126	598	0	0
1	3	1	15	2825130	1538	388	2022	1126	882	0	0
1	3	1	16	2825163	986	656	2022	1126	1137	0	0
1	3	1	17	2825196	1267	1026	2022	1126	761	0	0
1	3	1	18	2825228	1856	856	2022	1126	316	0	0
1	3	1	19	2825261	1647	802	2022	1126	495	0	0
1	3	1	20	2825294	1674	740	2022	1126	519	0	0
1	3	1	21	2825324	2004	444	2022	1126	682	0	0
1	3	1	22	2825355	2004	444	2022	1126	682	0	0
1	3	1	23	2825386	1859	334	2022	1126	808	0	0
1	3	1	24	2825418	1743	800	2022	1126	429	0	0
1	3	1	25	2825455	1678	720	2022	1126	532	0	0
1	3	1	26	2825488	1662	746	2022	1126	523	0	0
1	3	1	27	2825520	1758	324	2022	1126	844	0	0
1	3	1	28	2825552	1660	673	2022	1126	579	0	0
1	3	1	29	2825586	1853	305	2022	1126	838	0	0
1	3	1	30	2825620	1687	301	2022	1126	890	0	0
1	3	1	31	2825656	1537	274	2022	1126	980	0	0
1	3	1	32	2825686	1727	400	2022	1126	783	0	0
1	3	1	33	2825720	1882	482	2022	1126	659	0	0
1	3	1	34	2825751	1635	768	2022	1126	527	0	0
1	3	1	35	2825785	1591	762	2022	1126	564	0	0
1	3	1	36	2825815	1510	891	2022	1126	563	0	0
1	3	1	37	2825848	1554	834	2022	1126	551	0	0
1	3	1	38	2825880	1542	651	2022	1126	675	0	0
1	3	1	39	2825912	1222	1097	2022	1126	800	0	0
1	3	1	40	2825943	1633	833	2022	1126	487	0	0
1	3	1	41	2825973	1557	1028	2022	1126	475	0	0
1	3	1	42	2826004	1889	874	2022	1126	284	0	0
