subject	block	calibration_no	datapoint	time	x	y	cx	cy	distance	calibration_count
1	2	16	1	314721	445	680	486	262	420	20
1	2	16	2	314755	358	733	486	262	488	20
1	2	16	3	314788	326	653	486	262	422	20
1	2	16	4	314823	329	642	486	262	411	20
1	2	16	5	314855	312	632	486	262	408	20
1	2	16	6	314886	585	642	486	262	392	20
1	2	16	7	314919	453	614	486	262	353	20
1	2	16	8	314951	585	691	486	262	440	20
1	2	16	9	314984	513	779	486	262	517	20
1	2	16	10	315016	684	673	486	262	456	20
1	2	16	11	315049	642	459	486	262	251	20
1	2	16	12	315081	604	298	486	262	123	20
1	2	16	13	315113	496	178	486	262	84	20
1	2	16	14	315147	498	173	486	262	89	20
1	2	16	15	315179	417	315	486	262	87	20
1	2	16	16	315211	608	244	486	262	123	20
1	2	16	17	315244	794	383	486	262	330	20
1	2	16	18	315382	844	172	486	262	369	20
1	2	16	19	315416	329	374	486	262	192	20
1	2	16	20	315449	344	351	486	262	167	20
1	2	16	21	315489	266	216	486	262	224	20
1	2	16	22	315531	407	303	486	262	89	19
1	2	16	23	315562	776	804	486	262	614	19
1	2	16	24	315591	776	804	486	262	614	19
1	2	16	25	315624	684	610	486	262	400	19
1	2	16	26	315657	754	568	486	262	406	19
1	2	16	27	315699	412	94	486	262	183	18
1	2	16	28	315730	557	115	486	262	163	18
1	2	16	29	315761	849	158	486	262	377	18
1	2	16	30	315792	1067	124	486	262	597	18
1	2	16	31	315825	1034	8	486	262	604	18
1	2	16	32	315864	1310	296	486	262	824	17
1	2	16	33	315897	1543	195	486	262	1059	17
1	2	16	34	315929	1492	27	486	262	1033	17
1	2	16	35	315962	1548	-181	486	262	1150	17
1	2	16	36	315996	1323	-19	486	262	882	17
1	2	16	37	316037	1290	423	486	262	819	16
1	2	16	38	316071	1682	170	486	262	1199	16
1	2	16	39	316103	1479	301	486	262	993	16
1	2	16	40	316135	1594	190	486	262	1110	16
1	2	16	41	316177	1519	196	486	262	1035	15
1	2	16	42	316210	1100	296	486	262	614	15
1	2	16	43	316242	1556	305	486	262	1070	15
1	2	16	44	316276	1407	342	486	262	924	15
1	2	16	45	316310	1569	166	486	262	1087	15
1	2	16	46	316351	1056	237	486	262	570	14
1	2	16	47	316385	1103	270	486	262	617	14
1	2	16	48	316419	1134	353	486	262	654	14
1	2	16	49	316452	1094	239	486	262	608	14
1	2	16	50	316490	1443	43	486	262	981	13
1	2	16	51	316627	669	438	486	262	253	13
1	2	16	52	316662	670	370	486	262	213	13
1	2	16	53	316699	601	333	486	262	135	12
1	2	16	54	316732	521	698	486	262	437	12
1	2	16	55	316762	541	958	486	262	698	12
1	2	16	56	316793	561	1057	486	262	798	12
1	2	16	57	316824	746	854	486	262	646	12
1	2	16	58	316863	416	312	486	262	86	11
1	2	16	59	316899	675	303	486	262	193	11
1	2	16	60	316932	935	260	486	262	449	11
1	2	16	61	316964	981	328	486	262	499	11
1	2	16	62	317005	608	499	486	262	266	10
1	2	16	63	317040	733	827	486	262	616	10
1	2	16	64	317075	640	656	486	262	423	10
1	2	16	65	317106	596	543	486	262	301	10
1	2	16	66	317144	476	365	486	262	103	9
1	2	16	67	317178	498	374	486	262	112	9
1	2	16	68	317212	452	357	486	262	100	9
1	2	16	69	317246	494	391	486	262	129	9
1	2	16	70	317285	542	324	486	262	83	8
1	2	16	71	317318	502	431	486	262	169	8
1	2	16	72	317353	491	449	486	262	187	8
1	2	16	73	317387	528	405	486	262	149	8
1	2	16	74	317423	547	334	486	262	94	7
1	2	16	75	317456	525	379	486	262	123	7
1	2	16	76	317489	599	477	486	262	242	7
1	2	16	77	317521	457	425	486	262	165	7
1	2	16	78	317554	489	412	486	262	150	7
1	2	16	79	317592	478	352	486	262	90	6
1	2	16	80	317624	577	274	486	262	91	6
1	2	16	81	317656	579	419	486	262	182	6
1	2	16	82	317690	514	443	486	262	183	6
1	2	16	83	317724	536	380	486	262	128	6
1	2	16	84	317858	453	196	486	262	73	5
1	2	16	85	317900	923	446	486	262	474	4
1	2	16	86	317932	504	131	486	262	132	4
1	2	16	87	317963	660	140	486	262	212	4
1	2	16	88	317993	578	242	486	262	94	4
1	2	16	89	318024	851	269	486	262	365	4
1	2	16	90	318062	545	417	486	262	165	3
1	2	16	91	318098	713	453	486	262	296	3
1	2	16	92	318131	601	402	486	262	181	3
1	2	16	93	318164	399	315	486	262	101	3
1	2	16	94	318202	492	277	486	262	16	2
1	2	16	95	318237	355	327	486	262	146	2
1	2	16	96	318273	351	329	486	262	150	2
1	2	16	97	318305	378	311	486	262	118	2
1	2	16	98	318344	621	379	486	262	178	1
1	2	16	99	318377	505	405	486	262	144	1
1	2	16	100	318413	522	420	486	262	162	1
1	2	16	101	318449	599	360	486	262	149	1
