subject	block	calibration_no	datapoint	time	x	y	cx	cy	distance	calibration_count
1	6	23	1	14260903	1890	387	486	262	1409	20
1	6	23	2	14260936	2098	583	486	262	1643	20
1	6	23	3	14260968	2259	329	486	262	1774	20
1	6	23	4	14261000	1801	499	486	262	1336	20
1	6	23	5	14261033	1735	482	486	262	1268	20
1	6	23	6	14261067	1868	558	486	262	1413	20
1	6	23	7	14261100	1868	558	486	262	1413	20
1	6	23	8	14261133	1868	558	486	262	1413	20
1	6	23	9	14261167	1044	888	486	262	838	20
1	6	23	10	14261199	501	518	486	262	256	20
1	6	23	11	14261233	747	598	486	262	425	20
1	6	23	12	14261267	767	817	486	262	622	20
1	6	23	13	14261302	654	377	486	262	203	20
1	6	23	14	14261337	1531	780	486	262	1166	20
1	6	23	15	14261369	966	322	486	262	483	20
1	6	23	16	14261399	902	497	486	262	477	20
1	6	23	17	14261432	1487	1008	486	262	1248	20
1	6	23	18	14261466	718	708	486	262	502	20
1	6	23	19	14261503	1185	208	486	262	701	20
1	6	23	20	14261540	1070	426	486	262	606	20
1	6	23	21	14261572	1378	554	486	262	938	20
1	6	23	22	14261605	1123	534	486	262	692	20
1	6	23	23	14261639	1079	655	486	262	711	20
1	6	23	24	14261672	1124	555	486	262	702	20
1	6	23	25	14261711	725	620	486	262	430	19
1	6	23	26	14261745	696	443	486	262	277	19
1	6	23	27	14261777	683	617	486	262	405	19
1	6	23	28	14261810	683	617	486	262	405	19
1	6	23	29	14261845	527	628	486	262	368	19
1	6	23	30	14261884	690	492	486	262	307	18
1	6	23	31	14261918	489	416	486	262	154	18
1	6	23	32	14261951	443	384	486	262	129	18
1	6	23	33	14261984	1105	506	486	262	665	18
1	6	23	34	14262024	908	439	486	262	457	17
1	6	23	35	14262059	849	408	486	262	391	17
1	6	23	36	14262093	943	486	486	262	508	17
1	6	23	37	14262125	926	388	486	262	457	17
1	6	23	38	14262163	923	434	486	262	469	16
1	6	23	39	14262198	635	389	486	262	195	16
1	6	23	40	14262232	867	397	486	262	404	16
1	6	23	41	14262263	861	473	486	262	430	16
1	6	23	42	14262300	843	435	486	262	396	16
1	6	23	43	14262338	487	424	486	262	162	15
1	6	23	44	14262370	413	408	486	262	163	15
1	6	23	45	14262401	460	449	486	262	188	15
1	6	23	46	14262435	519	399	486	262	140	15
1	6	23	47	14262472	630	462	486	262	246	15
1	6	23	48	14262514	382	304	486	262	112	14
1	6	23	49	14262549	454	418	486	262	159	14
1	6	23	50	14262582	459	329	486	262	72	14
1	6	23	51	14262615	459	329	486	262	72	14
1	6	23	52	14262657	1048	732	486	262	732	13
1	6	23	53	14262691	1102	1038	486	262	990	13
1	6	23	54	14262723	486	747	486	262	485	13
1	6	23	55	14262756	486	747	486	262	485	13
1	6	23	56	14262794	1012	399	486	262	543	12
1	6	23	57	14262830	1017	481	486	262	574	12
1	6	23	58	14262863	897	622	486	262	546	12
1	6	23	59	14262895	600	417	486	262	192	12
1	6	23	60	14262935	788	127	486	262	330	11
1	6	23	61	14262970	1126	554	486	262	703	11
1	6	23	62	14263004	1190	526	486	262	751	11
1	6	23	63	14263037	1351	548	486	262	911	11
1	6	23	64	14263076	907	287	486	262	421	10
1	6	23	65	14263107	878	469	486	262	443	10
1	6	23	66	14263141	979	459	486	262	530	10
1	6	23	67	14263176	871	425	486	262	418	10
1	6	23	68	14263209	703	319	486	262	224	10
1	6	23	69	14263248	902	353	486	262	425	9
1	6	23	70	14263283	570	460	486	262	215	9
1	6	23	71	14263318	455	462	486	262	202	9
1	6	23	72	14263351	430	460	486	262	205	9
1	6	23	73	14263391	652	233	486	262	168	8
1	6	23	74	14263425	555	183	486	262	104	8
1	6	23	75	14263461	688	265	486	262	202	8
1	6	23	76	14263497	837	311	486	262	354	8
1	6	23	77	14263534	673	430	486	262	251	7
1	6	23	78	14263567	576	322	486	262	108	7
1	6	23	79	14263599	567	393	486	262	154	7
1	6	23	80	14263633	658	427	486	262	238	7
1	6	23	81	14263668	728	274	486	262	242	7
1	6	23	82	14263707	610	171	486	262	153	6
1	6	23	83	14263741	604	391	486	262	174	6
1	6	23	84	14263773	604	391	486	262	174	6
1	6	23	85	14263807	329	338	486	262	174	6
1	6	23	86	14263842	636	390	486	262	197	6
1	6	23	87	14263880	743	254	486	262	257	5
1	6	23	88	14263914	615	237	486	262	131	5
1	6	23	89	14263949	706	268	486	262	220	5
1	6	23	90	14263981	410	287	486	262	80	5
1	6	23	91	14264019	519	383	486	262	125	4
1	6	23	92	14264051	497	346	486	262	84	4
1	6	23	93	14264081	411	407	486	262	163	4
1	6	23	94	14264115	374	270	486	262	112	4
1	6	23	95	14264151	970	349	486	262	491	4
1	6	23	96	14264190	461	493	486	262	232	3
1	6	23	97	14264223	486	290	486	262	28	3
1	6	23	98	14264257	402	261	486	262	84	3
1	6	23	99	14264292	472	351	486	262	90	3
1	6	23	100	14264333	449	362	486	262	106	2
1	6	23	101	14264367	237	287	486	262	250	2
1	6	23	102	14264398	309	313	486	262	184	2
1	6	23	103	14264430	345	303	486	262	146	2
1	6	23	104	14264464	338	200	486	262	160	2
1	6	23	105	14264505	544	292	486	262	65	1
1	6	23	106	14264538	698	190	486	262	223	1
1	6	23	107	14264569	829	327	486	262	349	1
1	6	23	108	14264605	472	219	486	262	45	1
1	6	23	109	14264640	900	336	486	262	420	1
