subject	block	calibration_no	datapoint	time	x	y	cx	cy	distance	calibration_count
1	3	6	1	2877976	1990	434	486	262	1513	20
1	3	6	2	2878014	2254	550	486	262	1791	20
1	3	6	3	2878054	1879	582	486	262	1429	20
1	3	6	4	2878094	1897	650	486	262	1463	20
1	3	6	5	2878129	1897	650	486	262	1463	20
1	3	6	6	2878162	1818	607	486	262	1375	20
1	3	6	7	2878194	1660	788	486	262	1286	20
1	3	6	8	2878226	1864	688	486	262	1442	20
1	3	6	9	2878259	1758	757	486	262	1364	20
1	3	6	10	2878292	1864	688	486	262	1442	20
1	3	6	11	2878323	1248	407	486	262	775	20
1	3	6	12	2878356	906	995	486	262	844	20
1	3	6	13	2878388	1240	704	486	262	874	20
1	3	6	14	2878421	826	604	486	262	482	20
1	3	6	15	2878454	983	479	486	262	542	20
1	3	6	16	2878486	524	518	486	262	258	20
1	3	6	17	2878520	1078	504	486	262	639	20
1	3	6	18	2878554	1015	597	486	262	626	20
1	3	6	19	2878587	653	233	486	262	169	20
1	3	6	20	2878620	627	378	486	262	182	20
1	3	6	21	2878653	1259	764	486	262	921	20
1	3	6	22	2878686	1788	626	486	262	1351	20
1	3	6	23	2878720	1576	675	486	262	1165	20
1	3	6	24	2878753	1534	774	486	262	1166	20
1	3	6	25	2878792	1502	802	486	262	1150	19
1	3	6	26	2878826	1537	633	486	262	1114	19
1	3	6	27	2878860	1349	635	486	262	940	19
1	3	6	28	2878895	1284	688	486	262	904	19
1	3	6	29	2878939	1149	647	486	262	766	18
1	3	6	30	2878970	1074	563	486	262	660	18
1	3	6	31	2879002	1250	671	486	262	866	18
1	3	6	32	2879035	922	578	486	262	538	18
1	3	6	33	2879069	1107	594	486	262	704	18
1	3	6	34	2879110	1050	641	486	262	679	17
1	3	6	35	2879145	1050	648	486	262	683	17
1	3	6	36	2879177	945	472	486	262	504	17
1	3	6	37	2879224	1019	444	486	262	563	16
1	3	6	38	2879264	924	528	486	262	512	16
1	3	6	39	2879316	1097	597	486	262	696	16
1	3	6	40	2879359	803	464	486	262	375	15
1	3	6	41	2879391	888	400	486	262	425	15
1	3	6	42	2879424	908	549	486	262	510	15
1	3	6	43	2879457	936	513	486	262	515	15
1	3	6	44	2879497	1154	460	486	262	696	14
1	3	6	45	2879531	1221	241	486	262	735	14
1	3	6	46	2879564	1236	371	486	262	757	14
1	3	6	47	2879598	1236	371	486	262	757	14
1	3	6	48	2879638	763	448	486	262	333	13
1	3	6	49	2879670	884	498	486	262	462	13
1	3	6	50	2879702	934	434	486	262	479	13
1	3	6	51	2879739	442	207	486	262	70	13
1	3	6	52	2879773	783	640	486	262	480	13
1	3	6	53	2879811	1261	560	486	262	830	12
1	3	6	54	2879842	1089	496	486	262	646	12
1	3	6	55	2879875	1089	496	486	262	646	12
1	3	6	56	2879907	916	586	486	262	538	12
1	3	6	57	2879942	837	648	486	262	521	12
1	3	6	58	2879982	975	167	486	262	498	11
1	3	6	59	2880014	975	746	486	262	688	11
1	3	6	60	2880049	1060	374	486	262	584	11
1	3	6	61	2880084	982	108	486	262	519	11
1	3	6	62	2880125	852	488	486	262	430	10
1	3	6	63	2880158	721	532	486	262	357	10
1	3	6	64	2880191	876	344	486	262	398	10
1	3	6	65	2880223	986	385	486	262	514	10
1	3	6	66	2880258	814	236	486	262	329	10
1	3	6	67	2880299	604	438	486	262	211	9
1	3	6	68	2880332	780	539	486	262	403	9
1	3	6	69	2880365	1227	645	486	262	834	9
1	3	6	70	2880400	1477	644	486	262	1062	9
1	3	6	71	2880440	884	435	486	262	433	8
1	3	6	72	2880479	1046	534	486	262	622	8
1	3	6	73	2880513	1018	493	486	262	579	8
1	3	6	74	2880547	1034	385	486	262	561	8
1	3	6	75	2880588	758	581	486	262	419	7
1	3	6	76	2880625	495	465	486	262	203	7
1	3	6	77	2880659	594	374	486	262	155	7
1	3	6	78	2880691	1022	384	486	262	549	7
1	3	6	79	2880734	737	68	486	262	317	6
1	3	6	80	2880767	538	366	486	262	116	6
1	3	6	81	2880799	692	226	486	262	209	6
1	3	6	82	2880831	588	538	486	262	294	6
1	3	6	83	2880863	1377	498	486	262	921	6
1	3	6	84	2880901	707	408	486	262	264	5
1	3	6	85	2880936	707	408	486	262	264	5
1	3	6	86	2880968	707	408	486	262	264	5
1	3	6	87	2881000	744	502	486	262	352	5
1	3	6	88	2881031	744	502	486	262	352	5
1	3	6	89	2881071	947	426	486	262	489	4
1	3	6	90	2881105	604	440	486	262	213	4
1	3	6	91	2881136	827	391	486	262	364	4
1	3	6	92	2881169	754	278	486	262	268	4
1	3	6	93	2881201	798	497	486	262	390	4
1	3	6	94	2881242	764	467	486	262	345	3
1	3	6	95	2881276	821	451	486	262	384	3
1	3	6	96	2881308	910	414	486	262	450	3
1	3	6	97	2881342	635	416	486	262	214	3
1	3	6	98	2881383	845	234	486	262	360	2
1	3	6	99	2881415	708	350	486	262	238	2
1	3	6	100	2881447	893	348	486	262	415	2
1	3	6	101	2881478	1027	458	486	262	575	2
1	3	6	102	2881510	818	229	486	262	333	2
1	3	6	103	2881550	690	418	486	262	256	1
1	3	6	104	2881585	718	389	486	262	264	1
1	3	6	105	2881617	972	486	486	262	535	1
1	3	6	106	2881650	724	366	486	262	259	1
